Pop	Mask	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-906597.7953	1813205.5906	204076253441.7947	4101.4478	10.0,10.0,10.0,10.0,10.0	1.9164,68.4703,41.1967,6.3087,2.4684	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-931223.0041	1862456.0082	619591909280.2892	1396.3345	11.0,11.0,11.0,11.0,11.0	35.6839,76.8736,32.0138,9.728,9.3803	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-825672.1139	1651354.2278	5740301294.1436	3251.6184	12.0,12.0,12.0,12.0,12.0	25.6712,2.6658,67.1733,1.9711,3.7741	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-890145.0363	1780300.0726	12571257844.6157	2691.8551	13.0,13.0,13.0,13.0,13.0	91.7295,2.7833,54.9126,4.8294,2.1514	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-593905.0361	1187820.0722	680271692.4446	2294.8003	14.0,14.0,14.0,14.0,14.0	71.8341,74.2642,77.1874,3.1196,2.6696	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-909553.034	1819116.068	12516166091.7685	9234.8775	15.0,15.0,15.0,15.0,15.0	3.1127,2.2648,8.0436,3.7639,2.0407	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-981943.1849	1963896.3698	19006782268.439	9183.4395	16.0,16.0,16.0,16.0,16.0	2.4356,3.9591,3.8499,2.4684,3.8597	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-1025774.5447	2051559.0894	769589948339.005	1971.8848	17.0,17.0,17.0,17.0,17.0	80.7807,96.8181,4.5675,9.776,2.8037	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-783067.6735	1566145.347	15347100197.7365	1740.0681	18.0,18.0,18.0,18.0,18.0	46.3286,34.497,65.4538,6.8051,5.3242	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	3	-1016591.6982	2033193.3964	2109971896512.1528	1374.011	19.0,19.0,19.0,19.0,19.0	44.4725,99.9487,13.6067,9.8011,9.8718	nu1, nu2, nu3, T1_23, T23
