Pop	Mask	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-743707.7948	1487425.5896	11880743270.5132	1316.8049	100.0,100.0,100.0,100.0,100.0	99.8795,97.6908,94.1573,6.742,5.2646	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-537255.6666	1074521.3332	182053128.6782	2561.3288	31.0,31.0,31.0,31.0,31.0	99.6698,40.6959,99.99,1.7644,2.4641	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-651739.0018	1303488.0036	1446732292.729	1207.6346	32.0,32.0,32.0,32.0,32.0	99.1469,99.7236,67.1749,2.6437,7.9746	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-661667.4	1323344.8	4481690334.714	1928.0446	33.0,33.0,33.0,33.0,33.0	98.7615,99.9634,99.6563,4.6984,2.7693	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-616108.9702	1232227.9404	2330676106.8775	2174.3619	34.0,34.0,34.0,34.0,34.0	92.6994,99.7157,96.5765,3.5703,2.4992	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-366202.0307	732414.0614	41723169635.6504	8310.4986	35.0,35.0,35.0,35.0,35.0	12.6471,97.6588,37.903,0.4603,0.6742	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-505175.9478	1010361.8956	88025295.3673	1796.9946	36.0,36.0,36.0,36.0,36.0	99.2044,97.9516,99.58,0.9379,4.3157	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-553028.1593	1106066.3186	548547863.0811	2391.2372	37.0,37.0,37.0,37.0,37.0	99.7316,89.7905,99.3437,2.1641,2.4494	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-583378.4498	1166766.8996	460160432.7223	1512.1159	38.0,38.0,38.0,38.0,38.0	84.9896,94.2378,99.0152,2.0652,5.4303	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-477654.7538	955319.5076	37346209.0023	1379.8391	39.0,39.0,39.0,39.0,39.0	95.0157,92.3684,96.8355,0.2676,6.8712	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-573067.1518	1146144.3036	287517812.9677	1460.547	40.0,40.0,40.0,40.0,40.0	56.2996,89.9214,97.1989,1.403,6.5815	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-508370.1479	1016750.2958	126785288.2605	2343.6663	41.0,41.0,41.0,41.0,41.0	41.5306,99.9693,84.8543,1.1681,3.3086	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-710157.3247	1420324.6494	4146424644.8344	1022.4888	42.0,42.0,42.0,42.0,42.0	90.2026,99.9986,99.7235,4.0271,9.8101	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-608141.471	1216292.942	735543906.5656	1375.5021	43.0,43.0,43.0,43.0,43.0	95.8372,99.6052,87.162,2.3667,6.1729	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-666916.0757	1333842.1514	2770807363.5169	1689.9089	44.0,44.0,44.0,44.0,44.0	68.1445,96.2435,99.9365,4.6913,4.0566	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-655094.9665	1310199.933	2114768996.9718	1664.2472	45.0,45.0,45.0,45.0,45.0	83.3234,99.3052,99.0206,4.3506,3.9913	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-567982.8121	1135975.6242	1156438398.3698	2421.7284	46.0,46.0,46.0,46.0,46.0	98.5276,99.9537,99.1544,2.4807,2.2931	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-561502.9077	1123015.8154	298996758.8515	2165.0143	47.0,47.0,47.0,47.0,47.0	43.8917,47.827,99.984,1.8567,3.8639	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-615375.3267	1230760.6534	5344965714.2507	2357.8575	48.0,48.0,48.0,48.0,48.0	86.5484,99.8879,99.531,3.5751,2.1723	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-701560.4556	1403130.9112	3617501413.0071	1012.7635	49.0,49.0,49.0,49.0,49.0	99.813,99.8445,99.8753,3.8139,9.7541	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-653203.9683	1306417.9366	1411558331.6004	1174.1259	50.0,50.0,50.0,50.0,50.0	60.5163,99.8933,94.6476,2.5043,9.0015	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-607877.4405	1215764.881	534328699.0955	1168.8059	51.0,51.0,51.0,51.0,51.0	70.0017,99.9746,99.9755,1.5761,8.8861	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-836689.6538	1673389.3076	55037978519.4096	1114.0453	52.0,52.0,52.0,52.0,52.0	41.8564,92.4234,99.992,8.0605,9.9968	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-580322.9157	1160655.8314	386192514.9323	1657.6015	53.0,53.0,53.0,53.0,53.0	46.8482,97.5634,91.2645,1.8571,5.4124	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-684174.8329	1368359.6658	2548395316.9652	1044.9535	54.0,54.0,54.0,54.0,54.0	97.5236,99.9951,85.5784,3.1726,9.7722	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-716274.4747	1432558.9494	9146607911.2372	1679.4828	55.0,55.0,55.0,55.0,55.0	99.8128,99.8782,92.1742,6.2682,3.2486	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-751700.8013	1503411.6026	9472128533.611	1041.8399	56.0,56.0,56.0,56.0,56.0	99.9713,92.0664,99.9803,5.7004,8.819	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-711069.5333	1422149.0666	4535016606.8544	1058.5747	57.0,57.0,57.0,57.0,57.0	99.9966,99.349,99.9837,4.4066,8.7946	nu1, nu2, nu3, T1_23, T23
outQ0.fold.group2_dadi_group3_dadi_group4_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE	no	model_split1_then_23	1	-649618.7287	1299247.4574	1512129965.1578	2353.7883	58.0,58.0,58.0,58.0,58.0	17.1701,99.4631,87.5391,3.6069,3.5886	nu1, nu2, nu3, T1_23, T23
