Pop	Mask	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
wisent_unfolded_projected	no	bottle	3	-323.42	652.84	249.49	70928.31	1.0,1.0,1.0	0.0062,0.5581,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-331.07	668.14	264.66	71205.18	1.0,1.0,1.0	1.3301,0.0609,0.0271	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-334.51	675.02	271.95	71136.52	100.0,1.0,10.0	4.1251,0.0637,0.0366	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-330.49	666.98	263.42	71250.34	100.0,1.0,10.0	0.4394,0.0636,0.0191	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-332.46	670.92	267.51	71225.61	100.0,1.0,10.0	3.5468,0.06,0.0337	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-624.17	1254.34	847.45	65350.88	100.0,100.0,10.0	82.3717,0.2225,0.5562	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-14014.43	28034.86	25212.21	233873.84	100.0,100.0,10.0	191.0429,0.2101,23.2231	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-331.03	668.06	264.6	71191.77	50.0,50.0,10.0	1.1681,0.0609,0.0259	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-331.06	668.12	264.67	71195.97	1.0,10.0,10.0	1.3127,0.0612,0.0271	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-330.67	667.34	263.81	71199.02	1.1681,0.0609,0.0259	0.5162,0.0609,0.0195	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-325.55	657.1	253.6	71123.5	0.5162,0.0609,0.0195	0.0295,0.1173,0.0068	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.93	653.86	250.36	71053.67	0.0295,0.1173,0.0068	0.0115,0.236,0.0046	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.47	652.94	249.55	70961.94	0.0115,0.236,0.0046	0.0076,0.4063,0.0038	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.46	652.92	249.56	70914.73	0.0062,0.5581,0.0035	0.005,0.9073,0.0032	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.54	653.08	249.72	70901.4	0.005,0.9073,0.0032	0.0042,1.4059,0.003	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.49	652.98	249.61	70910.11	0.005,0.9073,0.0032	0.0047,1.0529,0.0031	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.43	652.86	249.5	70940.51	0.005,0.9073,0.0032	0.0068,0.479,0.0036	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.42	652.84	249.49	70929.67	0.005,0.9073,0.0032	0.0062,0.5606,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.42	652.84	249.49	70929.64	0.005,0.9073,0.0032	0.0062,0.5608,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.48	652.96	249.6	70910.47	0.005,0.9073,0.0032	0.0047,1.0442,0.0032	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.43	652.86	249.48	70933.25	0.005,0.9073,0.0032	0.0058,0.6218,0.0034	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-324.97	655.94	252.57	71031.94	0.005,0.9073,0.0032	0.023,0.1326,0.006	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-323.48	652.96	249.6	70910.8	0.005,0.9073,0.0032	0.0047,1.0267,0.0032	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-323.49	652.98	249.58	70930.11	0.005,0.9073,0.0032	0.0047,1.023,0.0032	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-323.42	652.84	249.4858	70929.51	0.005,0.9073,0.0032	0.0062,0.562,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	3	-323.69	653.38	249.9725	70903.53	0.005,0.9073,0.0032	0.0034,2.5213,0.0028	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.42	652.84	249.4778	70938.16	0.0062,0.5606,0.0035	0.0064,0.5317,0.0036	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4482	652.8964	249.5453	70910.7267	0.0062,0.5606,0.0035	0.0052,0.8082,0.0033	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4221	652.8442	249.4861	70929.6271	0.0062,0.5606,0.0035	0.0062,0.5609,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4222	652.8444	249.4864	70928.8308	0.0062,0.5606,0.0035	0.0062,0.5689,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4245	652.849	249.4839	70937.3734	0.0062,0.5606,0.0035	0.0065,0.5196,0.0036	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4222	652.8444	249.4832	70931.6636	0.0062,0.5606,0.0035	0.0063,0.5562,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4755	652.951	249.5556	70970.5176	0.0062,0.5606,0.0035	0.0077,0.4043,0.0038	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4222	652.8444	249.4853	70929.8984	0.0062,0.5606,0.0035	0.0062,0.5636,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4319	652.8638	249.4859	70928.289	0.0062,0.5609,0.0035	0.0057,0.6591,0.0034	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4295	652.859	249.4787	70937.8379	0.0062,0.5609,0.0035	0.0058,0.6387,0.0034	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4356	652.8712	249.4903	70936.4029	0.0062,0.5609,0.0035	0.0057,0.6899,0.0034	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4222	652.8444	249.4864	70929.7396	0.0062,0.5609,0.0035	0.0062,0.5592,0.0035	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-323.4681	652.9362	249.5491	70967.9569	0.0062,0.5609,0.0035	0.0074,0.4276,0.0038	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-330.8491	667.6982	264.2642	71201.892	82.3717,0.2225,0.5562	0.7686,0.0628,0.0232	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-331.1078	668.2156	264.7174	71228.8309	82.3717,0.2225,0.5562	1.4745,0.0614,0.0282	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-329.1614	664.3228	260.7397	71230.1078	82.3717,0.2225,0.5562	0.1578,0.0697,0.0131	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-327.1421	660.2842	256.7548	71176.796	0.1578,0.0697,0.0131	0.0598,0.0875,0.0091	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-329.3361	664.6722	261.1741	71173.5236	0.1578,0.0697,0.0131	0.1839,0.0671,0.0137	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-325.5115	657.023	253.6349	71102.6866	0.1578,0.0697,0.0131	0.0298,0.1226,0.007	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-328.0495	662.099	258.6192	71165.3921	0.1578,0.0697,0.0131	0.0952,0.077,0.0109	nuB, nuF, T
wisent_unfolded_projected	no	bottle	1	-324.2445	654.489	251.0359	71067.984	0.0952,0.077,0.0109	0.0153,0.1872,0.0052	nuB, nuF, T
