Group	Parameter	Optimised	Lower_CI	Upper_CI	eps
group1-group2	nu_1	1.57385	1.5263	1.6214	1e-05
group1-group2	nu_2	14.38612	13.0927	15.6795	0.01
group1-group2	t1	2.0523	1.5825	2.5221	0.0001
group1-group2	nu11	32.82016	29.049	36.5913	0.01
group1-group2	nu12	31.42617	25.5473	37.305	0.01
group1-group2	me1_12	0.03789	0.0339	0.0419	1e-07
group1-group2	me1_21	0.08346	0.0826	0.0843	1e-07
group1-group2	t2	0.09877	0.0966	0.1009	1e-07
group1-group2	nu21	17.62229	16.3541	18.8905	0.01
group1-group2	nu22	16.6836	13.9803	19.3869	0.01
group1-group2	me2_12	2.19519	2.0226	2.3677	1e-05
group1-group2	me2_21	9.99955	9.5026	10.4965	1e-05
group1-group2	P1	0.17433	0.0663	0.2823	1e-06
group1-group2	P2	0.47632	0.2832	0.6694	1e-06
group1-group2	theta	4662.346270010007	4658.2237	4666.4689	0.01
group1-group3	nu_1	1.50434	1.0532	1.9555	0.01
group1-group3	nu_2	24.1785	19.2843	29.0727	0.01
group1-group3	t1	1.79904	1.2445	2.3536	0.01
group1-group3	nu11	27.34257	26.4779	28.2072	0.01
group1-group3	nu12	22.19025	19.9878	24.3927	0.01
group1-group3	me1_12	0.05686	0.0	3.0208	0.01
group1-group3	me1_21	0.08521	0.0	2.5029	0.01
group1-group3	t2	0.09195	0.0	6.2187	0.01
group1-group3	nu21	19.59638	19.1449	20.0478	0.01
group1-group3	nu22	34.76409	22.102	47.4262	0.01
group1-group3	me2_12	2.35863	0.0	8.0216	0.01
group1-group3	me2_21	9.99995	3.797	16.2029	0.01
group1-group3	P1	0.17654	0.0	3.0099	0.01
group1-group3	P2	0.46391	0.0	1.1862	0.01
group1-group3	theta	5448.379048806163	5447.7979	5448.9602	0.01
group1-group4	nu_1	0.81175	0.362	1.2615	0.01
group1-group4	nu_2	200.0	199.8368	200.1632	0.01
group1-group4	t1	1.44337	1.3112	1.5756	0.01
group1-group4	nu11	14.47075	14.2636	14.6779	0.01
group1-group4	nu12	20.00137	19.9202	20.0825	0.01
group1-group4	me1_12	0.02005	0.0	1.7185	0.01
group1-group4	me1_21	0.84677	0.5781	1.1155	0.01
group1-group4	t2	0.02953	0.0	0.7213	0.01
group1-group4	nu21	24.92714	24.263	25.5913	0.01
group1-group4	nu22	34.33934	31.2252	37.4535	0.01
group1-group4	me2_12	10.0	9.0823	10.9177	0.01
group1-group4	me2_21	2.92701	1.3576	4.4964	0.01
group1-group4	P1	0.28567	0.0	0.8272	0.01
group1-group4	P2	0.42008	0.2178	0.6223	0.01
group1-group4	theta	8176.6302250513545	8176.4344	8176.8261	0.01
group2-group3	nu_1	8.46524	8.4047	8.5258	0.01
group2-group3	nu_2	11.27454	11.1829	11.3661	0.01
group2-group3	t1	1.93639	1.8538	2.019	0.01
group2-group3	nu11	36.17652	36.0854	36.2676	0.01
group2-group3	nu12	29.64508	29.4996	29.7906	0.01
group2-group3	me1_12	6.08552	5.1899	6.9812	0.01
group2-group3	me1_21	7.43617	6.5698	8.3026	0.01
group2-group3	t2	0.01611	0.0	0.6457	0.01
group2-group3	nu21	3.74257	3.1694	4.3158	0.01
group2-group3	nu22	6.60462	6.3736	6.8356	0.01
group2-group3	me2_12	9.86955	9.2441	10.495	0.01
group2-group3	me2_21	10.0	9.4481	10.5519	0.01
group2-group3	P1	0.59455	0.5759	0.6132	0.01
group2-group3	P2	0.27601	0.2334	0.3186	0.01
group2-group3	theta	5091.030114263352	5090.9541	5091.1061	0.01
group2-group4	nu_1	6.32731	2.3297	10.325	0.01
group2-group4	nu_2	14.44054	13.3307	15.5504	0.01
group2-group4	t1	1.92073	1.8002	2.0413	0.001
group2-group4	nu11	28.22437	20.971	35.4777	0.01
group2-group4	nu12	38.63484	32.7741	44.4956	0.01
group2-group4	me1_12	6.20663	5.3725	7.0407	0.001
group2-group4	me1_21	4.57565	3.9327	5.2186	0.001
group2-group4	t2	0.01752	0.0	0.0609	0.001
group2-group4	nu21	5.75246	5.6817	5.8232	0.001
group2-group4	nu22	9.48295	8.6715	10.2944	0.001
group2-group4	me2_12	10.0	7.6439	12.3561	0.01
group2-group4	me2_21	8.01703	6.8212	9.2129	0.01
group2-group4	P1	0.6528	0.6009	0.7047	0.001
group2-group4	P2	0.41495	0.3727	0.4572	0.001
group2-group4	theta	5599.370541570355	5593.9169	5604.8242	0.01
group1-Amil	nu_1	0.32369	0.2995	0.3479	0.01
group1-Amil	nu_2	200.0	199.1473	200.8527	0.01
group1-Amil	t1	0.6451	0.6282	0.662	0.01
group1-Amil	nu11	6.08667	6.04	6.1334	0.01
group1-Amil	nu12	4.19974	4.1439	4.2556	0.01
group1-Amil	me1_12	0.01749	0.0	0.0812	0.01
group1-Amil	me1_21	0.11777	0.0361	0.1994	0.01
group1-Amil	t2	0.09341	0.0	0.7794	0.01
group1-Amil	nu21	12.2419	11.9807	12.5031	0.01
group1-Amil	nu22	4.22317	4.1256	4.3208	0.01
group1-Amil	me2_12	1.10576	0.4935	1.718	0.01
group1-Amil	me2_21	10.0	9.306	10.694	0.01
group1-Amil	P1	0.14524	0.0	0.4371	0.01
group1-Amil	P2	0.57673	0.5372	0.6162	0.01
group1-Amil	theta	24258.137191604845	24258.0982	24258.1762	0.01
group2-Amil	nu_1	0.81888	0.7828	0.855	0.01
group2-Amil	nu_2	200.0	199.4512	200.5488	0.01
group2-Amil	t1	1.30798	1.2717	1.3443	0.01
group2-Amil	nu11	13.30744	13.2765	13.3384	0.01
group2-Amil	nu12	5.52148	5.4533	5.5896	0.01
group2-Amil	me1_12	0.02178	0.0	0.1579	0.01
group2-Amil	me1_21	0.04701	0.0	0.1075	0.01
group2-Amil	t2	0.1554	0.0	1.3333	0.01
group2-Amil	nu21	16.69237	16.5941	16.7906	0.01
group2-Amil	nu22	9.66337	9.225	10.1018	0.01
group2-Amil	me2_12	0.91669	0.0	2.0096	0.01
group2-Amil	me2_21	6.21186	5.0191	7.4046	0.01
group2-Amil	P1	0.15831	0.0	0.342	0.01
group2-Amil	P2	0.57265	0.5259	0.6194	0.01
group2-Amil	theta	14559.669691610456	14559.5884	14559.751	0.01
group3-Amil	nu_1	1.0	0.8929	1.1071	0.001
group3-Amil	nu_2	200.0	198.761	201.239	0.01
group3-Amil	t1	1.50213	1.468	1.5363	0.001
group3-Amil	nu11	14.8254	13.6576	15.9932	0.01
group3-Amil	nu12	5.98913	4.8153	7.163	0.01
group3-Amil	me1_12	0.02281	0.0	0.1487	0.001
group3-Amil	me1_21	0.06197	0.0	0.2685	0.001
group3-Amil	t2	0.09379	0.0876	0.1	0.0001
