Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
ahya.fold.Amil.major.mask	snm.1d	[3]	-83658.91	167319.82	165829.63	1179246.15	1.0	4.1018	nu
ahya.fold.group1.major.mask	snm.1d	[3]	-46293.17	92588.34	89472.84	199254.5	1.0	1.8612	nu
ahya.fold.group2.major.mask	snm.1d	[3]	-75009.58	150021.16	145475.87	268604.7	1.0	0.4655	nu
ahya.fold.group3.major.mask	snm.1d	[3]	-82639.33	165280.66	159147.41	283444.68	1.0	2.2035	nu
ahya.fold.group4.major.mask	snm.1d	[3]	-94130.16	188262.32	182796.08	324444.74	1.0	2.7987	nu
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.03	862939.92	1.0,1.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-1421.37	2848.74	2737.66	889817.61	1.0,1.0,1.0	11.921,1.1925,0.2784	nuB, nuF, T
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.48	122583.25	1.0,1.0	2.7736,0.4621	nu, T
ahya.fold.Amil.major.mask	size_change	[3]	-83658.91	167321.82	165829.62	65172484.11	1.0,1.0	0.0181,1.1639	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-1421.37	2848.74	2737.66	889818.37	1.0,1.0,1.0	11.9206,1.1925,0.2784	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-1897.47	3802.94	3696.07	188028000.01	1.0,1.0,1.0,1.0	0.001,0.0093,0.0058,0.0029	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-46293.17	92590.34	89472.84	9960901.29	1.0,1.0	0.02,1.9707	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.68	9887.36	10501.4	209121.21	1.0,1.0,1.0	0.2182,1.8363,0.9729	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-4141.38	8290.76	8870.1	122355.69	1.0,1.0,1.0,1.0	2.7629,5.3727,0.466,0.001	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-75009.58	150023.16	145475.87	8009142.15	1.0,1.0	0.0335,1.8309	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-2247.8	4501.6	4636.12	154423.62	1.0,1.0,1.0	13.7313,2.0777,0.4332	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-75009.58	150027.16	145475.87	1940242.89	1.0,1.0,1.0,1.0	0.6332,0.1384,2.5197,7.8959	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-82639.33	165282.66	159147.41	9184975.19	1.0,1.0	0.0309,2.3261	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.02	158125.05	1.0,1.0,1.0	19.9776,1.9738,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-82639.33	165286.66	159147.41	1892101.87	1.0,1.0,1.0,1.0	1.045,0.1498,0.5244,7.0876	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-94130.16	188264.32	182796.08	1022058.79	1.0,1.0	0.3174,22.5057	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-2965.68	5937.36	6259.85	184662.51	1.0,1.0,1.0	11.6267,2.2269,0.4423	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-94130.16	188268.32	182796.08	853678.13	1.0,1.0,1.0,1.0	0.0463,0.3801,0.013,21.7577	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-83658.91	167321.82	165829.62	103342237.26	2.0,2.0	0.0114,2.3036	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-2993.28	5992.56	5996.31	329460.25	2.0,2.0,2.0	1.1101,5.3968,7.9782	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.71	4227.42	4138.04	1665928.4	2.0,2.0,2.0,2.0	0.518,1.0578,6.9894,0.2317	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-46293.17	92590.34	89472.84	26266201.15	2.0,2.0	0.0076,1.4186	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-3262.8	6531.6	7010.94	125436.55	2.0,2.0,2.0	27.2675,1.5349,0.3383	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-3722.26	7452.52	7991.0	140526.46	2.0,2.0,2.0,2.0	0.0038,2.3893,0.001,0.5604	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6058.91	148943.7	2.0,2.0	3.1773,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-2247.8	4501.6	4636.12	154423.6	2.0,2.0,2.0	13.7312,2.0777,0.4332	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.89	438840.16	2.0,2.0,2.0,2.0	0.3394,1.0784,24.957,0.1956	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-82639.33	165282.66	159147.41	604527.24	2.0,2.0	0.4689,61.2851	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.03	158124.75	2.0,2.0,2.0	19.979,1.9738,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-2954.72	5917.44	6077.93	2037956.23	2.0,2.0,2.0,2.0	0.001,0.2428,0.0028,0.0617	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-94130.16	188264.32	182796.08	805711.16	2.0,2.0	0.4027,78.4412	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-2965.68	5937.36	6259.84	184662.73	2.0,2.0,2.0	11.6273,2.2269,0.4423	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3092.7	6193.4	6450.24	1630298.25	2.0,2.0,2.0,2.0	0.001,0.3531,0.0024,0.0838	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.03	862936.83	3.0,3.0	2.042,0.4473	nu, T
