Pop	Mask	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-759273.96	1518559.92	12081858.8	254313.5	10.0,10.0,10.0,10.0,10.0,10.0	3.075,2.3364,9.3128,9.9905,2.6964,0.4237	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-588808.6	1177629.2	3801995.3	368490.41	1.0,1.0,1.0,1.0,1.0,1.0	1.8485,1.9997,0.5395,0.7311,1.6177,0.0711	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-923149.81	1846311.62	6021149.73	844968.02	2.0,2.0,2.0,2.0,2.0,2.0	0.6866,0.6446,3.972,0.6573,3.5977,0.0345	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-2821262.01	5642536.02	15403182.67	229816.85	3.0,3.0,3.0,3.0,3.0,3.0	0.9181,6.1025,9.2739,7.5246,14.9345,0.8797	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-1273842.22	2547696.44	4934405.81	254752.9	4.0,4.0,4.0,4.0,4.0,4.0	3.9967,0.9986,0.0205,4.9478,4.6994,0.4169	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-1719713.74	3439439.48	16064932.79	142956.96	5.0,5.0,5.0,5.0,5.0,5.0	37.387,1.4204,8.7896,8.0198,14.6924,0.4178	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-1303114.32	2606240.64	7704040.01	472242.24	6.0,6.0,6.0,6.0,6.0,6.0	0.9031,2.7632,3.8468,9.9982,7.916,0.2131	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-872125.28	1744262.56	9483565.26	209733.47	7.0,7.0,7.0,7.0,7.0,7.0	4.5271,3.9136,7.9398,0.602,3.1564,0.7151	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-1968782.96	3937577.92	32351361.81	122323.46	8.0,8.0,8.0,8.0,8.0,8.0	1.8547,149.6314,8.0037,6.9672,12.4629,0.4643	nu1, nu2, m12, m21, T1, T2
ahya.unfold.het05.group1.Amil_snp6966117	no	anc_asym_mig	3	-1538146.18	3076304.36	58593190.17	66746.41	9.0,9.0,9.0,9.0,9.0,9.0	16.8927,21.2407,9.6568,1.8066,3.4705,3.2384	nu1, nu2, m12, m21, T1, T2
