Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	iso_inbred	-604.84	1219.68	238.62135297565808	905.0	838.89	0
AG1-AG2	iso_inbred	-639.15	1288.3	242.8400730282664	921.0	914.69	1
AG1-AG2	iso_inbred	-640.96	1291.92	248.64081310060286	943.0	1498.33	2
AG1-AG2	iso_inbred	-657.48	1324.96	240.99438300525026	914.0	3152.02	3
AG1-AG2	iso_inbred	-670.73	1351.46	252.85953315321117	959.0	1847.45	4
AG1-AG2	iso_inbred	-598.31	1206.62	223.85583279152897	849.0	3217.0	5
AG1-AG2	iso_inbred	-619.55	1249.1	237.566672962506	901.0	1526.51	6
AG1-AG2	iso_inbred	-600.44	1210.88	249.4318231104669	946.0	766.94	7
AG1-AG2	iso_inbred	-581.07	1172.14	239.67603298881016	909.0	1063.73	8
AG1-AG2	iso_inbred	-654.99	1319.98	241.78539301511432	917.0	1175.51	9
AG1-AG2	iso_inbred	-674.19	1358.38	232.2932728967456	881.0	2055.92	10
AG1-AG2	iso_inbred	-600.56	1211.12	249.69549311375494	947.0	753.92	11
AG1-AG2	iso_inbred	-649.71	1309.42	242.5764030249784	920.0	1557.31	12
AG1-AG2	iso_inbred	-655.81	1321.62	244.1584230447065	926.0	8425.32	13
AG1-AG2	iso_inbred	-638.66	1287.32	235.9846529427779	895.0	3173.28	14
AG1-AG2	iso_inbred	-643.47	1296.94	247.05879308087472	937.0	1242.18	15
AG1-AG2	iso_inbred	-599.25	1208.5	235.19364293291383	892.0	1131.92	16
AG1-AG2	iso_inbred	-639.4	1288.8	244.42209304799454	927.0	1379.29	17
AG1-AG2	iso_inbred	-668.8	1347.6	241.78539301511432	917.0	1441.66	18
AG1-AG2	iso_inbred	-670.83	1351.66	240.73071300196224	913.0	3792.51	19
AG1-AG2	iso_inbred	-644.09	1298.18	244.1584230447065	926.0	2734.58	20
AG1-AG2	iso_inbred	-603.16	1216.32	230.18391287044145	873.0	863.77	21
AG1-AG2	iso_inbred	-617.72	1245.44	234.66630292633778	890.0	2090.08	22
AG1-AG2	iso_inbred	-607.69	1225.38	231.23859288359353	877.0	1330.14	23
AG1-AG2	iso_inbred	-666.16	1342.32	244.94943305457056	929.0	6926.42	24
AG1-AG2	iso_inbred	-602.2	1214.4	230.9749228803055	876.0	3637.79	25
AG1-AG2	iso_inbred	-586.11	1182.22	241.2580530085383	915.0	718.49	26
AG1-AG2	iso_inbred	-601.74	1213.48	233.08428290660967	884.0	843.34	27
AG1-AG2	iso_inbred	-599.53	1209.06	240.99438300525026	914.0	1075.01	28
AG1-AG2	iso_inbred	-638.62	1287.24	247.32246308416273	938.0	1795.32	29
AG1-AG2	iso_inbred	-638.72	1287.44	241.5217230118263	916.0	2276.84	30
AG1-AG2	iso_inbred	-643.34	1296.68	238.8850229789461	906.0	3591.24	31
AG1-AG2	iso_inbred	-600.05	1210.1	239.93970299209818	910.0	718.22	32
AG1-AG2	iso_inbred	-660.79	1331.58	240.20337299538622	911.0	3809.44	33
AG1-AG2	iso_inbred	-635.53	1281.06	247.32246308416273	938.0	857.03	34
AG1-AG2	iso_inbred	-608.57	1227.14	244.94943305457056	929.0	1267.1	35
AG1-AG2	iso_inbred	-650.57	1311.14	233.08428290660967	884.0	1828.18	36
AG1-AG2	iso_inbred	-613.16	1236.32	242.5764030249784	920.0	840.21	37
AG1-AG2	iso_inbred	-614.89	1239.78	239.67603298881016	909.0	910.61	38
AG1-AG2	iso_inbred	-625.67	1261.34	247.8498030907388	940.0	1361.96	39
AG1-AG2	iso_inbred	-575.11	1160.22	231.23859288359353	877.0	695.15	40
AG1-AG2	iso_inbred	-668.01	1346.02	240.20337299538622	911.0	1453.03	41
AG1-AG2	iso_inbred	-638.13	1286.26	238.35768297237007	904.0	1019.81	42
AG1-AG2	iso_inbred	-621.32	1252.64	245.21310305785858	930.0	1550.06	43
AG1-AG2	iso_inbred	-584.17	1178.34	232.0296028934576	880.0	1357.4	44
AG1-AG2	iso_inbred	-609.55	1229.1	243.89475304141848	925.0	1313.48	45
AG1-AG2	iso_inbred	-644.26	1298.52	237.566672962506	901.0	1229.96	46
AG1-AG2	iso_inbred	-644.34	1298.68	240.20337299538622	911.0	1038.15	47
AG1-AG2	iso_inbred	-618.23	1246.46	247.05879308087472	937.0	1065.92	48
AG1-AG2	iso_inbred	-662.34	1334.68	243.63108303813047	924.0	1779.01	49
AG1-AG2	iso_inbred	-617.01	1244.02	239.93970299209818	910.0	1243.43	50
AG1-AG2	iso_inbred	-636.45	1282.9	252.59586314992313	958.0	3008.8	51
AG1-AG2	iso_inbred	-627.66	1265.32	245.74044306443463	932.0	1550.82	52
AG1-AG2	iso_inbred	-642.92	1295.84	244.68576305128255	928.0	1613.05	53
AG1-AG2	iso_inbred	-609.73	1229.46	238.35768297237007	904.0	3613.13	54
AG1-AG2	iso_inbred	-655.36	1320.72	247.05879308087472	937.0	1883.66	55
AG1-AG2	iso_inbred	-627.56	1265.12	239.67603298881016	909.0	1753.68	56
AG1-AG2	iso_inbred	-619.25	1248.5	241.78539301511432	917.0	830.23	57
AG1-AG2	iso_inbred	-646.87	1303.74	239.41236298552215	908.0	1224.18	58
AG1-AG2	iso_inbred	-611.71	1233.42	230.9749228803055	876.0	2859.98	59
AG1-AG2	iso_inbred	-665.64	1341.28	240.20337299538622	911.0	3495.54	60
AG1-AG2	iso_inbred	-644.44	1298.88	246.5314530742987	935.0	1651.64	61
