Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
amil.fold.group1.major	size_change	[3]	-20289.3	40582.6	60141.96	157218.59	15.0,15.0	2.4923,0.331	nu, T
amil.fold.group1.major	size_change	[3]	-20289.3	40582.6	60143.04	157215.65	10.0,10.0	2.4924,0.331	nu, T
amil.fold.group1.major	size_change	[3]	-59400.19	118804.38	120405.11	17475733.57	1.0,1.0	0.0131,14.1731	nu, T
ahya.fold.group1.major	size_change	[3]	-18732.21	37468.42	55540.47	138511.72	1.0,1.0	2.5107,0.3329	nu, T
ahya.fold.group1.major	size_change	[3]	-18732.21	37468.42	55540.6	138511.34	1.0,1.0	2.5107,0.3329	nu, T
ahya.fold.group1.major	size_change	[3]	-18732.21	37468.42	55541.5	138509.0	15.0,15.0	2.5108,0.333	nu, T
amil.fold.group1.major	bottle	[3]	-23943.52	47893.04	73371.56	38459.46	15.0,15.0,15.0	0.0375,9.518,33.9293	nuB, nuF, T
amil.fold.group1.major	bottle	[3]	-19274.3	38554.6	58094.22	157592.5	1.0,1.0,1.0	21.2995,1.4208,0.2608	nuB, nuF, T
amil.fold.group1.major	bottle	[3]	-21028.67	42063.34	60221.81	396495.6	1.0,1.0,1.0	0.1015,1.1621,0.4957	nuB, nuF, T
ahya.fold.group1.major	bottle	[3]	-22075.06	44156.12	67677.51	140513.45	1.0,1.0,1.0	0.0062,2.3117,8.6972	nuB, nuF, T
ahya.fold.Amil.major	size_change	[3]	-42713.06	85430.12	106336.07	982121.82	1.0,1.0	1.905,0.245	nu, T
ahya.fold.Amil.major	bottle	[3]	-42829.94	85665.88	104752.75	3060447.28	1.0,1.0,1.0	0.0745,0.7045,0.3799	nuB, nuF, T
ahya.fold.Amil.major	snm.1d	[3]	-103899.51	207801.02	211371.17	1199421.68	1.0	0.2719	nu
ahya.fold.group1.major	size_change	[3]	-53878.91	107761.82	109174.53	16290229.56	1.0,1.0	0.0124,1.6458	nu, T
ahya.fold.group1.major	bottle	[3]	-17748.98	35503.96	53587.44	138761.28	1.0,1.0,1.0	21.9306,1.4266,0.2636	nuB, nuF, T
ahya.fold.group1.major	snm.1d	[3]	-53878.91	107759.82	109174.54	202725.61	1.0	2.3126	nu
