Pop	Mask	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-114672.9	229357.8	398581.26	42989.38	10.0,10.0,10.0,10.0,10.0,10.0	1.5202,3.0324,1.2061,7.0345,0.5544,0.3131	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-95458.02	190928.04	321586.19	41396.37	1.0,1.0,1.0,1.0,1.0,1.0	1.5986,2.1643,0.2041,1.0409,1.0856,0.001	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-77390.84	154793.68	237683.68	31521.54	2.0,2.0,2.0,2.0,2.0,2.0	2.8598,3.5434,0.3539,0.0057,0.9132,0.0595	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-123113.93	246239.86	337994.33	59364.68	3.0,3.0,3.0,3.0,3.0,3.0	1.0385,1.9108,0.0013,1.4874,0.2978,0.0893	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-81075.53	162163.06	2498330.28	17771.3	4.0,4.0,4.0,4.0,4.0,4.0	6.9972,5.9093,4.6999,0.6657,1.2914,0.7422	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-84946.98	169905.96	3116243.73	3181.12	5.0,5.0,5.0,5.0,5.0,5.0	55.1784,27.076,4.5122,8.0162,5.7946,4.9519	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-920719.56	1841451.12	581020347692.42	9009.2	6.0,6.0,6.0,6.0,6.0,6.0	0.8942,12.5733,6.225,8.6468,1.8635,14.8765	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-76005.14	152022.28	2400053.95	12476.83	7.0,7.0,7.0,7.0,7.0,7.0	9.8156,7.566,2.3938,2.3318,1.9592,1.0539	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-192556.66	385125.32	61226819.94	11322.43	8.0,8.0,8.0,8.0,8.0,8.0	32.3892,1.2207,2.2968,9.9952,3.071,0.1287	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	anc_asym_mig	3	-124521.43	249054.86	4200169.23	5069.41	9.0,9.0,9.0,9.0,9.0,9.0	53.4802,19.3378,8.5725,4.2694,1.3249,3.8171	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-126089.25	252188.5	1223316812.63	32496.44	10.0,10.0,10.0,10.0,10.0	4.893,4.1083,0.1939,1.2123,0.6118	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-100763.26	201536.52	586270.02	43069.49	1.0,1.0,1.0,1.0,1.0	1.5393,2.5664,0.9822,0.0883,0.7104	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-125843.88	251697.76	485195.78	174431.94	2.0,2.0,2.0,2.0,2.0	0.3266,0.4363,0.0356,7.0765,2.6262	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-110594.52	221199.04	1067218.25	47426.46	3.0,3.0,3.0,3.0,3.0	1.272,2.5098,1.1527,0.3451,0.5957	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-59173.7	118357.4	905810.14	15398.55	4.0,4.0,4.0,4.0,4.0	9.0529,4.7674,0.0015,0.4266,2.3905	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-93118.05	186246.1	284191.81	38776.45	5.0,5.0,5.0,5.0,5.0	3.6448,1.1331,0.0381,1.2939,0.7384	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-67033.76	134077.52	776650.47	25771.17	6.0,6.0,6.0,6.0,6.0	5.9063,3.6709,0.0504,0.266,0.9864	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-215566.74	431143.48	20998595.16	59562.56	7.0,7.0,7.0,7.0,7.0	0.5074,147.023,1.2689,2.5762,0.2724	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-369745.16	739500.32	2795664912650005.0	3587.42	8.0,8.0,8.0,8.0,8.0	1.6107,149.8737,9.9805,1.6567,14.7506	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	asym_mig	3	-159865.38	319740.76	23045112.82	6824.78	9.0,9.0,9.0,9.0,9.0	71.1835,0.4666,0.0011,6.979,3.7931	nu1, nu2, m12, m21, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.26	194018.52	695179.35	32330.15	10.0,10.0,10.0	4.2895,3.8682,0.6653	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-98879.34	197764.68	666048.9	28192.99	1.0,1.0,1.0	5.3012,3.9537,0.8218	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.22	194018.44	694759.27	32320.2	2.0,2.0,2.0	4.2894,3.8704,0.6657	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.41	194018.82	694537.92	32271.43	3.0,3.0,3.0	4.2937,3.88,0.6673	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.22	194018.44	694770.33	32320.18	4.0,4.0,4.0	4.2894,3.8703,0.6657	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.22	194018.44	694798.43	32326.19	5.0,5.0,5.0	4.2889,3.8692,0.6655	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.31	194018.62	695518.47	32333.32	6.0,6.0,6.0	4.2907,3.8666,0.6651	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.22	194018.44	694760.67	32320.93	7.0,7.0,7.0	4.2893,3.8702,0.6657	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.22	194018.44	694803.29	32318.39	8.0,8.0,8.0	4.2897,3.8706,0.6658	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	no_mig	3	-97006.34	194018.68	694137.32	32360.31	9.0,9.0,9.0	4.2825,3.8642,0.6646	nu1, nu2, T
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-256940.93	513893.86	2545698933.08	37543.28	10.0,10.0,10.0,10.0,10.0,10.0	1.1371,135.0116,0.2063,3.0996,5.8258,14.0468	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-57752.93	115517.86	1150025.57	9108.18	1.0,1.0,1.0,1.0,1.0,1.0	13.0179,12.0043,1.1175,0.9239,4.007,0.0798	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-59355.31	118722.62	268211.6	10146.85	2.0,2.0,2.0,2.0,2.0,2.0	9.6266,12.8578,4.0399,0.8125,3.7364,0.0152	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-84560.19	169132.38	681652.15	38426.0	3.0,3.0,3.0,3.0,3.0,3.0	4.2399,2.2297,0.4174,0.7101,0.464,0.0426	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-54298.99	108609.98	466681.44	4138.08	4.0,4.0,4.0,4.0,4.0,4.0	31.9195,18.3591,0.0064,0.0809,0.134,10.6179	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-53403.51	106819.02	607636.52	9548.72	5.0,5.0,5.0,5.0,5.0,5.0	13.9176,8.5872,0.0145,0.1886,0.1766,3.972	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-490254.02	980520.04	6.154087177081292e+16	5519.08	6.0,6.0,6.0,6.0,6.0,6.0	29.5288,47.0393,9.8218,9.5807,2.9449,1.3955	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-88963.41	177938.82	2352219.53	35699.41	7.0,7.0,7.0,7.0,7.0,7.0	6.1182,1.5279,0.0818,9.4727,0.517,0.0231	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-206938.28	413888.56	17103099.54	12350.41	8.0,8.0,8.0,8.0,8.0,8.0	1.0134,14.8172,2.4929,0.0015,2.968,2.8428	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	sec_cont_asym_mig	3	-234382.29	468776.58	527868527.81	3420.19	9.0,9.0,9.0,9.0,9.0,9.0	3.45,146.1292,0.7634,0.2861,9.9565,8.2686	nu1, nu2, m12, m21, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-96098.54	192209.08	603033.62	30445.76	10.0,10.0,10.0,10.0,10.0,10.0	2.9106,2.5524,192.9264,22.472,0.5119,0.1549	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-92913.45	185838.9	483225.43	38221.85	1.0,1.0,1.0,1.0,1.0,1.0	1.7236,2.6144,72.6576,152.5706,0.4046,0.101	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-101885.16	203782.32	376575.98	61888.51	2.0,2.0,2.0,2.0,2.0,2.0	0.3377,7.9472,9.5898,0.6973,0.1024,0.1317	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-116390.82	232793.64	1991465.32	14004.89	3.0,3.0,3.0,3.0,3.0,3.0	7.6887,192.9444,137.7085,0.8318,1.5036,0.3291	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-97517.16	195046.32	761757.21	29230.19	4.0,4.0,4.0,4.0,4.0,4.0	4.9127,4.5721,4.7724,2.8313,0.7182,0.0474	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-97090.65	194193.3	644505.52	33941.03	5.0,5.0,5.0,5.0,5.0,5.0	4.0473,3.5099,9.0129,126.0001,0.6228,0.0011	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-726876.46	1453764.92	5400530233470151.0	4781.58	6.0,6.0,6.0,6.0,6.0,6.0	1.0675,3.0311,9.8572,30.8301,14.9976,14.8983	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-119629.65	239271.3	2035674.39	16323.7	7.0,7.0,7.0,7.0,7.0,7.0	20.9787,12.5219,2.7289,1.9173,1.3782,0.2747	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-418836.23	837684.46	12033244.73	4912.32	8.0,8.0,8.0,8.0,8.0,8.0	107.2021,4.6683,195.0885,1.3681,4.9748,0.4024	nu1, nu2, nu1F, nu2F, T1, T2
outQ0.unfold.group1_dadi_Amil_dadi_snp_Q5_ind834_sites_qc_dep_ngspara_n80_chrOnly_USE_folded	no	split_bottle	3	-114355.14	228722.28	1238054.58	17204.23	9.0,9.0,9.0,9.0,9.0,9.0	7.9816,43.7593,17.7618,0.6764,1.301,0.3054	nu1, nu2, nu1F, nu2F, T1, T2
