Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_full_2het_group2-group3_process1_05-6-25	Run 2	-2148.10	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.26589, 1.19631, 0.00079, 0.26376, 0.86795, 0, 9.74368, 3.76123, 3.3194, 10.49137, 3.07702, 200.0, 1.51546, 8.1419, 0, 4.94488, 0.83037, 0.7802)	11855.308988272704
output_full_2het_group2-group3_process1_05-6-25	Run 4	-9892.05	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 0.71051, 0.00144, 1.36517, 2.3709, 5.34299, 0, 0.21723, 0.00e+00, 1.72929, 11.40584, 15.22391, 0, 2.64296, 0, 1.49547, 0.00527, 0.31918)	9825.727288707403
output_full_2het_group2-group3_process1_05-6-25	Run 3	-12252.99	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.06094, 0.82252, 0.12783, 1.05611, 0.16548, 0.75074, 0, 8.78103, 15.0, 0.63525, 7.23653, 3.67372, 0.00e+00, 0.00e+00, 5.55915, 0.00e+00, 0.32441, 0.86613)	25801.884421812352
output_full_2het_group2-group3_process1_05-6-25	Run 1	-13045.87	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(16.76566, 0.03732, 2.14704, 102.68357, 10.20829, 0.00e+00, 0, 13.07238, 0.60504, 0.01542, 0.96026, 14.30651, 0, 0, 4.1521, 0.00e+00, 0.44532, 0.44661)	4819.46546413155
output_full_2het_group1-group2_process4_05-6-25	Run 3	-1599.61	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.1351, 9.69193, 2.43359, 40.6472, 200.0, 13.15511, 0.00e+00, 15.0, 0.00e+00, 0.00838, 5.00824, 0.5976, 0.07752, 0.001, 15.0, 0.00e+00, 0.73073, 0.70209)	3.544948308246964e-05
output_full_2het_group1-group2_process4_05-6-25	Run 5	-1612.76	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.06095, 1.95968, 1.74981, 1.24952, 5.91042, 0, 0.78733, 0, 0.00e+00, 8.26675, 26.30678, 2.14575, 9.66716, 0, 15.0, 0.8211, 0.26993, 0.03846)	0.0006048576704410838
output_full_2het_group1-group2_process4_05-6-25	Run 1	-1849.70	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(81.72578, 0.61641, 11.99881, 56.12067, 2.92734, 4.48279, 4.90007, 11.79215, 3.29354, 2.53e-10, 0.75887, 1.33609, 0.11694, 0, 5.61683, 10.15259, 0.37714, 0.67554)	73233.00440589942
output_full_2het_group1-group2_process4_05-6-25	Run 2	-5972.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.36031, 50.45258, 1.22915, 20.12077, 17.21118, 0.00e+00, 5.01777, 0.03734, 5.70116, 0.0207, 8.46635, 200.0, 0.59545, 10.22375, 0.00e+00, 13.96227, 0.73878, 0.53482)	6808.455926066111
output_full_2het_group1-group2_process4_05-6-25	Run 4	-7926.31	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(40.75109, 17.36247, 2.06581, 0.57253, 95.59966, 7.95643, 0.00e+00, 0, 1.7104, 1.12525, 19.07633, 20.42581, 4.31593, 0, 3.15436, 0, 0.17644, 0.44851)	6615.482559252688
output_full_2het_group4-Amil_process8_05-6-25	Run 4	-1430.91	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.72796, 1.65127, 1.27132, 6.62899, 4.89884, 0.00e+00, 0.39411, 6.70926, 0.00e+00, 11.40104, 24.01261, 21.09253, 0.00e+00, 15.0, 0.00e+00, 7.98334, 0.88812, 0.64442)	255.59345891291676
output_full_2het_group4-Amil_process8_05-6-25	Run 3	-1431.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.55962, 0.07038, 0.85803, 7.12941, 78.45671, 0.00e+00, 0.00e+00, 1.03707, 0.00e+00, 3.23699, 200.0, 1.20583, 0.00e+00, 12.99341, 0.00e+00, 15.0, 0.40165, 0.50974)	805.2344479483044
output_full_2het_group4-Amil_process8_05-6-25	Run 1	-1462.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.56671, 43.97096, 1.01122, 11.57868, 7.13465, 1.35158, 1.12136, 0.00e+00, 0.00e+00, 10.72137, 200.0, 1.93523, 7.25272, 13.49092, 4.40128, 2.02524, 0.36473, 0.65541)	0.3627348291531008
output_full_2het_group4-Amil_process8_05-6-25	Run 6	-8330.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.0, 200.0, 1.51947, 22.17809, 6.15942, 1.54285, 0.001, 15.0, 9.34e-21, 0.00989, 1.36076, 2.64512, 12.3955, 5.36e-22, 15.0, 1.40e-22, 0.31704, 0.40635)	15972.288452099834
output_full_2het_group4-Amil_process8_05-6-25	Run 7	-9657.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.51339, 200.0, 0.95261, 10.64081, 3.75668, 0.001, 0.22942, 0.00e+00, 2.98465, 0.00711, 5.14391, 71.84875, 15.0, 0.00e+00, 0.00e+00, 6.02439, 0.51841, 0.35075)	25627.142822086604
output_full_2het_group1-group3_process1_05-6-25	Run 7	-6130.51	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.05298, 200.0, 0.51252, 0.25527, 35.44755, 8.69617, 0.00e+00, 0.4937, 2.73954, 0.62038, 8.87597, 10.60308, 10.841, 0.19638, 15.0, 0.001, 0.16437, 0.42451)	13984.568943794839
output_full_2het_group1-group3_process1_05-6-25	Run 1	-6833.79	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.73442, 14.84431, 1.37494, 16.8534, 40.25501, 0.00e+00, 7.88627, 0.001, 3.63117, 0.00905, 5.39028, 1.0, 15.0, 0.00e+00, 15.0, 0.00e+00, 0.63059, 0.65726)	6402.147033775303
output_full_2het_group1-group3_process1_05-6-25	Run 2	-7581.86	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 200.0, 0.73915, 1.0, 56.57104, 0.00e+00, 0.8493, 1.63108, 0.00e+00, 0.56277, 12.24932, 14.07717, 0.001, 1.92198, 0.00e+00, 0.27333, 0.59203, 0.35053)	9645.941806221426
output_full_2het_group1-group3_process1_05-6-25	Run 3	-7601.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.42316, 39.3654, 0.91752, 16.16162, 8.12049, 0.001, 0.00e+00, 1.84738, 0.00e+00, 0.01034, 1.0, 200.0, 0.24984, 15.0, 0.00e+00, 13.56, 0.81965, 0.32434)	12475.384581890086
output_full_2het_group1-group3_process1_05-6-25	Run 6	-8139.57	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 0.91186, 4.64728, 0.33184, 7.65639, 0.00e+00, 0.00e+00, 1.67931, 1.23615, 0.61475, 8.52439, 8.42823, 0.68265, 0.00e+00, 1.74537, 0.00e+00, 0.57954, 0.82019)	15702.767913690548
output_full_2het_group1-group2_process1_05-6-25	Run 1	-1599.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.29744, 0.06846, 14.02414, 1.00071, 200.0, 0.00e+00, 5.25667, 0.42236, 3.92079, 0.66427, 9.66566, 0.82584, 0.00e+00, 0.00e+00, 0.00e+00, 0.04613, 0.53607, 0.55831)	0.97532145080175
output_full_2het_group1-group2_process1_05-6-25	Run 3	-5783.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.18414, 13.42764, 2.03173, 26.28777, 28.01084, 0.00e+00, 0.00e+00, 0.001, 0.59202, 0.02056, 8.53077, 8.3141, 0.65181, 15.0, 0.00e+00, 8.10135, 0.32553, 0.50141)	5215.489432726281
output_full_2het_group1-group2_process1_05-6-25	Run 2	-5977.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.64206, 33.78092, 1.27179, 22.64937, 19.67409, 7.75773, 0.001, 6.27567, 4.61e-20, 0.01452, 5.49947, 52.06697, 6.74e-21, 11.41057, 0.7032, 15.0, 0.27267, 0.45011)	6432.830470044684
