Directory	Run	LogLikelihood	ModelParameters	ModelValues
output_full_group1-group3_process4_30-5-25	Run 1	-12748.43	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.923, 0.81, 5.0, 0.934, 30.967, 0.00e+00, 0.52, 1.875, 23.037, 24.733, 0.166, 0.29, 5310.14)
output_full_group1-group3_process4_30-5-25	Run 8	-12750.66	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.289, 0.709, 4.589, 0.811, 29.488, 0.00e+00, 0.616, 1.608, 19.688, 21.779, 0.203, 0.317, 6083.41)
output_full_group1-group3_process4_30-5-25	Run 6	-12760.59	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.414, 9.965, 5.0, 0.894, 32.433, 0.00e+00, 0.597, 1.642, 20.639, 23.199, 0.205, 0.282, 5782.66)
output_full_group1-group3_process4_30-5-25	Run 4	-13248.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(4.387, 1.013, 1.97, 2.535, 29.943, 0.00e+00, 0.00e+00, 1.368, 24.054, 24.964, 0.248, 0.219, 5583.87)
output_full_group1-group3_process4_30-5-25	Run 2	-13271.82	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(4.968, 0.16, 1.671, 1.948, 38.248, 0.00e+00, 0.00e+00, 1.208, 20.051, 21.08, 0.302, 0.244, 6344.92)
output_full_group1-group3_process5_30-5-25	Run 3	-12769.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(11.734, 1.509, 5.0, 0.721, 22.688, 0.00e+00, 0.757, 1.34, 16.794, 19.69, 0.257, 0.328, 7035.65)
output_full_group1-group3_process5_30-5-25	Run 2	-12773.05	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.046, 0.618, 5.0, 0.884, 33.009, 0.00e+00, 0.61, 1.608, 20.328, 23.306, 0.216, 0.268, 5822.56)
output_full_group1-group3_process5_30-5-25	Run 4	-12784.62	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.199, 1.441, 5.0, 1.0, 35.653, 0.00e+00, 0.557, 1.72, 21.957, 24.905, 0.199, 0.255, 5425.04)
output_full_group1-group3_process5_30-5-25	Run 8	-12820.64	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.183, 1.669, 4.68, 1.0, 39.83, 0.00e+00, 0.567, 1.625, 20.798, 22.98, 0.202, 0.287, 5705.73)
output_full_group1-group3_process5_30-5-25	Run 1	-13231.66	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.546, 0.593, 1.756, 2.339, 35.704, 0.00e+00, 0.00e+00, 1.149, 21.132, 21.914, 0.312, 0.226, 6213.22)
output_full_group3-group4_process2_30-5-25	Run 7	-8702.55	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(6.113, 0.35, 1.879, 5.205, 31.048, 4.11e-04, 2.05e-07, 0.483, 13.804, 20.021, 1.324, 0.287, 8683.56)
output_full_group3-group4_process2_30-5-25	Run 6	-9581.29	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.107, 0.154, 1.69, 3.35, 33.145, 3.48e-04, 0.078, 0.685, 12.462, 21.493, 1.118, 0.178, 8791.11)
output_full_group3-group4_process2_30-5-25	Run 5	-9973.61	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.722, 0.41, 1.631, 3.457, 52.499, 0.00e+00, 0.00e+00, 0.817, 13.325, 18.808, 0.993, 0.27, 8494.47)
output_full_group3-group4_process2_30-5-25	Run 2	-10021.17	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.212, 0.107, 1.857, 3.201, 36.402, 0.026, 0.00e+00, 1.155, 16.114, 26.632, 0.747, 0.191, 7157.99)
output_full_group3-group4_process2_30-5-25	Run 4	-10117.81	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.013, 0.86, 2.068, 3.237, 38.726, 0.011, 0.00e+00, 1.317, 16.972, 29.489, 0.685, 0.17, 6522.67)
output_full_group2-group4_process7_30-5-25	Run 5	-12772.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.475, 0.271, 2.387, 5.426, 37.865, 0.00e+00, 0.00e+00, 1.092, 23.178, 30.915, 0.436, 0.101, 6049.97)
output_full_group2-group4_process7_30-5-25	Run 1	-12850.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.923, 4.038, 2.182, 3.944, 45.957, 0.00e+00, 0.00e+00, 1.204, 21.91, 29.074, 0.455, 0.093, 6177.57)
output_full_group2-group4_process7_30-5-25	Run 4	-12853.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.412, 1.426, 2.322, 5.635, 32.576, 0.00e+00, 0.00e+00, 1.077, 24.103, 30.806, 0.411, 0.113, 6196.13)
output_full_group2-group4_process7_30-5-25	Run 6	-12907.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.849, 0.074, 2.158, 3.76, 35.315, 0.013, 0.00e+00, 1.304, 22.891, 31.89, 0.415, 0.085, 6089.81)
output_full_group2-group4_process7_30-5-25	Run 7	-12917.91	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.624, 9.282, 2.425, 3.966, 47.512, 0.00e+00, 0.00e+00, 1.5, 24.244, 34.821, 0.4, 0.07, 5404.09)
output_full_group2-Amil_process1_30-5-25	Run 8	-24159.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.087, 5.143, 3.852, 1.527, 20.58, 0.00e+00, 0.00e+00, 3.104, 27.149, 12.381, 0.027, 0.188, 7342.30)
output_full_group2-Amil_process1_30-5-25	Run 6	-24163.31	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.362, 0.427, 2.43, 1.102, 15.468, 0.00e+00, 0.002, 2.162, 19.121, 9.143, 0.042, 0.246, 10326.11)
output_full_group2-Amil_process1_30-5-25	Run 4	-24165.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.371, 0.572, 3.146, 1.322, 15.076, 0.00e+00, 0.00e+00, 2.739, 23.384, 11.249, 0.032, 0.206, 8403.79)
output_full_group2-Amil_process1_30-5-25	Run 7	-24182.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.773, 12.857, 3.82, 1.543, 19.804, 0.00e+00, 0.037, 2.867, 25.634, 12.102, 0.032, 0.18, 7694.84)
output_full_group2-Amil_process1_30-5-25	Run 1	-24182.89	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.058, 0.329, 2.718, 1.153, 16.281, 0.00e+00, 0.034, 2.322, 20.138, 9.812, 0.04, 0.224, 9677.27)
output_full_group4-Amil_process3_30-5-25	Run 1	-25516.19	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.115, 1.036, 3.569, 1.32, 15.353, 0.00e+00, 0.00e+00, 2.926, 27.18, 9.906, 0.028, 0.241, 9437.46)
output_full_group4-Amil_process3_30-5-25	Run 5	-25559.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.278, 0.864, 2.671, 1.038, 10.384, 0.00e+00, 0.00e+00, 2.432, 21.966, 8.391, 0.033, 0.288, 11532.69)
output_full_group4-Amil_process3_30-5-25	Run 4	-25566.11	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(100.0, 0.109, 2.728, 1.085, 8.983, 0.00e+00, 0.00e+00, 2.481, 22.833, 8.623, 0.031, 0.283, 11280.48)
output_full_group4-Amil_process3_30-5-25	Run 8	-25593.19	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.727, 0.652, 3.119, 1.165, 10.249, 0.00e+00, 0.00e+00, 2.7, 24.051, 9.617, 0.03, 0.258, 10371.49)
output_full_group4-Amil_process3_30-5-25	Run 7	-25648.50	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.502, 0.725, 2.274, 1.0, 11.926, 0.00e+00, 0.00e+00, 2.053, 19.181, 7.185, 0.041, 0.323, 13222.42)
output_full_group3-Amil_process6_30-5-25	Run 5	-23949.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.046, 0.969, 2.633, 1.04, 12.903, 0.00e+00, 0.00e+00, 2.452, 19.733, 9.305, 0.034, 0.261, 10384.01)
output_full_group3-Amil_process6_30-5-25	Run 4	-23961.06	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.109, 4.019, 2.665, 1.066, 12.295, 0.00e+00, 0.00e+00, 2.518, 20.088, 9.663, 0.033, 0.251, 10152.68)
output_full_group3-Amil_process6_30-5-25	Run 7	-23982.47	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(18.758, 2.662, 1.845, 0.806, 13.128, 0.00e+00, 0.00e+00, 1.912, 15.633, 7.352, 0.046, 0.322, 13157.76)
output_full_group3-Amil_process6_30-5-25	Run 3	-23984.54	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.144, 0.134, 1.978, 0.826, 10.986, 0.00e+00, 0.00e+00, 2.052, 16.125, 7.816, 0.042, 0.306, 12534.40)
output_full_group3-Amil_process6_30-5-25	Run 6	-23993.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.991, 0.245, 2.788, 1.135, 21.336, 0.00e+00, 0.00e+00, 2.391, 20.356, 8.949, 0.036, 0.257, 10242.98)
output_full_group2-group3_process3_30-5-25	Run 4	-10692.91	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(21.799, 0.441, 2.491, 13.788, 19.775, 0.00e+00, 0.00e+00, 0.547, 26.247, 24.02, 0.538, 0.424, 6232.47)
output_full_group2-group3_process3_30-5-25	Run 3	-11195.08	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(4.438, 27.782, 2.159, 7.655, 29.86, 0.00e+00, 0.00e+00, 0.675, 20.925, 20.113, 0.706, 0.264, 6636.09)
output_full_group2-group3_process3_30-5-25	Run 5	-11197.35	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.136, 0.682, 2.449, 7.216, 30.839, 0.00e+00, 0.00e+00, 0.985, 25.677, 25.69, 0.517, 0.2, 5645.13)
output_full_group2-group3_process3_30-5-25	Run 8	-11272.98	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.628, 0.012, 2.34, 24.676, 8.975, 0.00e+00, 0.00e+00, 0.747, 23.697, 24.062, 0.239, 0.596, 6190.88)
output_full_group2-group3_process3_30-5-25	Run 7	-11409.95	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(9.922, 0.66, 2.192, 7.251, 27.309, 0.00e+00, 0.00e+00, 0.856, 21.162, 21.352, 0.566, 0.237, 6386.12)
output_full_group3-group4_process5_30-5-25	Run 6	-9877.06	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.189, 0.512, 1.947, 3.755, 41.292, 0.00e+00, 0.093, 0.987, 14.349, 26.024, 0.939, 0.132, 7296.08)
output_full_group3-group4_process5_30-5-25	Run 1	-10117.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.301, 0.587, 2.119, 3.518, 51.324, 0.00e+00, 0.069, 1.194, 16.163, 26.818, 0.778, 0.141, 6643.10)
output_full_group3-group4_process5_30-5-25	Run 2	-10360.91	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.764, 0.067, 1.689, 2.116, 59.484, 0.00e+00, 0.00e+00, 1.248, 13.995, 24.39, 0.831, 0.179, 7346.31)
output_full_group3-group4_process5_30-5-25	Run 8	-10367.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.467, 0.262, 1.764, 2.465, 44.486, 0.00e+00, 0.00e+00, 1.316, 14.061, 27.798, 0.84, 0.148, 7007.37)
output_full_group3-group4_process5_30-5-25	Run 4	-10433.39	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.264, 6.02, 1.788, 2.088, 49.706, 8.33e-19, 1.28e-18, 1.403, 15.022, 27.843, 0.752, 0.153, 6829.35)
output_full_group1-group2_process3_30-5-25	Run 7	-12726.30	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.879, 9.72, 3.104, 1.0, 16.547, 0.00e+00, 0.326, 2.182, 26.223, 26.217, 0.099, 0.325, 4810.31)
