Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_2het_group1-group4_process7_02-7-25	Run 5	-1367.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.04554, 145.97293, 10.15271, 1.00001, 200.0, 3.49648, 4.70149, 13.25073, 9.61747, 1.05595, 0.13409, 4.15028, 0, 15.0, 0.18071, 0.00e+00, 0.2802, 0.49533)	0.1260784551854737
output_proj_2het_group1-group4_process7_02-7-25	Run 6	-2446.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.359, 200.0, 0.82845, 0.20444, 33.86859, 0.00e+00, 10.37001, 2.00171, 0.00e+00, 0.64559, 9.56083, 15.31553, 9.00775, 0.22475, 15.0, 0.001, 0.81515, 0.4083)	13195.524684399292
output_proj_2het_group1-group4_process7_02-7-25	Run 3	-3107.89	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.99995, 200.0, 1.14701, 0.25011, 47.54553, 6.35568, 0.00e+00, 0.00e+00, 1.71947, 0.4879, 10.59433, 16.45486, 0.001, 1.86176, 0.00e+00, 0.00e+00, 0.24698, 0.3089)	10849.430492561289
output_proj_2het_group1-group4_process7_02-7-25	Run 2	-3581.52	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 156.80829, 0.65042, 2.14523, 200.0, 0.82953, 0.26333, 0.00e+00, 1.75193, 0.48796, 11.29946, 14.46254, 11.93461, 0.00e+00, 0.07634, 0.00e+00, 0.2075, 0.39432)	11820.868980605386
output_proj_2het_group1-group4_process7_02-7-25	Run 7	-4209.72	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.46805, 200.0, 1.01959, 13.95399, 17.85401, 0.00e+00, 0.9247, 0.60186, 0.00e+00, 0.00358, 0.74032, 200.0, 0.00e+00, 15.0, 0.00e+00, 15.0, 0.48681, 0.06097)	9530.910596864018
output_proj_2het_group2-Amil_process2_02-7-25	Run 5	-959.25	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.65679, 2.08749, 0.08593, 11.42698, 5.89019, 1.24394, 0, 5.65117, 3.56241, 2.85787, 200.0, 165.79017, 0.00e+00, 14.46274, 0.04787, 15.0, 0.30885, 0.65878)	0.0290823942864868
output_proj_2het_group2-Amil_process2_02-7-25	Run 2	-960.88	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.20399, 1.42091, 0.91615, 6.16642, 12.5455, 0.00e+00, 4.86527, 0.00e+00, 0.00e+00, 15.0, 200.0, 0.04469, 10.55034, 14.51796, 0.00e+00, 3.65378, 0.54755, 0.65001)	222522.46911447102
output_proj_2het_group2-Amil_process2_02-7-25	Run 1	-3557.01	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.93697, 14.70773, 1.47353, 13.07927, 7.0797, 0.00015, 0.00256, 0.00198, 0.15748, 0.06395, 42.37644, 14.4638, 0.16665, 3.48834, 0.0001, 14.31665, 0.52214, 0.64926)	13760.41659065058
output_proj_2het_group2-Amil_process2_02-7-25	Run 6	-4907.87	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.99699, 200.0, 1.35558, 18.4452, 6.64064, 3.7581, 0.00e+00, 15.0, 0.001, 0.00737, 1.0, 200.0, 0.00e+00, 15.0, 5.17618, 6e-05, 0.28383, 0.64668)	14224.73717937681
output_proj_2het_group2-Amil_process2_02-7-25	Run 4	-6297.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.43975, 0.01, 0.66458, 0.05862, 200.0, 1.08008, 15.0, 1.72223, 9.96e-24, 0.43284, 4.95105, 2.21897, 0.001, 0.71504, 5.63e-22, 2.33367, 0.48307, 0.41609)	41920.77069377223
