Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_full_2het_group2-group3_process1_05-6-25	Run 2	-2148.10	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.26589, 1.19631, 0.00079, 0.26376, 0.86795, 0, 9.74368, 3.76123, 3.3194, 10.49137, 3.07702, 200.0, 1.51546, 8.1419, 0, 4.94488, 0.83037, 0.7802)	501167.0178551963
output_full_2het_group2-group3_process1_05-6-25	Run 4	-9892.05	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 0.71051, 0.00144, 1.36517, 2.3709, 5.34299, 0, 0.21723, 0.00e+00, 1.72929, 11.40584, 15.22391, 0, 2.64296, 0, 1.49547, 0.00527, 0.31918)	9807.860651018751
output_full_2het_group2-group3_process1_05-6-25	Run 3	-12252.99	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.06094, 0.82252, 0.12783, 1.05611, 0.16548, 0.75074, 0, 8.78103, 15.0, 0.63525, 7.23653, 3.67372, 0.00e+00, 0.00e+00, 5.55915, 0.00e+00, 0.32441, 0.86613)	25806.239755371673
output_full_2het_group2-group3_process1_05-6-25	Run 1	-13045.87	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(16.76566, 0.03732, 2.14704, 102.68357, 10.20829, 0.00e+00, 0, 13.07238, 0.60504, 0.01542, 0.96026, 14.30651, 0, 0, 4.1521, 0.00e+00, 0.44532, 0.44661)	4817.328898216512
output_proj_2het_group1-group3_process3_05-6-25	Run 3	-2534.24	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.0, 200.0, 0.72813, 0.11812, 34.29895, 0.00e+00, 13.63231, 1.72501, 0.00e+00, 1.13152, 14.00808, 17.82767, 9.53195, 0.10652, 7.9785, 0.06995, 0.65255, 0.373)	8341.346737890437
output_proj_2het_group1-group3_process3_05-6-25	Run 5	-2737.94	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.59858, 20.4849, 2.19938, 27.92253, 27.99126, 0.001, 0.02805, 0.00908, 0.5447, 0.01675, 15.62458, 14.57855, 4.67e-20, 15.0, 4.11e-21, 13.9, 0.45273, 0.43179)	4928.9872654986575
output_proj_2het_group1-group3_process3_05-6-25	Run 7	-3080.25	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.28662, 28.94602, 1.49869, 19.1218, 21.09563, 0.34197, 0.00e+00, 0.6989, 0.00e+00, 0.01268, 200.0, 200.0, 15.0, 0.00e+00, 15.0, 0.94919, 0.48877, 0.52373)	6395.274116562259
output_proj_2het_group1-group3_process3_05-6-25	Run 1	-3101.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.65193, 32.47964, 1.34536, 19.02993, 20.45475, 5.13544, 0.00819, 4.55157, 0.00024, 0.13342, 27.60518, 30.51401, 1.47055, 0.00409, 1.80394, 0.09566, 0.2936, 0.57111)	6307.794837569067
output_proj_2het_group1-group3_process3_05-6-25	Run 8	-3635.54	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.04135, 194.13591, 2.03584, 0.73421, 156.79577, 4.59092, 0.00e+00, 0.00e+00, 0.94685, 0.91491, 21.73891, 20.02791, 1.20655, 0.00e+00, 0.35039, 0.00e+00, 0.20608, 0.58292)	5949.513549804017
output_full_2het_group1-group2_process4_05-6-25	Run 3	-1599.61	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.1351, 9.69193, 2.43359, 40.6472, 200.0, 13.15511, 0.00e+00, 15.0, 0.00e+00, 0.00838, 5.00824, 0.5976, 0.07752, 0.001, 15.0, 0.00e+00, 0.73073, 0.70209)	0.00026909292908840155
output_full_2het_group1-group2_process4_05-6-25	Run 5	-1612.76	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.06095, 1.95968, 1.74981, 1.24952, 5.91042, 0, 0.78733, 0, 0.00e+00, 8.26675, 26.30678, 2.14575, 9.66716, 0, 15.0, 0.8211, 0.26993, 0.03846)	0.007802253781192217
output_full_2het_group1-group2_process4_05-6-25	Run 1	-1849.70	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(81.72578, 0.61641, 11.99881, 56.12067, 2.92734, 4.48279, 4.90007, 11.79215, 3.29354, 2.53e-10, 0.75887, 1.33609, 0.11694, 0, 5.61683, 10.15259, 0.37714, 0.67554)	132490.90643494882
output_full_2het_group1-group2_process4_05-6-25	Run 2	-5972.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.36031, 50.45258, 1.22915, 20.12077, 17.21118, 0.00e+00, 5.01777, 0.03734, 5.70116, 0.0207, 8.46635, 200.0, 0.59545, 10.22375, 0.00e+00, 13.96227, 0.73878, 0.53482)	6800.437366928959
output_full_2het_group1-group2_process4_05-6-25	Run 4	-7926.31	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(40.75109, 17.36247, 2.06581, 0.57253, 95.59966, 7.95643, 0.00e+00, 0, 1.7104, 1.12525, 19.07633, 20.42581, 4.31593, 0, 3.15436, 0, 0.17644, 0.44851)	6617.427527367273
output_proj_2het_group1-group4_process8_05-6-25	Run 4	-2448.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 0.01681, 0.38854, 0.08472, 200.0, 3.17e-25, 14.07422, 6.39126, 3.19e-25, 0.17437, 3.03301, 3.66011, 3.72708, 0.87272, 15.0, 0.25036, 0.62065, 0.55267)	46035.901334163376
output_proj_2het_group1-group4_process8_05-6-25	Run 6	-3323.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.36068, 200.0, 0.85387, 8.00579, 19.20442, 0.001, 0.00e+00, 0.03985, 1.76901, 0.01924, 7.9199, 2.3479, 14.41512, 0.00e+00, 0.00e+00, 0.00e+00, 0.1667, 0.64289)	14010.84130068231
output_proj_2het_group1-group4_process8_05-6-25	Run 1	-3465.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 200.0, 0.95607, 2.39106, 200.0, 0.2375, 0.44951, 1.11234, 0.02603, 0.62779, 13.1832, 18.08772, 0.00e+00, 5.67424, 0.00e+00, 0.00333, 0.82998, 0.56814)	8925.80655480713
output_proj_2het_group1-group4_process8_05-6-25	Run 3	-3509.42	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 200.0, 0.8079, 2.24894, 200.0, 0.68292, 0.23388, 0.00e+00, 1.37074, 0.58252, 11.78696, 16.76656, 0.00e+00, 6.19237, 0.02233, 0.00e+00, 0.20623, 0.57685)	9958.128562156742
output_proj_2het_group1-group4_process8_05-6-25	Run 5	-4049.54	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 81.93179, 0.62751, 1.58359, 200.0, 0.36862, 1.05209, 1.75439, 0.00e+00, 0.79876, 12.08615, 20.50712, 13.50629, 0.00e+00, 0.18351, 0.00e+00, 0.80981, 0.42163)	10153.16932665794
output_proj_2het_group1-group4_process3_05-6-25	Run 3	-2403.99	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 0.26207, 1.03215, 0.19086, 44.19617, 3.61e-21, 15.0, 2.21598, 5.37e-21, 0.21618, 6.88156, 8.36331, 0.30102, 5.64147, 0.001, 7.28e-21, 0.54493, 0.49329)	17462.99567469977
output_proj_2het_group1-group4_process3_05-6-25	Run 5	-2433.89	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.12919, 200.0, 0.78188, 0.46792, 59.01708, 2.32965, 0.00e+00, 0.02803, 1.7809, 0.67059, 8.97815, 15.2376, 10.94573, 0.23399, 10.67402, 0.00e+00, 0.12407, 0.38951)	12378.443074771132
output_proj_2het_group1-group4_process3_05-6-25	Run 6	-3152.64	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(25.78858, 200.0, 1.1706, 0.194, 50.13297, 0.00e+00, 11.04185, 1.70953, 0.00e+00, 0.47706, 13.59502, 17.07299, 1.94759, 0.00e+00, 0.04037, 0, 0.6586, 0.61595)	10006.792576942942
output_proj_2het_group1-group4_process3_05-6-25	Run 2	-3241.64	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.66828, 200.0, 0.71343, 0.1187, 155.25411, 12.93054, 0.00e+00, 0.00e+00, 2.61617, 0.43548, 7.37281, 10.18399, 0.001, 1.62225, 0.00e+00, 0.64273, 0.23146, 0.24053)	15366.60185056893
output_proj_2het_group1-group4_process3_05-6-25	Run 4	-3568.76	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 0.01, 2.44426, 0.31071, 54.28538, 0.83183, 7.00889, 1.25731, 0.00e+00, 0.61642, 15.54356, 21.56891, 2.06338, 0.00e+00, 0.00e+00, 0.00e+00, 0.64597, 0.54027)	8562.960284526931
output_full_2het_group4-Amil_process8_05-6-25	Run 4	-1430.91	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.72796, 1.65127, 1.27132, 6.62899, 4.89884, 0.00e+00, 0.39411, 6.70926, 0.00e+00, 11.40104, 24.01261, 21.09253, 0.00e+00, 15.0, 0.00e+00, 7.98334, 0.88812, 0.64442)	7924.6667582520395
output_full_2het_group4-Amil_process8_05-6-25	Run 3	-1431.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.55962, 0.07038, 0.85803, 7.12941, 78.45671, 0.00e+00, 0.00e+00, 1.03707, 0.00e+00, 3.23699, 200.0, 1.20583, 0.00e+00, 12.99341, 0.00e+00, 15.0, 0.40165, 0.50974)	30.835047466506158
output_full_2het_group4-Amil_process8_05-6-25	Run 1	-1462.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.56671, 43.97096, 1.01122, 11.57868, 7.13465, 1.35158, 1.12136, 0.00e+00, 0.00e+00, 10.72137, 200.0, 1.93523, 7.25272, 13.49092, 4.40128, 2.02524, 0.36473, 0.65541)	0.15406418092392685
output_full_2het_group4-Amil_process8_05-6-25	Run 6	-8330.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.0, 200.0, 1.51947, 22.17809, 6.15942, 1.54285, 0.001, 15.0, 9.34e-21, 0.00989, 1.36076, 2.64512, 12.3955, 5.36e-22, 15.0, 1.40e-22, 0.31704, 0.40635)	15960.724616648724
output_full_2het_group4-Amil_process8_05-6-25	Run 7	-9657.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.51339, 200.0, 0.95261, 10.64081, 3.75668, 0.001, 0.22942, 0.00e+00, 2.98465, 0.00711, 5.14391, 71.84875, 15.0, 0.00e+00, 0.00e+00, 6.02439, 0.51841, 0.35075)	25621.964610579722
output_proj_2het_group2-group4_process5_05-6-25	Run 1	-1379.56	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.10441, 0.01, 1.20e-06, 0.66245, 0.01, 0.56904, 3.84575, 3.39018, 0.00e+00, 13.98302, 0.05704, 200.0, 15.0, 0.00e+00, 4.06095, 2.67843, 0.7477, 0.23226)	1551720.7613833062
output_proj_2het_group2-group4_process5_05-6-25	Run 4	-2033.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(6.12739, 13.96155, 1.86292, 26.23534, 37.52991, 0.00e+00, 4.31858, 0.00e+00, 2.86572, 0.01273, 5.99272, 10.24782, 14.6536, 0.00e+00, 10.3784, 0.19029, 0.64732, 0.56068)	5759.925830124753
output_proj_2het_group2-group4_process5_05-6-25	Run 7	-2061.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(6.4267, 12.18244, 1.83132, 22.83366, 44.89977, 0.00e+00, 5.50353, 0.00e+00, 2.78433, 0.02248, 13.93595, 5.92935, 8.70384, 0.00e+00, 6.31231, 0.00e+00, 0.64691, 0.56021)	5830.137907293417
output_proj_2het_group2-group4_process5_05-6-25	Run 3	-3509.88	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 0.51851, 0.06677, 0.19327, 0.38803, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 2.42466, 15.42543, 22.59538, 7.97809, 0.06343, 5.05117, 0.04749, 0.13351, 0.43246)	7928.770781820765
output_proj_2het_group2-group4_process5_05-6-25	Run 6	-3628.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(169.24569, 4.48379, 2.29818, 11.86138, 76.95966, 3.5561, 0.00e+00, 0.83916, 0.04856, 0.03357, 200.0, 3.16996, 0.00e+00, 4.50436, 0.00e+00, 0.00e+00, 0.57382, 0.45703)	5381.451740200786
