Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 2	-4450.68	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.8632, 300.0, 1.14739, 13.41642, 4.89392, 0.14728, 13.08378, 9.20022, 0.90235, 5.41809, 0.51048)	15867.464631970017
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 4	-4552.22	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.80973, 300.0, 1.15679, 11.22857, 5.23274, 0.31869, 16.94544, 8.23101, 0.42827, 2.52575, 0.48162)	14931.036000094524
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 1	-4579.52	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.77377, 300.0, 1.09223, 11.59091, 5.04861, 0.33007, 15.08441, 7.7228, 0.39848, 2.40559, 0.47205)	15433.605508289558
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 8	-4624.41	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.78093, 300.0, 1.11714, 11.66366, 4.91719, 0.36596, 15.73367, 8.22441, 0.3495, 2.19022, 0.46258)	15037.050418660276
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 3	-4956.65	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.56394, 300.0, 0.8211, 10.11565, 4.03658, 0.37692, 11.83189, 6.49155, 0.35334, 2.23033, 0.45356)	18366.179752567845
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 6	-11310.88	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.1207, 300.0, 0.02847, 0.04379, 300.0, 1.33427, 8.26175, 6.01695, 3.34328, 5.94886, 0.65852)	20947.412663501404
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 7	-11563.83	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01321, 300.0, 0.00714, 0.02391, 300.0, 1.35256, 8.45579, 6.14643, 6.28868, 14.27374, 0.67616)	20921.388042687206
output_proj_hetsc_group2-Amil_process1_28-7-25	Run 5	-12840.28	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.64613, 1.0, 0.8581, 11.82556, 300.0, 0.79038, 14.15168, 5.27459, 0.001, 1.24109, 0.22054)	15972.672094174975
output_proj_hetsc_group1-group4_process7_28-7-25	Run 3	-5126.51	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(4.93343, 300.0, 0.78369, 1.001, 27.8401, 0.77262, 15.11765, 24.60227, 1.26619, 0.1651, 0.28263)	7948.657890259135
output_proj_hetsc_group1-group4_process7_28-7-25	Run 2	-5871.55	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.0, 300.0, 0.40922, 0.2622, 154.00959, 1.06447, 11.46875, 12.98127, 0.19336, 1.36602, 0.1053)	12163.404862505027
output_proj_hetsc_group1-group4_process7_28-7-25	Run 1	-6940.06	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(300.0, 300.0, 0.48272, 1.00097, 72.74597, 1.31946, 13.46854, 27.04963, 4.33359, 3.12e-15, 0.48986)	7779.965742658703
output_proj_hetsc_group1-group4_process7_28-7-25	Run 5	-8004.70	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.0, 300.0, 0.03034, 0.10105, 300.0, 2.24451, 11.02213, 28.65679, 3.86757, 0.31301, 0.4529)	7651.209131520751
output_proj_hetsc_group1-group4_process7_28-7-25	Run 8	-8094.26	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(300.0, 300.0, 0.01258, 0.04295, 300.0, 2.37043, 11.61404, 29.82686, 4.13361, 0.2764, 0.4622)	7393.416045847745
output_proj_hetsc_group1-group4_process7_28-7-25	Run 7	-8119.04	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01, 300.0, 0.00246, 0.03348, 300.0, 2.34826, 11.65714, 27.96339, 2.77984, 0.38941, 0.4251)	7478.693602882522
output_proj_hetsc_group1-group4_process7_28-7-25	Run 6	-8135.93	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(300.0, 300.0, 0.00345, 0.01035, 300.0, 2.11809, 10.17723, 28.42057, 4.41046, 0.001, 0.44913)	8224.187051471756
output_proj_hetsc_group1-group4_process7_28-7-25	Run 4	-8253.35	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01548, 300.0, 0.00286, 0.02893, 300.0, 1.85574, 9.65789, 22.27925, 4.8284, 1.1114, 0.47437)	9149.783510886147
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 1	-4572.76	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.99994, 14.0708, 1.30144, 14.30346, 6.7619, 0.05327, 13.42594, 4.79873, 2.51726, 14.83132, 0.52397)	14853.231026614307
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 4	-4620.02	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.76982, 300.0, 1.08148, 11.85661, 4.88565, 0.35971, 14.65757, 8.05777, 0.38299, 2.22449, 0.4709)	15350.973592492357
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 7	-4664.78	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.71564, 300.0, 1.01139, 10.70715, 4.66392, 0.36357, 14.65446, 7.81605, 0.36893, 2.25079, 0.47137)	16064.533951480975
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 6	-7232.67	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.23478, 300.0, 0.36197, 1.0, 9.43559, 0.78103, 9.03917, 4.37379, 0.26378, 1.4063, 0.38077)	23352.441236597926
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 2	-8837.69	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.46096, 300.0, 0.51219, 1.0, 300.0, 0.87456, 11.25676, 7.16369, 1.22956, 0.001, 0.52167)	16808.22615276761
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 5	-10488.37	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.16039, 106.03197, 0.01738, 0.01117, 1.0064, 0.8012, 5.65799, 3.22112, 0.22131, 1.7621, 0.33766)	33217.21939776022
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 8	-11570.45	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.04561, 300.0, 0.00702, 0.01001, 300.0, 1.45887, 8.65003, 6.35916, 2.82629, 4.54706, 0.65375)	19842.1616545658
output_proj_hetsc_group2-Amil_process8_28-7-25	Run 3	-11680.92	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01428, 300.0, 0.0111, 0.05725, 300.0, 1.55376, 9.01782, 6.36409, 1.11693, 1.76929, 0.59115)	19019.664493298136
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 1	-4568.81	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.76414, 300.0, 1.06875, 11.46929, 4.74065, 0.3168, 14.85917, 7.95885, 0.40943, 2.57635, 0.47683)	15783.569350555244
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 3	-4624.82	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.72541, 300.0, 1.02346, 11.34554, 4.70802, 0.32297, 14.16147, 7.30573, 0.38351, 2.5041, 0.46197)	16229.36722358457
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 5	-7206.21	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.24324, 300.0, 0.37222, 0.99999, 10.13819, 0.80285, 9.2903, 4.42986, 0.24924, 1.34281, 0.3751)	22856.724902525057
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 8	-8847.34	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.47087, 300.0, 0.51135, 1.0, 300.0, 0.87547, 11.57131, 6.98093, 1.17185, 0.001, 0.51535)	16830.37721554691
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 7	-9607.01	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.23422, 300.0, 0.09472, 0.07164, 9.30853, 0.80294, 6.109, 3.3994, 0.21219, 1.65805, 0.32198)	31086.477417528793
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 4	-11494.70	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01565, 300.0, 0.01282, 0.10926, 300.0, 1.24298, 7.71307, 5.41197, 2.11354, 4.45445, 0.63391)	22595.769639353184
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 6	-11519.50	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01797, 300.0, 0.01436, 0.06227, 300.0, 1.18454, 7.52267, 5.03809, 1.07291, 2.64205, 0.5907)	23573.9114384919
output_proj_hetsc_group2-Amil_process6_28-7-25	Run 2	-11585.60	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(300.0, 300.0, 0.01013, 0.01086, 300.0, 1.47722, 8.52373, 6.21435, 1.47374, 2.26551, 0.60916)	19843.530730393828
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 2	-4771.08	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.6994, 300.0, 0.99277, 11.58399, 4.48852, 0.34431, 12.60088, 6.89529, 0.36238, 2.37459, 0.44849)	17624.412283260088
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 4	-4841.10	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.68781, 300.0, 0.99182, 10.78167, 4.59812, 0.41329, 13.47431, 6.97783, 0.32806, 1.92722, 0.44221)	17155.583994937184
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 8	-4843.21	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.0, 300.0, 1.38613, 13.07069, 5.78854, 0.41717, 18.87197, 9.1555, 0.32782, 1.83921, 0.4565)	13529.650250808072
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 7	-5045.90	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.56119, 300.0, 0.8436, 8.895, 4.32344, 0.42724, 12.19189, 5.88072, 0.31166, 1.94696, 0.42663)	19118.701099839003
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 6	-6983.12	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.224, 300.0, 0.36485, 1.56805, 11.65121, 0.80865, 9.01836, 4.30904, 0.24421, 1.29051, 0.35651)	24059.665896342485
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 5	-11747.03	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01351, 300.0, 0.01152, 0.05982, 300.0, 1.60364, 8.89294, 6.2496, 0.76639, 1.18214, 0.55206)	19994.893174018795
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 1	-11751.26	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.35455, 300.0, 0.01579, 0.01809, 300.0, 1.47483, 8.53876, 6.19587, 1.56132, 2.19185, 0.61345)	20992.10007909437
output_proj_hetsc_group3-Amil_process3_28-7-25	Run 3	-11841.08	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01, 300.0, 0.00443, 0.01, 300.0, 1.40949, 8.20197, 5.92795, 2.02947, 3.06352, 0.6322)	21921.561500928743
output_proj_hetsc_group1-group3_process2_28-7-25	Run 3	-3409.36	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.96862, 299.91741, 1.29427, 28.6625, 15.04335, 0.16929, 14.13291, 35.62112, 1.79627, 2.92929, 0.31897)	6427.90381762467
output_proj_hetsc_group1-group3_process2_28-7-25	Run 7	-3439.28	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.07862, 300.0, 1.11273, 19.95768, 13.1513, 0.48201, 20.52141, 20.16641, 0.4805, 1.63091, 0.25516)	6924.68560972508
output_proj_hetsc_group1-group3_process2_28-7-25	Run 1	-3458.34	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(1.0, 300.0, 1.09298, 17.87663, 13.14064, 0.57577, 21.90592, 20.84945, 0.39822, 1.38419, 0.23884)	6806.896415501484
output_proj_hetsc_group1-group3_process2_28-7-25	Run 4	-6815.12	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(2.85729, 300.0, 0.00436, 0.01126, 300.0, 2.00067, 13.39352, 18.82293, 1.89896, 1.23031, 0.42675)	7726.435089367645
output_proj_hetsc_group1-group3_process2_28-7-25	Run 8	-6826.39	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(300.0, 300.0, 0.00346, 0.01, 300.0, 2.09557, 13.3716, 21.27017, 3.47083, 1.22962, 0.47217)	7377.524104472369
output_proj_hetsc_group1-group3_process2_28-7-25	Run 2	-6879.96	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.10975, 300.0, 0.00313, 0.01, 300.0, 1.87723, 12.53918, 18.43406, 3.55468, 1.89614, 0.48015)	8121.4766165667015
output_proj_hetsc_group1-group3_process2_28-7-25	Run 5	-6901.34	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(300.0, 300.0, 0.01599, 0.04302, 300.0, 2.45581, 15.12302, 25.27224, 2.62416, 0.62782, 0.44779)	6396.192681237934
output_proj_hetsc_group1-group3_process2_28-7-25	Run 6	-6925.20	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.01143, 300.0, 0.00187, 0.01, 300.0, 2.3454, 14.19104, 24.74358, 3.33997, 0.69504, 0.46374)	6713.410886702657
output_proj_hetsc_group3-Amil_process4_28-7-25	Run 5	-4736.56	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.74055, 300.0, 1.05109, 11.82649, 4.81705, 0.35676, 13.47525, 7.12599, 0.37114, 2.22386, 0.45349)	16796.29740912596
output_proj_hetsc_group3-Amil_process4_28-7-25	Run 7	-4813.10	(nu_1, nu_2, t1, nu11, nu12, t2, nu21, nu22, me2_12, me2_21, P2)	(0.7023, 300.0, 1.03209, 11.03407, 4.83366, 0.40277, 13.68648, 6.97586, 0.31792, 2.02436, 0.43702)	16832.919009313435
