Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 7	-7793.53	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.72221, 16.51335, 1.28445, 12.90713, 6.38507, 0.18944, 0.7954, 0.36863)	15870.421711984593
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 3	-7793.66	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71885, 15.91089, 1.27465, 12.83472, 6.36788, 0.19133, 0.79596, 0.36964)	15962.450197822245
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 2	-7793.87	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71794, 16.18384, 1.27782, 12.84883, 6.346, 0.18788, 0.79974, 0.36693)	15957.101942831507
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 6	-7793.88	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71806, 16.03144, 1.27842, 12.85511, 6.35594, 0.18762, 0.79856, 0.36685)	15950.043822978936
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 4	-7793.89	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71749, 16.20608, 1.27725, 12.84337, 6.342, 0.1879, 0.80063, 0.36693)	15964.289422371929
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 1	-7793.91	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71657, 16.13191, 1.27483, 12.82729, 6.33846, 0.18921, 0.80077, 0.36703)	15983.636823485738
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 5	-8149.22	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.49939, 300.0, 0.92038, 9.65093, 4.21527, 0.22801, 1.29243, 0.35509)	21480.710315746503
output_proj_hetsym_group2-Amil_process2_16-9-25	Run 8	-8258.90	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.0, 300.0, 1.28482, 13.63072, 6.45849, 0.33529, 0.69602, 0.45814)	14791.606559977221
output_proj_hetsym_group2-Amil_process3_16-9-25	Run 2	-7793.71	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71829, 16.68291, 1.27755, 12.87027, 6.3406, 0.18915, 0.79834, 0.36831)	15942.752395540176
output_proj_hetsym_group2-Amil_process3_16-9-25	Run 5	-7793.73	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.71923, 16.35537, 1.27863, 12.85805, 6.34835, 0.18847, 0.79833, 0.36837)	15941.52569478302
