Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_hetsym_group2-group3_process4_25-7-25	Run 6	-4517.26	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(9.5228, 11.78008, 1.69886, 25.50125, 25.83647, 0.53095, 0.53591, 0.22488)	5681.226685624714
output_proj_hetsym_group2-group3_process4_25-7-25	Run 4	-4517.38	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(9.36856, 11.83833, 1.69769, 25.57559, 25.87078, 0.53132, 0.53226, 0.2241)	5683.070911663487
output_proj_hetsym_group2-group3_process4_25-7-25	Run 5	-4517.44	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(9.27254, 12.00045, 1.7001, 25.51385, 25.89554, 0.52957, 0.52404, 0.22222)	5678.494828505184
output_proj_hetsym_group2-group3_process4_25-7-25	Run 1	-4517.45	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(9.48352, 11.69105, 1.71413, 25.70624, 26.09932, 0.52342, 0.52429, 0.22164)	5641.358937805414
output_proj_hetsym_group2-group3_process4_25-7-25	Run 3	-4517.45	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(9.33878, 11.86071, 1.70782, 25.60994, 26.02729, 0.52315, 0.51943, 0.2217)	5658.3133981610645
output_proj_hetsym_group2-group3_process4_25-7-25	Run 7	-4517.51	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(9.23375, 12.02306, 1.70756, 25.60964, 26.02465, 0.52467, 0.51739, 0.22049)	5658.086553617412
output_proj_hetsym_group2-group3_process4_25-7-25	Run 8	-10573.96	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.22158, 300.0, 0.693, 7.35327, 3.00047, 0.001, 5.78017, 0.04397)	25368.782049957725
output_proj_hetsym_group3-group4_process8_25-7-25	Run 2	-4344.77	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(5.4006, 34.66824, 1.37532, 14.38513, 24.88081, 1.51329, 0.4988, 0.18924)	7585.390042699384
output_proj_hetsym_group3-group4_process8_25-7-25	Run 3	-4344.79	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(5.39776, 35.33875, 1.36985, 14.34629, 24.7547, 1.5283, 0.50693, 0.19066)	7606.427640767189
output_proj_hetsym_group3-group4_process8_25-7-25	Run 4	-4435.99	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(5.03997, 300.0, 1.19446, 12.30767, 19.45441, 2.06565, 0.78767, 0.21875)	8474.8535508793
output_proj_hetsym_group3-group4_process8_25-7-25	Run 6	-4494.87	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(5.44969, 288.98508, 1.13334, 11.15908, 19.26081, 2.61126, 0.71121, 0.23076)	8811.043120453165
output_proj_hetsym_group3-group4_process8_25-7-25	Run 7	-4597.17	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.64651, 36.78749, 1.42408, 14.14238, 29.09464, 1.03553, 0.05518, 0.02915)	7382.091855374598
output_proj_hetsym_group3-group4_process8_25-7-25	Run 5	-4597.59	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.70025, 36.32693, 1.45529, 14.50969, 29.61869, 1.00492, 0.05671, 0.02987)	7249.661130057617
output_proj_hetsym_group3-group4_process8_25-7-25	Run 8	-7212.22	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(300.0, 1.05317, 2.75554, 9.82402, 32.23024, 1.72638, 0.001, 0.04428)	7419.049297935715
output_proj_hetsym_group3-group4_process8_25-7-25	Run 1	-9846.33	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.70687, 300.0, 3.20931, 34.38359, 21.4729, 0.001, 1.30865, 0.07697)	5920.095907338813
output_proj_hetsym_group1-group2_process6_25-7-25	Run 4	-4911.19	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.15832, 15.27518, 1.99767, 26.20777, 25.01788, 0.13975, 0.53178, 0.15646)	5155.635186259294
output_proj_hetsym_group1-group2_process6_25-7-25	Run 2	-4911.19	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.15255, 15.25169, 1.98911, 26.11512, 24.89426, 0.13938, 0.53546, 0.15594)	5178.4830088867075
output_proj_hetsym_group1-group2_process6_25-7-25	Run 5	-4911.32	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.16063, 15.0495, 2.01472, 26.34661, 25.18044, 0.13701, 0.53007, 0.15504)	5127.471388817655
output_proj_hetsym_group1-group2_process6_25-7-25	Run 7	-4911.33	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.14057, 14.95538, 1.9876, 26.06756, 24.86012, 0.13763, 0.53844, 0.15427)	5193.172601402294
output_proj_hetsym_group1-group2_process6_25-7-25	Run 6	-4911.33	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.14654, 14.98702, 1.9968, 26.17486, 24.98943, 0.13713, 0.5353, 0.15425)	5170.057295369056
output_proj_hetsym_group1-group2_process6_25-7-25	Run 1	-4911.37	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.13757, 15.00129, 1.98322, 26.01104, 24.78391, 0.13757, 0.54056, 0.15409)	5204.970821309661
output_proj_hetsym_group1-group2_process6_25-7-25	Run 8	-5967.60	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(1.90643, 300.0, 0.98163, 15.42661, 16.88763, 2.79847, 0.93714, 0.48911)	7536.868643714062
output_proj_hetsym_group1-group2_process6_25-7-25	Run 3	-9608.28	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(0.1601, 300.0, 0.4407, 5.57545, 3.00664, 0.001, 6.57554, 0.07936)	27900.96700486845
output_proj_hetsym_group3-group4_process2_25-7-25	Run 6	-4344.77	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(5.41291, 34.75521, 1.37432, 14.3973, 24.86218, 1.51295, 0.50024, 0.18931)	7587.598251329955
output_proj_hetsym_group3-group4_process2_25-7-25	Run 5	-4344.77	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, P1)	(5.38461, 34.31401, 1.37626, 14.42743, 24.90788, 1.50739, 0.49798, 0.1896)	7582.33063672698
