Directory	Run	LogLikelihood	ModelParameters	ModelValues
output_nomask_group3-group4_process4_18-4-25	Run 6	-4837.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.043, 4.03, 2.157, 3.353, 34.562, 0.156, 0.026, 0.982, 17.915, 28.295, 0.798, 0.134, 6915.69)
output_nomask_group3-group4_process4_18-4-25	Run 5	-4886.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.269, 0.684, 1.937, 3.146, 35.541, 0.00e+00, 0.00e+00, 1.105, 15.628, 27.993, 0.864, 0.136, 7065.56)
output_nomask_group3-group4_process4_18-4-25	Run 8	-4990.36	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.217, 0.925, 1.802, 2.586, 36.863, 0.027, 0.00e+00, 1.095, 14.537, 26.595, 0.894, 0.136, 7378.96)
output_nomask_group3-group4_process4_18-4-25	Run 1	-5101.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.33, 0.93, 1.83, 2.219, 40.08, 0.121, 0.00e+00, 1.15, 14.691, 26.492, 0.854, 0.132, 7234.93)
output_nomask_group3-group4_process4_18-4-25	Run 4	-5129.31	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.302, 0.98, 2.709, 3.55, 47.094, 0.00e+00, 0.171, 1.072, 17.128, 33.247, 0.88, 0.001, 6020.44)
output_nomask_group4-Amil_process3_18-4-25	Run 4	-16400.82	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.176, 0.269, 4.193, 1.519, 12.668, 0.00e+00, 0.00e+00, 3.367, 30.649, 11.615, 0.022, 0.208, 8284.24)
output_nomask_group4-Amil_process3_18-4-25	Run 3	-16418.64	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.527, 1.073, 3.564, 1.369, 11.691, 0.00e+00, 0.00e+00, 3.083, 27.638, 11.029, 0.026, 0.214, 9063.60)
output_nomask_group4-Amil_process3_18-4-25	Run 1	-16425.26	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.479, 10.114, 3.146, 1.272, 13.891, 0.00e+00, 0.00e+00, 2.783, 25.231, 9.737, 0.029, 0.227, 9948.07)
output_nomask_group4-Amil_process3_18-4-25	Run 2	-16432.13	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(4.612, 0.784, 2.788, 1.11, 10.101, 0.00e+00, 0.00e+00, 2.528, 22.719, 8.932, 0.031, 0.263, 11050.39)
output_nomask_group4-Amil_process3_18-4-25	Run 8	-16436.44	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.241, 0.542, 2.736, 1.123, 13.103, 0.00e+00, 0.00e+00, 2.461, 22.604, 8.64, 0.034, 0.261, 11172.48)
output_nomask_group2-group4_process2_18-4-25	Run 4	-7352.86	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.479, 1.108, 2.298, 5.386, 33.359, 0.00e+00, 0.00e+00, 1.118, 24.434, 31.138, 0.416, 0.101, 6143.08)
output_nomask_group2-group4_process2_18-4-25	Run 6	-7365.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.021, 1.17, 2.266, 3.749, 39.528, 0.025, 0.00e+00, 1.32, 23.404, 32.111, 0.408, 0.078, 5911.74)
output_nomask_group2-group4_process2_18-4-25	Run 3	-7405.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.299, 0.731, 2.126, 4.003, 37.04, 0.00e+00, 0.00e+00, 1.336, 22.283, 31.472, 0.397, 0.084, 6081.44)
output_nomask_group2-group4_process2_18-4-25	Run 7	-7465.16	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.718, 0.01, 2.12, 3.28, 37.227, 0.00e+00, 0.00e+00, 1.516, 22.564, 33.938, 0.388, 0.069, 5823.30)
output_nomask_group2-group4_process2_18-4-25	Run 8	-7503.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(96.258, 0.625, 2.23, 4.893, 30.294, 0.00e+00, 0.00e+00, 1.344, 25.215, 32.656, 0.34, 0.096, 5944.63)
output_nomask_group2-Amil_process1_18-4-25	Run 8	-15312.83	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(8.347, 1.02, 2.467, 1.065, 12.224, 0.00e+00, 0.019, 2.34, 19.186, 9.709, 0.036, 0.228, 9972.21)
