Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	0.29053	0.0	2.7217	1.0
nu_2	300.0	298.7242	301.2758	1.0
t1	0.60554	0.0	1.5715	1.0
nu11	4.98481	4.9598	5.0098	1.0
nu12	3.92607	0.9205	6.9317	1.0
me1_12	0.02339	0.0	5.7681	1.0
me1_21	0.25356	0.0	4.5427	1.0
t2	0.14269	0.0	5.8257	1.0
nu21	12.10501	6.9588	17.2512	1.0
nu22	4.80591	0.0	12.3077	1.0
me2_12	0.70558	0.4333	0.9779	1.0
me2_21	6.31901	0.0	18.2325	1.0
P1	0.35056	0.0	8.2325	1.0
P2	0.56677	0.1877	0.9458	1.0
theta	24907.210496453157	24907.2104	24907.2106	1.0
nu_1	0.29053	0.1978	0.3833	0.01
nu_2	300.0	299.014	300.986	0.01
t1	0.60554	0.5573	0.6538	0.01
nu11	4.98481	4.7289	5.2407	0.01
nu12	3.92607	3.8214	4.0308	0.01
me1_12	0.02339	0.0	0.2636	0.01
me1_21	0.25356	0.1036	0.4035	0.01
t2	0.14269	0.0	1.0584	0.01
nu21	12.10501	11.8363	12.3737	0.01
nu22	4.80591	4.7305	4.8813	0.01
me2_12	0.70558	0.0	1.5788	0.01
me2_21	6.31901	5.3596	7.2784	0.01
P1	0.35056	0.1296	0.5715	0.01
P2	0.56677	0.4683	0.6653	0.01
theta	24907.210496453157	24907.1646	24907.2564	0.01
nu_1	0.29053	0.1916	0.3895	0.001
nu_2	300.0	299.0239	300.9761	0.001
t1	0.60554	0.5232	0.6879	0.001
nu11	4.98481	4.806	5.1636	0.001
nu12	3.92607	3.8995	3.9526	0.001
me1_12	0.02339	0.0	0.0825	0.001
me1_21	0.25356	0.1538	0.3533	0.001
t2	0.14269	0.0	0.5428	0.001
nu21	12.10501	11.9474	12.2626	0.001
nu22	4.80591	4.7592	4.8526	0.001
me2_12	0.70558	0.2699	1.1413	0.001
me2_21	6.31901	5.9167	6.7213	0.001
P1	0.35056	0.299	0.4021	0.001
P2	0.56677	0.5072	0.6263	0.001
theta	24907.210496453157	24907.1814	24907.2396	0.001
nu_1	0.29053	0.2623	0.3188	0.0001
nu_2	300.0	288.4318	311.5682	0.0001
t1	0.60554	0.5578	0.6533	0.0001
nu11	4.98481	4.9731	4.9965	0.0001
nu12	3.92607	3.8191	4.0331	0.0001
me1_12	0.02339	0.0	1.2293	0.0001
me1_21	0.25356	0.0	1.2771	0.0001
t2	0.14269	0.0308	0.2545	0.0001
nu21	12.10501	12.0367	12.1733	0.0001
nu22	4.80591	4.7064	4.9054	0.0001
me2_12	0.70558	0.3712	1.0399	0.0001
me2_21	6.31901	6.2642	6.3738	0.0001
P1	0.35056	0.0625	0.6386	0.0001
P2	0.56677	0.5148	0.6187	0.0001
theta	24907.210496453157	24907.2051	24907.2159	0.0001
nu_1	0.29053	0.2685	0.3126	1e-05
nu_2	300.0	299.8106	300.1894	1e-05
t1	0.60554	0.5974	0.6137	1e-05
nu11	4.98481	4.9077	5.0619	1e-05
nu12	3.92607	3.8942	3.9579	1e-05
me1_12	0.02339	0.0	0.103	1e-05
me1_21	0.25356	0.1775	0.3296	1e-05
t2	0.14269	0.0691	0.2162	1e-05
nu21	12.10501	11.9615	12.2485	1e-05
nu22	4.80591	4.7355	4.8763	1e-05
me2_12	0.70558	0.6968	0.7143	1e-05
me2_21	6.31901	6.2996	6.3384	1e-05
P1	0.35056	0.3078	0.3933	1e-05
P2	0.56677	0.5589	0.5747	1e-05
theta	24907.210496453157	24907.2078	24907.2132	1e-05
nu_1	0.29053	0.2858	0.2953	1e-06
nu_2	300.0	299.9703	300.0297	1e-06
t1	0.60554	0.6039	0.6072	1e-06
nu11	4.98481	4.9628	5.0068	1e-06
nu12	3.92607	3.9031	3.9491	1e-06
me1_12	0.02339	0.0231	0.0237	1e-06
me1_21	0.25356	0.2511	0.256	1e-06
t2	0.14269	0.1249	0.1605	1e-06
nu21	12.10501	12.0728	12.1372	1e-06
nu22	4.80591	4.7762	4.8356	1e-06
me2_12	0.70558	0.67	0.7412	1e-06
me2_21	6.31901	6.2741	6.3639	1e-06
P1	0.35056	0.3303	0.3708	1e-06
P2	0.56677	0.5332	0.6003	1e-06
theta	24907.210496453157	24907.2089	24907.2121	1e-06
