Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	1.68837	0.0	5.1996	1.0
nu_2	16.02573	13.6646	18.3869	1.0
t1	2.70899	2.5413	2.8767	1.0
nu11	33.49254	32.8864	34.0987	1.0
nu12	32.81391	29.9088	35.719	1.0
me1_12	0.01289	0.0	7.6143	1.0
me1_21	0.44575	0.0546	0.8369	1.0
t2	0.01283	0.0	1.4464	1.0
nu21	34.22929	33.2376	35.221	1.0
nu22	29.41194	26.9373	31.8866	1.0
me2_12	15.0	13.3674	16.6326	1.0
me2_21	14.21391	3.0552	25.3726	1.0
P1	0.35562	0.0	1.3654	1.0
P2	0.43557	0.2962	0.575	1.0
theta	3994.4350384947597	3994.43	3994.4401	1.0
nu_1	1.68837	1.1639	2.2128	0.01
nu_2	16.02573	15.0804	16.9711	0.01
t1	2.70899	1.5032	3.9148	0.01
nu11	33.49254	32.7988	34.1862	0.01
nu12	32.81391	31.6175	34.0103	0.01
me1_12	0.01289	0.0	5.9061	0.01
me1_21	0.44575	0.0	2.1235	0.01
t2	0.01283	0.0	1.0004	0.01
nu21	34.22929	7.0364	61.4222	0.01
nu22	29.41194	25.689	33.1349	0.01
me2_12	15.0	14.1846	15.8154	0.01
me2_21	14.21391	12.9129	15.5149	0.01
P1	0.35562	0.0	0.8943	0.01
P2	0.43557	0.0	0.8845	0.01
theta	3994.4350384947597	3993.2109	3995.6592	0.01
nu_1	1.68837	0.0	4.7147	0.001
nu_2	16.02573	15.1583	16.8932	0.001
t1	2.70899	0.7477	4.6703	0.001
nu11	33.49254	31.3043	35.6807	0.001
nu12	32.81391	31.0728	34.555	0.001
me1_12	0.01289	0.0	29.8949	0.001
me1_21	0.44575	0.0	2.0728	0.001
t2	0.01283	0.0	1.9252	0.001
nu21	34.22929	17.1946	51.264	0.001
nu22	29.41194	22.0169	36.807	0.001
me2_12	15.0	12.7045	17.2955	0.001
me2_21	14.21391	9.5205	18.9073	0.001
P1	0.35562	0.0	2.3951	0.001
P2	0.43557	0.1657	0.7055	0.001
theta	3994.4350384947597	3992.6035	3996.2666	0.001
nu_1	1.68837	0.2817	3.095	0.0001
nu_2	16.02573	15.6391	16.4124	0.0001
t1	2.70899	1.9369	3.4811	0.0001
nu11	33.49254	32.3845	34.6006	0.0001
nu12	32.81391	32.0903	33.5375	0.0001
me1_12	0.01289	0.0	11.9016	0.0001
me1_21	0.44575	0.0	2.2533	0.0001
t2	0.01283	0.0	6.6157	0.0001
nu21	34.22929	22.9774	45.4812	0.0001
nu22	29.41194	22.6517	36.1722	0.0001
me2_12	15.0	10.1137	19.8863	0.0001
me2_21	14.21391	6.4538	21.974	0.0001
P1	0.35562	0.0	0.7382	0.0001
P2	0.43557	0.1228	0.7483	0.0001
theta	3994.4350384947597	3993.7247	3995.1454	0.0001
nu_1	1.68837	1.4375	1.9393	1e-05
nu_2	16.02573	15.9032	16.1483	1e-05
t1	2.70899	2.5435	2.8745	1e-05
nu11	33.49254	33.2761	33.709	1e-05
nu12	32.81391	32.7096	32.9182	1e-05
me1_12	0.01289	0.0	0.9139	1e-05
me1_21	0.44575	0.2843	0.6072	1e-05
t2	0.01283	0.0	0.27	1e-05
nu21	34.22929	32.468	35.9905	1e-05
nu22	29.41194	28.3702	30.4537	1e-05
me2_12	15.0	13.2992	16.7008	1e-05
me2_21	14.21391	14.098	14.3299	1e-05
P1	0.35562	0.2469	0.4643	1e-05
P2	0.43557	0.246	0.6251	1e-05
theta	3994.4350384947597	3994.2002	3994.6699	1e-05
nu_1	1.68837	1.6139	1.7629	1e-06
nu_2	16.02573	15.9915	16.06	1e-06
t1	2.70899	2.6989	2.719	1e-06
nu11	33.49254	33.4602	33.5249	1e-06
nu12	32.81391	32.7752	32.8526	1e-06
me1_12	0.01289	0.0	0.0294	1e-06
me1_21	0.44575	0.436	0.4555	1e-06
t2	0.01283	0.0	0.0282	1e-06
nu21	34.22929	34.207	34.2516	1e-06
nu22	29.41194	29.2738	29.5501	1e-06
me2_12	15.0	14.9683	15.0317	1e-06
me2_21	14.21391	14.131	14.2968	1e-06
P1	0.35562	0.3487	0.3626	1e-06
P2	0.43557	0.3857	0.4855	1e-06
theta	3994.4350384947597	3994.3084	3994.5617	1e-06
