Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	1.32826	0.0	12.0354	1.0
nu_2	300.0	277.8616	322.1384	1.0
t1	1.22731	0.0	4.6145	1.0
nu11	22.51267	17.9598	27.0656	1.0
nu12	14.62929	12.9391	16.3195	1.0
t2	0.41298	0.0	5.9855	1.0
nu21	22.37374	20.2094	24.5381	1.0
nu22	24.04221	11.5247	36.5597	1.0
me2_12	0.57007	0.0	7.6477	1.0
me2_21	1.61637	0.0	20.4282	1.0
P2	0.28934	0.1203	0.4584	1.0
theta	6088.645439594981	6088.6442	6088.6467	1.0
nu_1	1.32826	0.0	4.2567	0.01
nu_2	300.0	298.5188	301.4812	0.01
t1	1.22731	0.8577	1.5969	0.01
nu11	22.51267	21.4466	23.5788	0.01
nu12	14.62929	14.5614	14.6972	0.01
t2	0.41298	0.0	1.1669	0.01
nu21	22.37374	22.2959	22.4515	0.01
nu22	24.04221	22.1197	25.9648	0.01
me2_12	0.57007	0.0	3.4055	0.01
me2_21	1.61637	0.3057	2.927	0.01
P2	0.28934	0.0	0.7004	0.01
theta	6088.645439594981	6088.2589	6089.032	0.01
nu_1	1.32826	0.8814	1.7751	0.001
nu_2	300.0	294.1416	305.8584	0.001
t1	1.22731	1.1992	1.2555	0.001
nu11	22.51267	22.0179	23.0075	0.001
nu12	14.62929	14.5802	14.6784	0.001
t2	0.41298	0.1017	0.7243	0.001
nu21	22.37374	21.9643	22.7832	0.001
nu22	24.04221	23.4769	24.6075	0.001
me2_12	0.57007	0.2649	0.8753	0.001
me2_21	1.61637	1.393	1.8397	0.001
P2	0.28934	0.0	0.7417	0.001
theta	6088.645439594981	6088.5069	6088.7839	0.001
nu_1	1.32826	1.2754	1.3811	0.0001
nu_2	300.0	296.594	303.406	0.0001
t1	1.22731	1.2253	1.2294	0.0001
nu11	22.51267	22.2836	22.7417	0.0001
nu12	14.62929	14.3824	14.8761	0.0001
t2	0.41298	0.0	1.3617	0.0001
nu21	22.37374	22.2232	22.5243	0.0001
nu22	24.04221	23.6718	24.4127	0.0001
me2_12	0.57007	0.4406	0.6995	0.0001
me2_21	1.61637	0.2607	2.972	0.0001
P2	0.28934	0.0	0.7203	0.0001
theta	6088.645439594981	6088.6085	6088.6824	0.0001
nu_1	1.32826	1.3156	1.341	1e-05
nu_2	300.0	298.9131	301.0869	1e-05
t1	1.22731	1.2246	1.23	1e-05
nu11	22.51267	22.0674	22.9579	1e-05
nu12	14.62929	14.4852	14.7734	1e-05
t2	0.41298	0.3368	0.4892	1e-05
nu21	22.37374	21.9297	22.8178	1e-05
nu22	24.04221	23.8633	24.2211	1e-05
me2_12	0.57007	0.0	1.2442	1e-05
me2_21	1.61637	1.5012	1.7315	1e-05
P2	0.28934	0.0983	0.4804	1e-05
theta	6088.645439594981	6088.5128	6088.7781	1e-05
nu_1	1.32826	1.3201	1.3364	1e-06
nu_2	300.0	299.65	300.35	1e-06
t1	1.22731	1.2242	1.2305	1e-06
nu11	22.51267	22.4484	22.5769	1e-06
nu12	14.62929	14.5088	14.7497	1e-06
t2	0.41298	0.2363	0.5896	1e-06
nu21	22.37374	22.1138	22.6336	1e-06
nu22	24.04221	23.6978	24.3866	1e-06
me2_12	0.57007	0.3498	0.7903	1e-06
me2_21	1.61637	1.5446	1.6881	1e-06
P2	0.28934	0.1705	0.4082	1e-06
theta	6088.645439594981	6088.5149	6088.776	1e-06
