Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	1.15237	0.0	4.7459	1.0
nu_2	15.13651	8.7988	21.4742	1.0
t1	1.99671	0.0	4.845	1.0
nu11	26.1895	23.4928	28.8862	1.0
nu12	24.99174	23.0467	26.9367	1.0
me1_12	0.13887	0.0	7.9489	1.0
me1_21	0.53388	0.0	8.1717	1.0
P1	0.15524	0.0	1.9885	1.0
theta	5159.625001929716	5159.6244	5159.6256	1.0
nu_1	1.15237	0.0	2.5897	0.01
nu_2	15.13651	14.4301	15.8429	0.01
t1	1.99671	1.5811	2.4124	0.01
nu11	26.1895	25.6694	26.7096	0.01
nu12	24.99174	24.3915	25.5919	0.01
me1_12	0.13887	0.0	1.5987	0.01
me1_21	0.53388	0.0	1.5355	0.01
P1	0.15524	0.0	0.6442	0.01
theta	5159.625001929716	5159.1369	5160.1131	0.01
nu_1	1.15237	0.3877	1.917	0.001
nu_2	15.13651	14.6585	15.6146	0.001
t1	1.99671	1.9013	2.0922	0.001
nu11	26.1895	26.041	26.338	0.001
nu12	24.99174	24.863	25.1205	0.001
me1_12	0.13887	0.0	1.3771	0.001
me1_21	0.53388	0.1774	0.8903	0.001
P1	0.15524	0.0	0.3745	0.001
theta	5159.625001929716	5159.5316	5159.7184	0.001
nu_1	1.15237	0.619	1.6858	0.0001
nu_2	15.13651	14.8509	15.4221	0.0001
t1	1.99671	1.9937	1.9997	0.0001
nu11	26.1895	26.1495	26.2295	0.0001
nu12	24.99174	24.949	25.0345	0.0001
me1_12	0.13887	0.0	1.1424	0.0001
me1_21	0.53388	0.5249	0.5428	0.0001
P1	0.15524	0.0	0.317	0.0001
theta	5159.625001929716	5159.5785	5159.6715	0.0001
nu_1	1.15237	0.5696	1.7352	1e-05
nu_2	15.13651	14.0007	16.2724	1e-05
t1	1.99671	1.9935	1.9999	1e-05
nu11	26.1895	26.0848	26.2942	1e-05
nu12	24.99174	24.6929	25.2906	1e-05
me1_12	0.13887	0.0	1.1209	1e-05
me1_21	0.53388	0.5273	0.5404	1e-05
P1	0.15524	0.0	2.3872	1e-05
theta	5159.625001929716	5159.4272	5159.8228	1e-05
nu_1	1.15237	1.1188	1.186	1e-06
nu_2	15.13651	15.0423	15.2308	1e-06
t1	1.99671	1.9015	2.0919	1e-06
nu11	26.1895	25.9547	26.4243	1e-06
nu12	24.99174	24.8166	25.1669	1e-06
me1_12	0.13887	0.0091	0.2687	1e-06
me1_21	0.53388	0.4447	0.6231	1e-06
P1	0.15524	0.0	0.3628	1e-06
theta	5159.625001929716	5159.4466	5159.8034	1e-06
