Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	anc_mig	-580.25	1174.5	143.1004386812282	923.0	1375.16	0
AG1-AG2	anc_mig	-572.0	1158.0	140.6198243595601	907.0	816.17	1
AG1-AG2	anc_mig	-543.94	1101.88	140.15470917424736	904.0	996.29	2
AG1-AG2	anc_mig	-598.51	1211.02	146.20120658331334	943.0	1929.76	3
AG1-AG2	anc_mig	-600.88	1215.76	148.0616673245644	955.0	990.07	4
AG1-AG2	anc_mig	-584.1	1182.2	148.83685930008568	960.0	960.31	5
AG1-AG2	anc_mig	-591.47	1196.94	143.565553866541	926.0	876.51	6
AG1-AG2	anc_mig	-567.57	1149.14	141.55005473018565	913.0	955.74	7
AG1-AG2	anc_mig	-589.56	1193.12	139.53455559383033	900.0	1859.52	8
AG1-AG2	anc_mig	-561.72	1137.44	142.4802851008112	919.0	953.8	9
AG1-AG2	anc_mig	-604.14	1222.28	148.21670571966868	956.0	6684.82	10
AG1-AG2	anc_mig	-570.04	1154.08	142.63532349591546	920.0	863.67	11
AG1-AG2	anc_mig	-592.7	1199.4	140.15470917424736	904.0	4845.32	12
AG1-AG2	anc_mig	-602.0	1218.0	149.1469360902942	962.0	976.23	13
AG1-AG2	anc_mig	-594.85	1203.7	148.21670571966868	956.0	952.57	14
AG1-AG2	anc_mig	-547.61	1109.22	139.6895939889346	901.0	819.99	15
AG1-AG2	anc_mig	-550.23	1114.46	144.65082263227077	933.0	711.39	16
AG1-AG2	anc_mig	-580.46	1174.92	142.4802851008112	919.0	920.74	17
AG1-AG2	anc_mig	-543.64	1101.28	142.17020831060267	917.0	876.77	18
AG1-AG2	anc_mig	-587.86	1189.72	140.6198243595601	907.0	1058.96	19
AG1-AG2	anc_mig	-579.83	1173.66	135.96867250643245	877.0	996.57	20
AG1-AG2	anc_mig	-547.55	1109.1	143.41051547143672	925.0	684.2	21
AG1-AG2	anc_mig	-593.51	1201.02	142.17020831060267	917.0	1000.69	22
AG1-AG2	anc_mig	-557.86	1129.72	146.20120658331334	943.0	1230.9	23
AG1-AG2	anc_mig	-586.76	1187.52	137.67409485257926	888.0	1035.97	24
AG1-AG2	anc_mig	-554.39	1122.78	143.1004386812282	923.0	784.78	25
AG1-AG2	anc_mig	-578.94	1171.88	141.3950163350814	912.0	1416.44	26
AG1-AG2	anc_mig	-581.96	1177.92	137.98417164278777	890.0	1051.08	27
AG1-AG2	anc_mig	-572.45	1158.9	145.42601460779207	938.0	1967.81	28
AG1-AG2	anc_mig	-558.52	1131.04	143.1004386812282	923.0	989.98	29
AG1-AG2	anc_mig	-561.06	1136.12	138.6043252232048	894.0	1005.96	30
AG1-AG2	anc_mig	-602.2	1218.4	141.55005473018565	913.0	2086.64	31
AG1-AG2	anc_mig	-562.3	1138.6	147.13143695393887	949.0	842.49	32
AG1-AG2	anc_mig	-533.71	1081.42	139.3795171987261	899.0	796.33	33
AG1-AG2	anc_mig	-525.11	1064.22	142.94540028612397	922.0	1456.23	34
AG1-AG2	anc_mig	-568.93	1151.86	140.46478596445587	906.0	1203.15	35
AG1-AG2	anc_mig	-587.76	1189.52	145.2709762126878	937.0	1373.68	36
AG1-AG2	anc_mig	-585.96	1185.92	138.6043252232048	894.0	1569.42	37
AG1-AG2	anc_mig	-560.89	1135.78	144.9608994224793	935.0	1319.6	38
AG1-AG2	anc_mig	-592.39	1198.78	142.4802851008112	919.0	1434.37	39
AG1-AG2	anc_mig	-577.73	1169.46	140.46478596445587	906.0	2065.14	40
AG1-AG2	anc_mig	-553.4	1120.8	144.80586102737504	934.0	949.3	41
AG1-AG2	anc_mig	-573.51	1161.02	136.898902877058	883.0	835.23	42
AG1-AG2	anc_mig	-588.99	1191.98	143.41051547143672	925.0	977.51	43
AG1-AG2	anc_mig	-555.32	1124.64	137.2089796672665	885.0	775.91	44
AG1-AG2	anc_mig	-578.7	1171.4	145.73609139800058	940.0	1235.38	45
AG1-AG2	anc_mig	-530.92	1075.84	135.81363411132818	876.0	662.27	46
AG1-AG2	anc_mig	-550.8	1115.6	144.18570744695802	930.0	744.16	47
