Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	iso_inbred	-630.96	1271.92	239.3317666252823	905.0	2165.14	0
AG1-AG2	iso_inbred	-618.19	1246.38	246.73650636617504	933.0	3098.91	1
AG1-AG2	iso_inbred	-683.74	1377.48	252.29006117184457	954.0	4472.85	2
AG1-AG2	iso_inbred	-623.13	1256.26	241.976316532744	915.0	1380.37	3
AG1-AG2	iso_inbred	-608.35	1226.7	240.91849656975933	911.0	1224.88	4
AG1-AG2	iso_inbred	-639.42	1288.84	236.68721671782063	895.0	1945.91	5
AG1-AG2	iso_inbred	-644.09	1298.18	250.70333122736756	948.0	1733.2	6
AG1-AG2	iso_inbred	-587.3	1184.6	235.10048677334362	889.0	2936.0	7
AG1-AG2	iso_inbred	-628.35	1266.7	244.3564114494595	924.0	1688.79	8
AG1-AG2	iso_inbred	-634.61	1279.22	239.5962216160285	906.0	1567.01	9
AG1-AG2	iso_inbred	-674.77	1359.54	249.38105627363672	943.0	4865.34	10
AG1-AG2	iso_inbred	-612.0	1234.0	240.12513159752083	908.0	1053.49	11
AG1-AG2	iso_inbred	-609.34	1228.68	235.3649417640898	890.0	2081.33	12
AG1-AG2	iso_inbred	-594.41	1198.82	235.62939675483597	891.0	2077.78	13
AG1-AG2	iso_inbred	-654.24	1318.48	243.563046477221	921.0	1591.32	14
AG1-AG2	iso_inbred	-699.43	1408.86	241.1829515605055	912.0	15895.47	15
AG1-AG2	iso_inbred	-633.19	1276.38	245.4142314124442	928.0	1057.05	16
AG1-AG2	iso_inbred	-640.6	1291.2	250.1744212458752	946.0	1794.41	17
AG1-AG2	iso_inbred	-626.41	1262.82	244.09195645871336	923.0	3129.5	18
AG1-AG2	iso_inbred	-662.93	1335.86	234.30712180110513	886.0	15954.31	19
AG1-AG2	iso_inbred	-592.39	1194.78	241.44740655125167	913.0	1371.83	20
AG1-AG2	iso_inbred	-625.59	1261.18	235.62939675483597	891.0	2973.69	21
AG1-AG2	iso_inbred	-606.93	1223.86	234.30712180110513	886.0	1328.74	22
AG1-AG2	iso_inbred	-645.19	1300.38	250.43887623662138	947.0	1117.32	23
AG1-AG2	iso_inbred	-620.82	1251.64	236.9516717085668	896.0	5895.13	24
AG1-AG2	iso_inbred	-627.97	1265.94	228.48911200468942	864.0	4661.79	25
AG1-AG2	iso_inbred	-619.09	1248.18	247.26541634766735	935.0	4212.17	26
AG1-AG2	iso_inbred	-632.95	1275.9	235.62939675483597	891.0	5834.66	27
AG1-AG2	iso_inbred	-609.49	1228.98	241.976316532744	915.0	1444.3	28
AG1-AG2	iso_inbred	-630.25	1270.5	248.05878131990588	938.0	1446.83	29
AG1-AG2	iso_inbred	-645.95	1301.9	247.26541634766735	935.0	1452.46	30
AG1-AG2	iso_inbred	-710.34	1430.68	240.38958658826698	909.0	3592.49	31
AG1-AG2	iso_inbred	-609.12	1228.24	235.10048677334362	889.0	1541.39	32
AG1-AG2	iso_inbred	-628.24	1266.48	240.65404157901315	910.0	1435.44	33
AG1-AG2	iso_inbred	-625.12	1260.24	251.2322412088599	950.0	4278.02	34
AG1-AG2	iso_inbred	-651.71	1313.42	234.30712180110513	886.0	1551.86	35
AG1-AG2	iso_inbred	-627.0	1264.0	243.563046477221	921.0	2881.69	36
AG1-AG2	iso_inbred	-588.65	1187.3	240.12513159752083	908.0	1888.7	37
AG1-AG2	iso_inbred	-623.72	1257.44	243.03413649572866	919.0	2157.14	38
AG1-AG2	iso_inbred	-628.98	1267.96	239.06731163453614	904.0	5511.52	39
AG1-AG2	iso_inbred	-636.35	1282.7	242.50522651423634	917.0	3564.24	40
AG1-AG2	iso_inbred	-646.82	1303.64	248.5876913013982	940.0	1925.53	41
AG1-AG2	iso_inbred	-678.46	1366.92	247.52987133841353	936.0	1236.17	42
AG1-AG2	iso_inbred	-621.74	1253.48	245.67868640319037	929.0	5770.39	43
AG1-AG2	iso_inbred	-621.61	1253.22	239.86067660677466	907.0	1295.68	44
AG1-AG2	iso_inbred	-626.72	1263.44	234.83603178259744	888.0	1219.44	45
AG1-AG2	iso_inbred	-632.4	1274.8	243.82750146796718	922.0	976.38	46
AG1-AG2	iso_inbred	-659.26	1328.52	242.50522651423634	917.0	1607.69	47
AG1-AG2	iso_inbred	-651.97	1313.94	250.70333122736756	948.0	3285.95	48
AG1-AG2	iso_inbred	-635.91	1281.82	240.91849656975933	911.0	15101.46	49
AG1-AG2	iso_inbred	-642.25	1294.5	247.52987133841353	936.0	999.82	50
