Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	mig_inbred	-626.52	1265.04	142.11681003686894	915.0	1316.08	0
AG1-AG2	mig_inbred	-598.9	1209.8	144.60191272603822	931.0	1264.06	1
AG1-AG2	mig_inbred	-550.23	1112.46	142.73808570916125	919.0	804.6	2
AG1-AG2	mig_inbred	-597.11	1206.22	141.6508532826497	912.0	1277.01	3
AG1-AG2	mig_inbred	-564.49	1140.98	139.94234518384582	901.0	962.02	4
AG1-AG2	mig_inbred	-582.74	1177.48	143.51468029952667	924.0	1340.92	5
AG1-AG2	mig_inbred	-564.91	1141.82	143.51468029952667	924.0	973.17	6
AG1-AG2	mig_inbred	-563.17	1138.34	144.135955971819	928.0	963.63	7
AG1-AG2	mig_inbred	-577.43	1166.86	143.3593613814536	923.0	1298.78	8
AG1-AG2	mig_inbred	-578.1	1168.2	140.7189397742112	906.0	1101.27	9
AG1-AG2	mig_inbred	-573.53	1159.06	138.69979383926116	893.0	2025.48	10
AG1-AG2	mig_inbred	-522.06	1056.12	139.94234518384582	901.0	592.82	11
AG1-AG2	mig_inbred	-563.72	1139.44	144.91255056218438	933.0	836.33	12
AG1-AG2	mig_inbred	-566.45	1144.9	139.63170734769963	899.0	851.42	13
AG1-AG2	mig_inbred	-610.88	1233.76	140.0976641019189	902.0	1384.93	14
AG1-AG2	mig_inbred	-559.49	1130.98	141.80617220072278	913.0	834.68	15
AG1-AG2	mig_inbred	-616.37	1244.74	147.55297216942677	950.0	1356.76	16
AG1-AG2	mig_inbred	-569.91	1151.82	141.96149111879586	914.0	798.06	17
AG1-AG2	mig_inbred	-578.63	1169.26	142.27212895494202	916.0	1694.83	18
AG1-AG2	mig_inbred	-554.22	1120.44	141.18489652843044	909.0	2569.58	19
AG1-AG2	mig_inbred	-577.56	1167.12	142.11681003686894	915.0	938.86	20
AG1-AG2	mig_inbred	-581.54	1175.08	148.17424784171908	954.0	778.51	21
AG1-AG2	mig_inbred	-563.97	1139.94	141.02957761035736	908.0	911.72	22
AG1-AG2	mig_inbred	-563.12	1138.24	141.49553436457663	911.0	796.5	23
AG1-AG2	mig_inbred	-590.53	1193.06	141.18489652843044	909.0	1125.36	24
AG1-AG2	mig_inbred	-557.4	1126.8	140.40830193806505	904.0	1004.54	25
AG1-AG2	mig_inbred	-553.77	1119.54	145.22318839833056	935.0	647.24	26
AG1-AG2	mig_inbred	-554.17	1120.34	141.96149111879586	914.0	919.55	27
AG1-AG2	mig_inbred	-544.17	1100.34	138.07851816696885	889.0	792.87	28
AG1-AG2	mig_inbred	-580.42	1172.84	144.29127488989207	929.0	982.35	29
AG1-AG2	mig_inbred	-562.82	1137.64	143.66999921759975	925.0	1112.24	30
AG1-AG2	mig_inbred	-607.99	1227.98	149.88275594052297	965.0	3084.92	31
AG1-AG2	mig_inbred	-603.49	1218.98	146.15510190676903	941.0	1047.91	32
AG1-AG2	mig_inbred	-575.99	1163.98	140.0976641019189	902.0	1274.01	33
AG1-AG2	mig_inbred	-547.73	1107.46	139.94234518384582	901.0	875.93	34
AG1-AG2	mig_inbred	-530.91	1073.82	142.58276679108818	918.0	591.76	35
AG1-AG2	mig_inbred	-583.0	1178.0	141.49553436457663	911.0	965.22	36
AG1-AG2	mig_inbred	-570.73	1153.46	142.4274478730151	917.0	843.72	37
AG1-AG2	mig_inbred	-589.8	1191.6	140.7189397742112	906.0	1262.75	38
AG1-AG2	mig_inbred	-592.11	1196.22	145.06786948025749	934.0	1002.98	39
AG1-AG2	mig_inbred	-607.64	1227.28	141.96149111879586	914.0	1282.93	40
AG1-AG2	mig_inbred	-559.52	1131.04	143.66999921759975	925.0	858.92	41
AG1-AG2	mig_inbred	-554.56	1121.12	142.73808570916125	919.0	764.62	42
AG1-AG2	mig_inbred	-578.46	1168.92	134.81682088743415	868.0	1206.32	43
AG1-AG2	mig_inbred	-577.87	1167.74	140.8742586922843	907.0	1059.32	44
AG1-AG2	mig_inbred	-557.9	1127.8	144.29127488989207	929.0	1242.18	45
AG1-AG2	mig_inbred	-610.21	1232.42	144.44659380796514	930.0	2942.16	46
AG1-AG2	mig_inbred	-557.63	1127.26	140.8742586922843	907.0	1058.04	47
AG1-AG2	mig_inbred	-560.51	1133.02	137.30192357660343	884.0	972.69	48
AG1-AG2	mig_inbred	-586.76	1185.52	145.53382623447672	937.0	1390.83	49
AG1-AG2	mig_inbred	-578.24	1168.48	142.4274478730151	917.0	1108.85	50
AG1-AG2	mig_inbred	-558.41	1128.82	142.4274478730151	917.0	1588.87	51
AG1-AG2	mig_inbred	-561.57	1135.14	144.29127488989207	929.0	4806.87	52
AG1-AG2	mig_inbred	-570.34	1152.68	145.6891451525498	938.0	856.46	53
AG1-AG2	mig_inbred	-601.17	1214.34	138.54447492118808	892.0	1331.87	54
AG1-AG2	mig_inbred	-558.03	1128.06	139.94234518384582	901.0	934.52	55
AG1-AG2	mig_inbred	-561.3	1134.6	148.64020459593834	957.0	623.72	56
AG1-AG2	mig_inbred	-554.62	1121.24	142.27212895494202	916.0	764.61	57
AG1-AG2	mig_inbred	-622.79	1257.58	145.6891451525498	938.0	4511.97	58
AG1-AG2	mig_inbred	-579.19	1170.38	136.8359668223842	881.0	1233.53	59
AG1-AG2	mig_inbred	-579.85	1171.7	143.82531813567283	926.0	1083.63	60
AG1-AG2	mig_inbred	-557.81	1127.62	141.80617220072278	913.0	744.11	61
AG1-AG2	mig_inbred	-578.23	1168.46	147.70829108749984	951.0	962.89	62
AG1-AG2	mig_inbred	-582.32	1176.64	145.6891451525498	938.0	774.97	63
AG1-AG2	mig_inbred	-585.55	1183.1	142.73808570916125	919.0	940.63	64
AG1-AG2	mig_inbred	-578.36	1168.72	142.4274478730151	917.0	2811.98	65
AG1-AG2	mig_inbred	-561.87	1135.74	143.3593613814536	923.0	671.83	66
AG1-AG2	mig_inbred	-557.73	1127.46	137.92319924889574	888.0	768.27	67
AG1-AG2	mig_inbred	-582.86	1177.72	140.40830193806505	904.0	1135.28	68
AG1-AG2	mig_inbred	-602.2	1216.4	144.29127488989207	929.0	1073.78	69
AG1-AG2	mig_inbred	-576.12	1164.24	143.51468029952667	924.0	1611.73	70
AG1-AG2	mig_inbred	-586.39	1184.78	139.47638842962655	898.0	1031.68	71
AG1-AG2	mig_inbred	-548.6	1109.2	140.7189397742112	906.0	686.94	72
AG1-AG2	mig_inbred	-545.82	1103.64	137.76788033082266	887.0	896.01	73
