Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	sec_cont	-586.91	1187.82	143.9388836901006	882.0	1258.35	0
AG1-AG2	sec_cont	-568.93	1151.86	153.2410564455833	939.0	848.2	1
AG1-AG2	sec_cont	-528.43	1070.86	146.06043186240368	895.0	691.67	2
AG1-AG2	sec_cont	-576.39	1166.78	147.36599996843634	903.0	865.63	3
AG1-AG2	sec_cont	-551.99	1117.98	147.5291959816904	904.0	634.04	4
AG1-AG2	sec_cont	-558.54	1131.08	145.40764780938733	891.0	1138.13	5
AG1-AG2	sec_cont	-551.79	1117.58	143.44929565033834	879.0	878.95	6
AG1-AG2	sec_cont	-547.8	1109.6	148.99796010097714	913.0	726.85	7
AG1-AG2	sec_cont	-563.35	1140.7	146.06043186240368	895.0	916.17	8
AG1-AG2	sec_cont	-575.74	1165.48	150.14033219375574	920.0	797.45	9
AG1-AG2	sec_cont	-603.52	1221.04	158.30013285645984	970.0	884.48	10
AG1-AG2	sec_cont	-569.37	1152.74	154.22023252510778	945.0	732.36	11
AG1-AG2	sec_cont	-560.22	1134.44	149.16115611423123	914.0	1039.99	12
AG1-AG2	sec_cont	-540.89	1095.78	149.6507441539935	917.0	737.9	13
AG1-AG2	sec_cont	-578.12	1170.24	154.38342853836187	946.0	679.27	14
AG1-AG2	sec_cont	-571.9	1157.8	144.1020797033547	883.0	788.8	15
AG1-AG2	sec_cont	-613.85	1241.7	159.27930893598435	976.0	1030.63	16
AG1-AG2	sec_cont	-568.59	1151.18	151.2827042865343	927.0	938.69	17
AG1-AG2	sec_cont	-578.17	1170.34	139.04300329247812	852.0	1306.69	18
AG1-AG2	sec_cont	-579.84	1173.68	148.5083720612149	910.0	1132.33	19
AG1-AG2	sec_cont	-549.0	1112.0	144.9180597696251	888.0	1132.75	20
AG1-AG2	sec_cont	-570.09	1154.18	146.71321591542	899.0	930.64	21
AG1-AG2	sec_cont	-548.44	1110.88	148.18198003470673	908.0	891.07	22
AG1-AG2	sec_cont	-580.14	1174.28	151.2827042865343	927.0	1421.91	23
AG1-AG2	sec_cont	-553.61	1121.22	146.8764119286741	900.0	738.02	24
AG1-AG2	sec_cont	-555.54	1125.08	153.0778604323292	938.0	746.49	25
AG1-AG2	sec_cont	-609.11	1232.22	150.3035282070098	921.0	1514.49	26
AG1-AG2	sec_cont	-600.14	1214.28	147.6923919949445	905.0	945.07	27
AG1-AG2	sec_cont	-590.78	1195.56	151.11950827328022	926.0	1048.49	28
AG1-AG2	sec_cont	-559.6	1133.2	151.77229232629654	930.0	676.23	29
AG1-AG2	sec_cont	-572.24	1158.48	146.8764119286741	900.0	2708.56	30
AG1-AG2	sec_cont	-546.08	1106.16	148.01878402145266	907.0	639.54	31
AG1-AG2	sec_cont	-620.38	1254.76	148.01878402145266	907.0	1777.81	32
AG1-AG2	sec_cont	-569.26	1152.52	149.97713618050165	919.0	680.41	33
AG1-AG2	sec_cont	-586.09	1186.18	149.4875481407394	916.0	939.04	34
AG1-AG2	sec_cont	-573.64	1161.28	150.4667242202639	922.0	748.07	35
AG1-AG2	sec_cont	-568.3	1150.6	149.4875481407394	916.0	832.34	36
AG1-AG2	sec_cont	-581.04	1176.08	154.0570365118537	944.0	3991.5	37
AG1-AG2	sec_cont	-596.07	1206.14	148.99796010097714	913.0	1667.78	38
AG1-AG2	sec_cont	-577.82	1169.64	149.32435212748533	915.0	1635.04	39
AG1-AG2	sec_cont	-531.29	1076.58	141.65413950454345	868.0	793.55	40
