Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AL1	sec_cont	-468.46	950.92	197.7511786954447	872.0	546.76	0
AG1-AL1	sec_cont	-483.25	980.5	210.9043534251876	930.0	544.9	1
AG1-AL1	sec_cont	-458.98	931.96	199.33863081799987	879.0	504.19	2
AG1-AL1	sec_cont	-490.51	995.02	193.89593782638215	855.0	636.29	3
AG1-AL1	sec_cont	-542.29	1098.58	206.59555480682354	911.0	758.3	4
AG1-AL1	sec_cont	-486.47	986.94	202.96709281241172	895.0	627.93	5
AG1-AL1	sec_cont	-539.98	1093.96	207.95622805472797	917.0	754.14	6
AG1-AL1	sec_cont	-484.68	983.36	194.34949557568362	857.0	627.77	7
AG1-AL1	sec_cont	-552.09	1118.18	202.05997731380876	891.0	871.44	8
AG1-AL1	sec_cont	-494.59	1003.18	195.71016882358805	863.0	631.14	9
AG1-AL1	sec_cont	-495.74	1005.48	199.56540969265063	880.0	668.25	10
AG1-AL1	sec_cont	-473.7	961.4	198.43151531939694	875.0	546.84	11
AG1-AL1	sec_cont	-502.37	1018.74	199.33863081799987	879.0	687.61	12
AG1-AL1	sec_cont	-488.7	991.4	210.22401680123536	927.0	563.43	13
AG1-AL1	sec_cont	-490.26	994.52	187.77290821081218	828.0	657.91	14
AG1-AL1	sec_cont	-463.48	940.96	192.76204345312846	850.0	522.0	15
AG1-AL1	sec_cont	-481.99	977.98	196.84406319684174	868.0	624.47	16
AG1-AL1	sec_cont	-489.07	992.14	200.0189674419521	882.0	617.2	17
AG1-AL1	sec_cont	-473.35	960.7	199.56540969265063	880.0	540.69	18
AG1-AL1	sec_cont	-454.45	922.9	200.69930406590433	885.0	525.14	19
AG1-AL1	sec_cont	-470.28	954.56	206.82233368147428	912.0	528.67	20
AG1-AL1	sec_cont	-513.77	1041.54	196.39050544754028	866.0	715.51	21
AG1-AL1	sec_cont	-479.37	972.74	201.60641956450726	889.0	551.68	22
AG1-AL1	sec_cont	-476.62	967.24	188.4532448347644	831.0	611.06	23
AG1-AL1	sec_cont	-521.42	1056.84	206.3687759321728	910.0	663.73	24
AG1-AL1	sec_cont	-492.71	999.42	197.29762094614324	870.0	645.01	25
AG1-AL1	sec_cont	-497.15	1008.3	203.64742943636392	898.0	650.21	26
AG1-AL1	sec_cont	-478.04	970.08	195.71016882358805	863.0	591.14	27
AG1-AL1	sec_cont	-542.86	1099.72	205.68843930822058	907.0	818.7	28
AG1-AL1	sec_cont	-503.55	1021.1	202.05997731380876	891.0	671.57	29
AG1-AL1	sec_cont	-498.48	1010.96	199.33863081799987	879.0	684.91	30
AG1-AL1	sec_cont	-473.64	961.28	200.0189674419521	882.0	614.19	31
AG1-AL1	sec_cont	-494.85	1003.7	200.24574631660283	883.0	587.84	32
AG1-AL1	sec_cont	-507.19	1028.38	201.37964068985653	888.0	707.03	33
AG1-AL1	sec_cont	-477.74	969.48	205.9152181828713	908.0	502.29	34
AG1-AL1	sec_cont	-499.8	1013.6	203.64742943636392	898.0	601.34	35
AG1-AL1	sec_cont	-465.55	945.1	205.9152181828713	908.0	526.39	36
AG1-AL1	sec_cont	-461.79	937.58	194.8030533249851	859.0	580.24	37
AG1-AL1	sec_cont	-514.99	1043.98	189.5871392080181	836.0	671.37	38
AG1-AL1	sec_cont	-534.72	1083.44	200.47252519125357	884.0	820.31	39
AG1-AL1	sec_cont	-540.56	1095.12	213.39892104634572	941.0	772.99	40
AG1-AL1	sec_cont	-524.29	1062.58	211.35791117448906	932.0	736.05	41
AG1-AL1	sec_cont	-520.15	1054.3	201.60641956450726	889.0	676.72	42
AG1-AL1	sec_cont	-486.57	987.14	197.97795757009544	873.0	617.82	43
AG1-AL1	sec_cont	-492.11	998.22	195.02983219963585	860.0	732.89	44
AG1-AL1	sec_cont	-495.3	1004.6	196.617284322191	867.0	662.56	45
AG1-AL1	sec_cont	-485.9	985.8	201.60641956450726	889.0	543.83	46
AG1-AL1	sec_cont	-490.51	995.02	206.14199705752208	909.0	544.57	47
AG1-AL1	sec_cont	-502.21	1018.42	200.47252519125357	884.0	662.09	48
AG1-AL1	sec_cont	-507.24	1028.48	206.82233368147428	912.0	650.01	49
AG1-AL1	sec_cont	-535.36	1084.72	195.48338994893732	862.0	846.65	50
AG1-AL1	sec_cont	-462.98	939.96	190.94781245592253	842.0	518.11	51
AG1-AL1	sec_cont	-494.43	1002.86	198.20473644474617	874.0	694.31	52
AG1-AL1	sec_cont	-473.58	961.16	197.29762094614324	870.0	625.9	53
AG1-AL1	sec_cont	-488.89	991.78	208.40978580402947	919.0	598.34	54
AG1-AL1	sec_cont	-502.38	1018.76	203.64742943636392	898.0	706.23	55
AG1-AL1	sec_cont	-502.28	1018.56	204.78132380961762	903.0	637.62	56
AG1-AL1	sec_cont	-508.08	1030.1599999999999	205.9152181828713	908.0	639.44	57
AG1-AL1	sec_cont	-486.16	986.32	194.34949557568362	857.0	655.98	58
AG1-AL1	sec_cont	-488.97	991.94	201.60641956450726	889.0	578.96	59
AG1-AL1	sec_cont	-502.77	1019.54	196.617284322191	867.0	689.35	60
AG1-AL1	sec_cont	-469.98	953.96	197.52439982079397	871.0	530.81	61
AG1-AL1	sec_cont	-503.41	1020.82	205.2348815589191	905.0	615.96	62
AG1-AL1	sec_cont	-520.21	1054.42	201.1528618152058	887.0	752.06	63
AG1-AL1	sec_cont	-473.27	960.54	201.1528618152058	887.0	590.47	64
AG1-AL1	sec_cont	-487.47	988.94	187.54612933616144	827.0	673.15	65
AG1-AL1	sec_cont	-502.11	1018.22	200.47252519125357	884.0	736.28	66
AG1-AL1	sec_cont	-477.81	969.62	204.78132380961762	903.0	577.08	67
AG1-AL1	sec_cont	-520.96	1055.92	205.00810268426838	904.0	746.22	68
AG1-AL1	sec_cont	-487.4	988.8	190.04069695731957	838.0	678.66	69
AG1-AL1	sec_cont	-465.85	945.7	195.71016882358805	863.0	554.49	70
AG1-AL1	sec_cont	-509.74	1033.48	201.37964068985653	888.0	669.86	71
AG1-AL1	sec_cont	-485.93	985.86	199.79218856730137	881.0	651.58	72
AG1-AL1	sec_cont	-507.07	1028.1399999999999	205.9152181828713	908.0	604.34	73
AG1-AL1	sec_cont	-490.44	994.88	198.8850730686984	877.0	679.44	74
AG1-AL1	sec_cont	-458.55	931.1	199.56540969265063	880.0	510.51	75
AG1-AL1	sec_cont	-500.32	1014.64	196.84406319684174	868.0	698.23	76
AG1-AL1	sec_cont	-489.71	993.42	212.94536329704425	939.0	624.83	77
AG1-AL1	sec_cont	-494.52	1003.04	196.39050544754028	866.0	708.0	78
AG1-AL1	sec_cont	-498.04	1010.08	199.11185194334914	878.0	685.42	79
AG1-AL1	sec_cont	-494.55	1003.1	200.69930406590433	885.0	615.17	80
AG1-AL1	sec_cont	-508.87	1031.74	207.27589143077577	914.0	655.28	81
AG1-AL1	sec_cont	-524.62	1063.24	199.56540969265063	880.0	835.9	82
AG1-AL1	sec_cont	-492.52	999.04	198.65829419404767	876.0	610.24	83
AG1-AL1	sec_cont	-492.65	999.3	210.9043534251876	930.0	598.44	84
AG1-AL1	sec_cont	-499.28	1012.56	197.52439982079397	871.0	717.91	85
AG1-AL1	sec_cont	-516.48	1046.96	200.69930406590433	885.0	743.32	86
AG1-AL1	sec_cont	-501.68	1017.36	197.07084207149248	869.0	745.8	87
AG1-AL1	sec_cont	-512.84	1039.68	195.93694769823878	864.0	807.04	88
AG1-AL1	sec_cont	-531.4	1076.8	203.64742943636392	898.0	770.54	89
AG1-AL1	sec_cont	-471.44	956.88	187.54612933616144	827.0	560.02	90
AG1-AL1	sec_cont	-505.35	1024.7	199.33863081799987	879.0	688.05	91
AG1-AL1	sec_cont	-493.58	1001.16	202.740313937761	894.0	610.92	92
AG1-AL1	sec_cont	-498.86	1011.72	195.93694769823878	864.0	691.6	93
AG1-AL1	sec_cont	-502.64	1019.28	204.10098718566542	900.0	669.84	94
AG1-AL1	sec_cont	-474.56	963.12	188.90680258406587	833.0	609.68	95
AG1-AL1	sec_cont	-475.63	965.26	199.33863081799987	879.0	601.89	96
AG1-AL1	sec_cont	-494.48	1002.96	189.5871392080181	836.0	687.55	97
AG1-AL1	sec_cont	-533.68	1081.36	200.92608294055506	886.0	762.85	98
AG1-AL1	sec_cont	-533.88	1081.76	206.59555480682354	911.0	792.91	99
