Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AL2	iso_inbred	-743.04	1496.08	213.493750842477	859.0	1680.3	0
AG1-AL2	iso_inbred	-758.04	1526.08	214.4879010210217	863.0	1651.99	1
AG1-AL2	iso_inbred	-703.48	1416.96	211.2569129407514	850.0	1407.41	2
AG1-AL2	iso_inbred	-773.69	1557.38	214.4879010210217	863.0	1935.08	3
AG1-AL2	iso_inbred	-764.95	1539.9	215.7305887442026	868.0	1709.05	4
AG1-AL2	iso_inbred	-679.6	1369.2	212.74813820856846	856.0	1188.39	5
AG1-AL2	iso_inbred	-739.7	1489.4	216.72473892274732	872.0	1602.06	6
AG1-AL2	iso_inbred	-731.73	1473.46	202.309561333849	814.0	1597.21	7
AG1-AL2	iso_inbred	-758.54	1527.08	219.70718945838146	884.0	1586.67	8
AG1-AL2	iso_inbred	-719.8	1449.6	212.2510631192961	854.0	1556.89	9
AG1-AL2	iso_inbred	-785.26	1580.52	213.99082593174936	861.0	2000.82	10
AG1-AL2	iso_inbred	-712.26	1434.52	211.50545048538757	851.0	1396.09	11
AG1-AL2	iso_inbred	-753.67	1517.34	206.78323713730018	832.0	1836.44	12
AG1-AL2	iso_inbred	-742.38	1494.76	214.4879010210217	863.0	1705.95	13
AG1-AL2	iso_inbred	-801.41	1612.82	214.23936347638553	862.0	1977.32	14
AG1-AL2	iso_inbred	-697.42	1404.84	216.47620137811114	871.0	1318.04	15
AG1-AL2	iso_inbred	-767.87	1545.74	219.95572700301764	885.0	1751.61	16
AG1-AL2	iso_inbred	-732.8	1475.6	213.24521329784082	858.0	1582.14	17
AG1-AL2	iso_inbred	-777.67	1565.34	219.45865191374529	883.0	1672.22	18
AG1-AL2	iso_inbred	-716.1	1442.2	207.28031222657253	834.0	1414.24	19
AG1-AL2	iso_inbred	-768.98	1547.96	206.03762450339167	829.0	1831.87	20
AG1-AL2	iso_inbred	-734.19	1478.38	213.99082593174936	861.0	1504.33	21
AG1-AL2	iso_inbred	-658.87	1327.74	204.5463992355746	823.0	1164.32	22
AG1-AL2	iso_inbred	-726.11	1462.22	210.75983785147903	848.0	1408.17	23
AG1-AL2	iso_inbred	-690.23	1390.46	204.5463992355746	823.0	1360.69	24
AG1-AL2	iso_inbred	-717.36	1444.72	212.74813820856846	856.0	1375.25	25
AG1-AL2	iso_inbred	-774.77	1559.54	216.22766383347496	870.0	1800.39	26
AG1-AL2	iso_inbred	-740.28	1490.56	211.75398803002375	852.0	1547.66	27
AG1-AL2	iso_inbred	-715.35	1440.7	209.51715012829814	843.0	1379.55	28
AG1-AL2	iso_inbred	-778.77	1567.54	220.70133963692615	888.0	1830.53	29
AG1-AL2	iso_inbred	-740.49	1490.98	210.26276276220668	846.0	1722.61	30
AG1-AL2	iso_inbred	-772.06	1554.12	215.7305887442026	868.0	1690.47	31
AG1-AL2	iso_inbred	-754.74	1519.48	224.9264778957412	905.0	1497.72	32
AG1-AL2	iso_inbred	-703.92	1417.84	217.71888910129204	876.0	1289.19	33
AG1-AL2	iso_inbred	-697.4	1404.8	220.94987718156233	889.0	1324.59	34
AG1-AL2	iso_inbred	-701.58	1413.16	204.5463992355746	823.0	1359.67	35
AG1-AL2	iso_inbred	-767.41	1544.82	215.23351365493025	866.0	1719.24	36
AG1-AL2	iso_inbred	-724.82	1459.64	209.76568767293432	844.0	1454.69	37
AG1-AL2	iso_inbred	-729.12	1468.24	202.0610237892128	813.0	1501.07	38
AG1-AL2	iso_inbred	-685.32	1380.64	207.03177468193635	833.0	1365.39	39
AG1-AL2	iso_inbred	-727.44	1464.88	213.24521329784082	858.0	1537.94	40
AG1-AL2	iso_inbred	-702.85	1415.7	206.28616204802785	830.0	1324.51	41
AG1-AL2	iso_inbred	-746.51	1503.02	211.50545048538757	851.0	1493.04	42
AG1-AL2	iso_inbred	-714.91	1439.82	207.5288497712087	835.0	1603.17	43
AG1-AL2	iso_inbred	-780.5	1571.0	216.72473892274732	872.0	1823.63	44
AG1-AL2	iso_inbred	-741.51	1493.02	223.18671508328794	898.0	1563.49	45
AG1-AL2	iso_inbred	-705.64	1421.28	204.5463992355746	823.0	1472.28	46
AG1-AL2	iso_inbred	-665.3	1340.6	211.0083753961152	849.0	1074.56	47
AG1-AL2	iso_inbred	-739.98	1489.96	209.51715012829814	843.0	1656.62	48
AG1-AL2	iso_inbred	-660.33	1330.66	195.59904762867217	787.0	1225.83	49
AG1-AL2	iso_inbred	-749.43	1508.86	206.28616204802785	830.0	1656.92	50
AG1-AL2	iso_inbred	-779.95	1569.9	210.75983785147903	848.0	1795.08	51
AG1-AL2	iso_inbred	-736.82	1483.64	217.9674266459282	877.0	1554.88	52
AG1-AL2	iso_inbred	-718.02	1446.04	211.2569129407514	850.0	1446.22	53
AG1-AL2	iso_inbred	-746.62	1503.24	211.50545048538757	851.0	1575.67	54
AG1-AL2	iso_inbred	-746.59	1503.18	217.9674266459282	877.0	1506.69	55
AG1-AL2	iso_inbred	-744.12	1498.24	218.46450173520057	879.0	1444.66	56
AG1-AL2	iso_inbred	-769.57	1549.14	211.2569129407514	850.0	1760.28	57
AG1-AL2	iso_inbred	-713.79	1437.58	204.04932414630224	821.0	1312.54	58
AG1-AL2	iso_inbred	-729.73	1469.46	210.26276276220668	846.0	1588.88	59
AG1-AL2	iso_inbred	-721.29	1452.58	211.2569129407514	850.0	1588.19	60
AG1-AL2	iso_inbred	-724.16	1458.32	207.5288497712087	835.0	1454.8	61
AG1-AL2	iso_inbred	-791.77	1593.54	216.9732764673835	873.0	1868.06	62
AG1-AL2	iso_inbred	-703.51	1417.02	209.26861258366196	842.0	1415.09	63
AG1-AL2	iso_inbred	-734.77	1479.54	210.26276276220668	846.0	1622.96	64
AG1-AL2	iso_inbred	-706.74	1423.48	219.70718945838146	884.0	1321.99	65
AG1-AL2	iso_inbred	-739.21	1488.42	212.49960066393228	855.0	1699.82	66
AG1-AL2	iso_inbred	-743.23	1496.46	215.7305887442026	868.0	1717.72	67
AG1-AL2	iso_inbred	-680.57	1371.14	205.04347432484695	825.0	1290.39	68
AG1-AL2	iso_inbred	-754.97	1519.94	212.2510631192961	854.0	1665.07	69
AG1-AL2	iso_inbred	-771.12	1552.24	213.24521329784082	858.0	1682.12	70
AG1-AL2	iso_inbred	-745.23	1500.46	220.70133963692615	888.0	1450.18	71
AG1-AL2	iso_inbred	-739.0	1488.0	209.51715012829814	843.0	1717.21	72
AG1-AL2	iso_inbred	-777.5	1565.0	221.1984147261985	890.0	1673.99	73
AG1-AL2	iso_inbred	-737.84	1485.68	207.7773873158449	836.0	1512.16	74
AG1-AL2	iso_inbred	-725.43	1460.86	207.7773873158449	836.0	1362.27	75
AG1-AL2	iso_inbred	-750.79	1511.58	218.2159641905644	878.0	1619.78	76
