Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG2-AL1	anc_mig	-302.45	618.9	72.48046957240996	559.0	424.3	0
AG2-AL1	anc_mig	-304.93	623.86	77.40758557196556	597.0	383.12	1
AG2-AL1	anc_mig	-326.88	667.76	72.61013051976668	560.0	458.31	2
AG2-AL1	anc_mig	-299.25	612.5	69.10928494113507	533.0	364.78	3
AG2-AL1	anc_mig	-350.81	715.62	76.88894178253865	593.0	542.92	4
AG2-AL1	anc_mig	-300.03	614.06	72.99911336183686	563.0	366.2	5
AG2-AL1	anc_mig	-308.7	631.4	71.44318199355614	551.0	360.81	6
AG2-AL1	anc_mig	-296.65	607.3	72.61013051976668	560.0	359.91	7
AG2-AL1	anc_mig	-288.1	590.2	69.2389458884918	534.0	339.81	8
AG2-AL1	anc_mig	-295.02	604.04	72.86945241448014	562.0	401.98	9
AG2-AL1	anc_mig	-306.47	626.94	69.2389458884918	534.0	446.19	10
AG2-AL1	anc_mig	-310.26	634.52	73.12877430919359	564.0	405.14	11
AG2-AL1	anc_mig	-291.6	597.2	78.31521220346264	604.0	328.03	12
AG2-AL1	anc_mig	-311.55	637.1	71.31352104619941	550.0	445.59	13
AG2-AL1	anc_mig	-298.81	611.62	67.81267546756781	523.0	443.48	14
AG2-AL1	anc_mig	-311.63	637.26	66.51606599400054	513.0	497.95	15
AG2-AL1	anc_mig	-293.06	600.12	67.55335357285436	521.0	390.89	16
AG2-AL1	anc_mig	-309.32	632.64	70.92453820412923	547.0	468.82	17
AG2-AL1	anc_mig	-311.03	636.06	75.59233230897138	583.0	410.32	18
AG2-AL1	anc_mig	-322.25	658.5	72.86945241448014	562.0	485.61	19
AG2-AL1	anc_mig	-308.18	630.36	73.90673999333394	570.0	382.89	20
AG2-AL1	anc_mig	-289.98	593.96	73.64741809862049	568.0	365.46	21
AG2-AL1	anc_mig	-314.74	643.48	70.40589441470233	543.0	457.4	22
AG2-AL1	anc_mig	-345.84	705.68	80.1304654664568	618.0	545.57	23
AG2-AL1	anc_mig	-285.78	585.56	68.59064115170817	529.0	466.13	24
AG2-AL1	anc_mig	-308.89	631.78	74.81436662483102	577.0	408.95	25
AG2-AL1	anc_mig	-309.14	632.28	71.57284294091286	552.0	501.37	26
AG2-AL1	anc_mig	-291.37	596.74	71.44318199355614	551.0	328.27	27
AG2-AL1	anc_mig	-330.15	674.3	74.55504473011757	575.0	468.89	28
AG2-AL1	anc_mig	-299.76	613.52	71.05419915148596	548.0	392.91	29
AG2-AL1	anc_mig	-296.36	606.72	69.10928494113507	533.0	391.27	30
AG2-AL1	anc_mig	-295.18	604.36	72.73979146712341	561.0	360.87	31
AG2-AL1	anc_mig	-314.39	642.78	72.22114767769651	557.0	492.13	32
AG2-AL1	anc_mig	-296.2	606.4	73.12877430919359	564.0	355.91	33
AG2-AL1	anc_mig	-293.16	600.32	67.55335357285436	521.0	389.4	34
AG2-AL1	anc_mig	-322.35	658.7	74.6847056774743	576.0	423.52	35
AG2-AL1	anc_mig	-320.88	655.76	70.66521630941578	545.0	532.95	36
AG2-AL1	anc_mig	-309.02	632.04	76.37029799311173	589.0	378.86	37
AG2-AL1	anc_mig	-287.91	589.82	71.05419915148596	548.0	316.45	38
AG2-AL1	anc_mig	-331.63	677.26	70.01691157263215	540.0	498.71	39
AG2-AL1	anc_mig	-291.9	597.8	74.42538378276085	574.0	315.12	40
AG2-AL1	anc_mig	-284.5	583.0	71.44318199355614	551.0	328.4	41
AG2-AL1	anc_mig	-289.2	592.4	68.59064115170817	529.0	359.78	42
AG2-AL1	anc_mig	-327.92	669.84	75.07368851954448	579.0	450.81	43
AG2-AL1	anc_mig	-297.31	608.62	71.57284294091286	552.0	364.74	44
AG2-AL1	anc_mig	-293.73	601.46	69.88725062527543	539.0	379.71	45
AG2-AL1	anc_mig	-321.97	657.94	73.90673999333394	570.0	473.46	46
AG2-AL1	anc_mig	-343.55	701.1	71.7025038882696	553.0	571.94	47
AG2-AL1	anc_mig	-318.69	651.38	75.33301041425793	581.0	406.66	48
AG2-AL1	anc_mig	-313.5	641.0	74.94402757218775	578.0	427.14	49
AG2-AL1	anc_mig	-302.09	618.18	71.83216483562633	554.0	392.39	50
AG2-AL1	anc_mig	-296.89	607.78	72.61013051976668	560.0	355.86	51
AG2-AL1	anc_mig	-297.73	609.46	72.09148673033978	556.0	422.72	52
AG2-AL1	anc_mig	-275.51	565.02	69.7575896779187	538.0	315.64	53
AG2-AL1	anc_mig	-321.17	656.34	72.86945241448014	562.0	527.03	54
AG2-AL1	anc_mig	-290.0	594.0	68.46098020435144	528.0	344.68	55
AG2-AL1	anc_mig	-317.86	649.72	73.77707904597722	569.0	408.93	56
AG2-AL1	anc_mig	-287.52	589.04	75.33301041425793	581.0	286.06	57
AG2-AL1	anc_mig	-317.3	648.6	73.90673999333394	570.0	452.35	58
AG2-AL1	anc_mig	-299.2	612.4	72.35080862505323	558.0	368.79	59
AG2-AL1	anc_mig	-287.84	589.68	72.86945241448014	562.0	315.08	60
AG2-AL1	anc_mig	-307.49	628.98	72.73979146712341	561.0	406.1	61
AG2-AL1	anc_mig	-292.17	598.34	68.7203020990649	530.0	402.33	62
AG2-AL1	anc_mig	-312.97	639.94	75.2033494669012	580.0	412.99	63
AG2-AL1	anc_mig	-328.26	670.52	74.03640094069067	571.0	495.24	64
AG2-AL1	anc_mig	-299.93	613.86	71.18386009884269	549.0	390.66	65
AG2-AL1	anc_mig	-309.56	633.12	74.42538378276085	574.0	414.71	66
AG2-AL1	anc_mig	-321.04	656.08	72.09148673033978	556.0	465.45	67
AG2-AL1	anc_mig	-326.48	666.96	73.90673999333394	570.0	504.02	68
AG2-AL1	anc_mig	-267.99	549.98	68.46098020435144	528.0	288.19	69
AG2-AL1	anc_mig	-319.62	653.24	74.94402757218775	578.0	477.08	70
AG2-AL1	anc_mig	-287.66	589.32	68.46098020435144	528.0	382.23	71
AG2-AL1	anc_mig	-285.97	585.94	77.1482636772521	595.0	282.01	72
AG2-AL1	anc_mig	-287.41	588.82	68.59064115170817	529.0	355.33	73
AG2-AL1	anc_mig	-291.32	596.64	75.7219932563281	584.0	314.28	74
AG2-AL1	anc_mig	-304.17	622.34	71.7025038882696	553.0	403.39	75
AG2-AL1	anc_mig	-284.53	583.06	71.57284294091286	552.0	324.66	76
AG2-AL1	anc_mig	-327.56	669.12	71.7025038882696	553.0	456.08	77
AG2-AL1	anc_mig	-339.88	693.76	75.33301041425793	581.0	522.71	78
AG2-AL1	anc_mig	-319.1	652.2	71.96182578298306	555.0	445.4	79
AG2-AL1	anc_mig	-313.11	640.22	73.51775715126377	567.0	431.54	80
AG2-AL1	anc_mig	-308.64	631.28	73.25843525655031	565.0	484.05	81
AG2-AL1	anc_mig	-299.95	613.9	73.90673999333394	570.0	362.31	82
AG2-AL1	anc_mig	-282.1	578.2	70.79487725677251	546.0	292.22	83
AG2-AL1	anc_mig	-301.04	616.08	74.03640094069067	571.0	386.86	84
AG2-AL1	anc_mig	-304.1	622.2	72.61013051976668	560.0	348.31	85
AG2-AL1	anc_mig	-318.1	650.2	72.61013051976668	560.0	431.69	86
AG2-AL1	anc_mig	-318.63	651.26	69.36860683584852	535.0	490.99	87
AG2-AL1	anc_mig	-305.07	624.14	70.53555536205906	544.0	452.94	88
AG2-AL1	anc_mig	-340.78	695.56	75.59233230897138	583.0	483.39	89
AG2-AL1	anc_mig	-292.79	599.58	69.7575896779187	538.0	343.05	90
AG2-AL1	anc_mig	-299.83	613.66	77.1482636772521	595.0	340.7	91
AG2-AL1	anc_mig	-283.51	581.02	66.38640504664382	512.0	326.25	92
AG2-AL1	anc_mig	-297.33	608.66	69.49826778320525	536.0	359.27	93
AG2-AL1	anc_mig	-295.33	604.66	70.14657251998888	541.0	387.74	94
AG2-AL1	anc_mig	-319.84	653.68	71.57284294091286	552.0	505.92	95
AG2-AL1	anc_mig	-310.54	635.08	74.81436662483102	577.0	426.56	96
AG2-AL1	anc_mig	-336.16	686.32	70.01691157263215	540.0	553.71	97
AG2-AL1	anc_mig	-285.78	585.56	71.44318199355614	551.0	332.96	98
AG2-AL1	anc_mig	-310.93	635.86	73.90673999333394	570.0	421.41	99
