Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG2-AL2	mig_inbred	-391.66	795.32	85.89570629405583	641.0	590.51	0
AG2-AL2	mig_inbred	-454.3	920.6	86.29771427983144	644.0	924.92	1
AG2-AL2	mig_inbred	-450.11	912.22	88.0397488848591	657.0	948.09	2
AG2-AL2	mig_inbred	-438.29	888.58	84.15367168902817	628.0	824.23	3
AG2-AL2	mig_inbred	-405.76	823.52	83.61766104132735	624.0	694.82	4
AG2-AL2	mig_inbred	-430.47	872.94	88.3077542087095	659.0	788.18	5
AG2-AL2	mig_inbred	-412.17	836.34	83.61766104132735	624.0	710.03	6
AG2-AL2	mig_inbred	-421.72	855.44	80.13359183127206	598.0	835.44	7
AG2-AL2	mig_inbred	-439.38	890.76	85.35969564635501	637.0	863.85	8
AG2-AL2	mig_inbred	-439.32	890.64	85.49369830828022	638.0	831.68	9
AG2-AL2	mig_inbred	-461.83	935.66	86.96772758945745	649.0	896.52	10
AG2-AL2	mig_inbred	-449.01	910.02	88.4417568706347	660.0	785.31	11
AG2-AL2	mig_inbred	-450.15	912.3	85.35969564635501	637.0	922.55	12
AG2-AL2	mig_inbred	-423.36	858.72	86.83372492753226	648.0	742.33	13
AG2-AL2	mig_inbred	-417.82	847.64	80.26759449319725	599.0	740.86	14
AG2-AL2	mig_inbred	-412.78	837.56	87.36973557523307	652.0	621.83	15
AG2-AL2	mig_inbred	-439.74	891.48	84.68968233672899	632.0	971.96	16
AG2-AL2	mig_inbred	-393.63	799.26	86.96772758945745	649.0	603.96	17
AG2-AL2	mig_inbred	-412.4	836.8	84.55567967480378	631.0	728.25	18
AG2-AL2	mig_inbred	-432.97	877.94	87.50373823715827	653.0	759.06	19
AG2-AL2	mig_inbred	-438.93	889.86	84.55567967480378	631.0	983.4	20
AG2-AL2	mig_inbred	-442.98	897.96	87.63774089908348	654.0	801.78	21
AG2-AL2	mig_inbred	-432.17	876.34	84.42167701287858	630.0	714.43	22
AG2-AL2	mig_inbred	-407.7	827.4	88.84376485641032	663.0	630.23	23
AG2-AL2	mig_inbred	-423.46	858.92	85.49369830828022	638.0	679.81	24
AG2-AL2	mig_inbred	-451.57	915.14	82.81364506977613	618.0	954.92	25
AG2-AL2	mig_inbred	-437.91	887.82	82.41163708400052	615.0	791.92	26
AG2-AL2	mig_inbred	-407.19	826.38	88.0397488848591	657.0	679.19	27
AG2-AL2	mig_inbred	-404.69	821.38	88.97776751833553	664.0	675.55	28
AG2-AL2	mig_inbred	-439.95	891.9	83.48365837940216	623.0	934.72	29
AG2-AL2	mig_inbred	-457.61	927.22	85.62770097020542	639.0	915.57	30
AG2-AL2	mig_inbred	-453.74	919.48	90.04978881373715	672.0	795.06	31
AG2-AL2	mig_inbred	-446.97	905.94	87.90574622293389	656.0	987.71	32
AG2-AL2	mig_inbred	-402.72	817.44	84.68968233672899	632.0	612.69	33
AG2-AL2	mig_inbred	-421.23	854.46	84.9576876605794	634.0	782.64	34
AG2-AL2	mig_inbred	-416.73	845.46	87.63774089908348	654.0	737.65	35
AG2-AL2	mig_inbred	-395.12	802.24	86.43171694175665	645.0	677.31	36
AG2-AL2	mig_inbred	-444.96	901.92	89.78178348988675	670.0	770.48	37
AG2-AL2	mig_inbred	-454.93	921.86	84.8236849986542	633.0	1203.85	38
AG2-AL2	mig_inbred	-426.64	865.28	85.76170363213062	640.0	790.54	39
AG2-AL2	mig_inbred	-433.96	879.92	85.0916903225046	635.0	917.48	40
AG2-AL2	mig_inbred	-429.53	871.06	83.75166370325256	625.0	816.83	41
AG2-AL2	mig_inbred	-429.66	871.32	81.07161046474847	605.0	868.56	42
AG2-AL2	mig_inbred	-422.38	856.76	84.68968233672899	632.0	867.25	43
AG2-AL2	mig_inbred	-397.14	806.28	84.42167701287858	630.0	630.83	44
AG2-AL2	mig_inbred	-423.26	858.52	86.83372492753226	648.0	896.2	45
AG2-AL2	mig_inbred	-450.9	913.8	82.54563974592573	616.0	1057.43	46
AG2-AL2	mig_inbred	-427.18	866.36	86.43171694175665	645.0	676.48	47
AG2-AL2	mig_inbred	-422.63	857.26	84.8236849986542	633.0	787.31	48
AG2-AL2	mig_inbred	-434.34	880.68	83.61766104132735	624.0	864.52	49
AG2-AL2	mig_inbred	-458.6	929.2	88.1737515467843	658.0	862.57	50
AG2-AL2	mig_inbred	-418.73	849.46	84.8236849986542	633.0	780.14	51
AG2-AL2	mig_inbred	-421.23	854.46	85.49369830828022	638.0	704.61	52
AG2-AL2	mig_inbred	-409.99	831.98	87.63774089908348	654.0	617.87	53
AG2-AL2	mig_inbred	-428.01	868.02	85.49369830828022	638.0	858.13	54
AG2-AL2	mig_inbred	-418.22	848.44	86.69972226560705	647.0	740.87	55
AG2-AL2	mig_inbred	-420.11	852.22	81.33961578859889	607.0	837.4	56
AG2-AL2	mig_inbred	-432.01	876.02	85.62770097020542	639.0	861.1	57
AG2-AL2	mig_inbred	-425.21	862.42	83.08165039362655	620.0	798.56	58
AG2-AL2	mig_inbred	-408.86	829.72	78.79356521202001	588.0	704.43	59
AG2-AL2	mig_inbred	-473.96	959.92	85.35969564635501	637.0	972.49	60
AG2-AL2	mig_inbred	-441.96	895.92	86.29771427983144	644.0	951.04	61
AG2-AL2	mig_inbred	-429.96	871.92	88.57575953255991	661.0	731.93	62
AG2-AL2	mig_inbred	-468.66	949.32	86.16371161790623	643.0	1007.7	63
AG2-AL2	mig_inbred	-417.79	847.58	84.42167701287858	630.0	783.24	64
AG2-AL2	mig_inbred	-452.34	916.68	85.89570629405583	641.0	982.31	65
AG2-AL2	mig_inbred	-411.94	835.88	83.88566636517777	626.0	772.09	66
AG2-AL2	mig_inbred	-452.74	917.48	91.6578207568396	684.0	838.36	67
AG2-AL2	mig_inbred	-463.32	938.64	92.72984205224124	692.0	995.48	68
AG2-AL2	mig_inbred	-414.43	840.86	84.55567967480378	631.0	794.69	69
AG2-AL2	mig_inbred	-419.71	851.42	85.35969564635501	637.0	717.01	70
AG2-AL2	mig_inbred	-411.87	835.74	87.90574622293389	656.0	717.87	71
AG2-AL2	mig_inbred	-448.19	908.38	84.8236849986542	633.0	853.29	72
AG2-AL2	mig_inbred	-439.52	891.04	82.67964240785093	617.0	913.39	73
AG2-AL2	mig_inbred	-446.15	904.3	89.64778082796154	669.0	1022.95	74
AG2-AL2	mig_inbred	-462.24	936.48	86.83372492753226	648.0	925.76	75
AG2-AL2	mig_inbred	-446.14	904.28	89.64778082796154	669.0	866.32	76
AG2-AL2	mig_inbred	-405.43	822.86	84.01966902710296	627.0	692.85	77
AG2-AL2	mig_inbred	-395.98	803.96	87.50373823715827	653.0	613.17	78
AG2-AL2	mig_inbred	-434.87	881.74	82.0096290982249	612.0	968.73	79
AG2-AL2	mig_inbred	-427.09	866.18	82.14363176015011	613.0	833.11	80
AG2-AL2	mig_inbred	-431.24	874.48	83.75166370325256	625.0	752.02	81
AG2-AL2	mig_inbred	-419.91	851.82	82.0096290982249	612.0	808.18	82
AG2-AL2	mig_inbred	-418.51	849.02	87.77174356100869	655.0	698.93	83
AG2-AL2	mig_inbred	-442.69	897.38	85.89570629405583	641.0	842.47	84
AG2-AL2	mig_inbred	-397.26	806.52	83.88566636517777	626.0	700.51	85
AG2-AL2	mig_inbred	-426.61	865.22	85.0916903225046	635.0	809.77	86
AG2-AL2	mig_inbred	-441.37	894.74	89.78178348988675	670.0	843.75	87
AG2-AL2	mig_inbred	-508.13	1028.26	91.6578207568396	684.0	1139.64	88
AG2-AL2	mig_inbred	-401.45	814.9	81.8756264362997	611.0	623.77	89
AG2-AL2	mig_inbred	-453.67	919.34	82.54563974592573	616.0	891.99	90
AG2-AL2	mig_inbred	-415.12	842.24	83.61766104132735	624.0	825.5	91
AG2-AL2	mig_inbred	-424.27	860.54	83.21565305555174	621.0	829.25	92
AG2-AL2	mig_inbred	-435.21	882.42	81.8756264362997	611.0	833.77	93
AG2-AL2	mig_inbred	-415.74	843.48	87.23573291330787	651.0	697.86	94
AG2-AL2	mig_inbred	-421.26	854.52	85.76170363213062	640.0	714.6	95
AG2-AL2	mig_inbred	-431.64	875.28	87.90574622293389	656.0	835.05	96
AG2-AL2	mig_inbred	-428.51	869.02	85.89570629405583	641.0	836.31	97
AG2-AL2	mig_inbred	-453.61	919.22	91.12181010913879	680.0	836.84	98
AG2-AL2	mig_inbred	-440.07	892.14	88.3077542087095	659.0	727.32	99
