Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AL1-AL2	anc_mig	-579.76	1173.52	195.56030888972094	1001.0	629.69	0
AL1-AL2	anc_mig	-597.52	1209.04	196.53713360944982	1006.0	821.63	1
AL1-AL2	anc_mig	-578.25	1170.5	202.2027169838773	1035.0	640.0	2
AL1-AL2	anc_mig	-626.1	1266.2	197.12322844128715	1009.0	892.54	3
AL1-AL2	anc_mig	-591.56	1197.12	195.1695790018294	999.0	669.98	4
AL1-AL2	anc_mig	-614.64	1243.28	199.858337656528	1023.0	742.13	5
AL1-AL2	anc_mig	-595.57	1205.14	200.6397974323111	1027.0	675.16	6
AL1-AL2	anc_mig	-605.05	1224.1	198.10005316101604	1014.0	716.07	7
AL1-AL2	anc_mig	-603.48	1220.96	199.27224282469066	1020.0	687.45	8
AL1-AL2	anc_mig	-609.68	1233.36	195.56030888972094	1001.0	717.05	9
AL1-AL2	anc_mig	-620.94	1255.88	203.37490664755197	1041.0	715.43	10
AL1-AL2	anc_mig	-587.75	1189.5	204.5470963112266	1047.0	678.45	11
AL1-AL2	anc_mig	-591.01	1196.02	195.56030888972094	1001.0	653.99	12
AL1-AL2	anc_mig	-565.4	1144.8	196.14640372155827	1004.0	556.45	13
AL1-AL2	anc_mig	-557.21	1128.42	196.92786349734138	1008.0	554.7	14
AL1-AL2	anc_mig	-655.38	1324.76	200.83516237625687	1028.0	973.33	15
AL1-AL2	anc_mig	-610.92	1235.84	194.97421405788361	998.0	745.34	16
AL1-AL2	anc_mig	-629.4	1272.8	193.41129450631743	990.0	876.92	17
AL1-AL2	anc_mig	-623.16	1260.32	199.46760776863644	1021.0	777.41	18
AL1-AL2	anc_mig	-617.6	1249.2	197.70932327312448	1012.0	783.44	19
AL1-AL2	anc_mig	-589.42	1192.84	198.10005316101604	1014.0	639.57	20
AL1-AL2	anc_mig	-604.72	1223.44	195.56030888972094	1001.0	721.93	21
AL1-AL2	anc_mig	-576.34	1166.68	200.05370260047377	1024.0	613.17	22
AL1-AL2	anc_mig	-607.06	1228.12	197.31859338523293	1010.0	856.52	23
AL1-AL2	anc_mig	-581.14	1176.28	199.858337656528	1023.0	605.9	24
AL1-AL2	anc_mig	-603.18	1220.36	202.2027169838773	1035.0	720.14	25
AL1-AL2	anc_mig	-549.2	1112.4	201.61662215203998	1032.0	508.07	26
AL1-AL2	anc_mig	-632.65	1279.3	199.27224282469066	1020.0	916.72	27
AL1-AL2	anc_mig	-570.1	1154.2	199.0768778807449	1019.0	626.08	28
AL1-AL2	anc_mig	-571.87	1157.74	196.92786349734138	1008.0	634.59	29
AL1-AL2	anc_mig	-566.78	1147.56	199.66297271258222	1022.0	590.35	30
AL1-AL2	anc_mig	-590.45	1194.9	192.62983473053433	986.0	655.83	31
AL1-AL2	anc_mig	-615.47	1244.94	195.75567383366672	1002.0	815.86	32
AL1-AL2	anc_mig	-616.82	1247.64	197.70932327312448	1012.0	731.33	33
AL1-AL2	anc_mig	-593.28	1200.56	202.78881181571464	1038.0	674.1	34
AL1-AL2	anc_mig	-577.18	1168.36	198.8815129367991	1018.0	602.21	35
AL1-AL2	anc_mig	-605.67	1225.34	198.8815129367991	1018.0	737.23	36
AL1-AL2	anc_mig	-602.28	1218.56	202.2027169838773	1035.0	694.21	37
AL1-AL2	anc_mig	-599.26	1212.52	199.0768778807449	1019.0	736.44	38
AL1-AL2	anc_mig	-601.29	1216.58	204.35173136728082	1046.0	667.94	39
AL1-AL2	anc_mig	-606.21	1226.42	197.12322844128715	1009.0	710.24	40
AL1-AL2	anc_mig	-591.96	1197.92	196.14640372155827	1004.0	658.93	41
AL1-AL2	anc_mig	-577.19	1168.38	194.97421405788361	998.0	640.74	42
AL1-AL2	anc_mig	-572.55	1159.1	197.12322844128715	1009.0	630.21	43
AL1-AL2	anc_mig	-597.95	1209.9	195.9510387776125	1003.0	751.47	44
AL1-AL2	anc_mig	-590.84	1195.68	207.28220552646746	1061.0	602.21	45
AL1-AL2	anc_mig	-606.5	1227.0	203.37490664755197	1041.0	714.43	46
AL1-AL2	anc_mig	-594.88	1203.76	202.39808192782309	1036.0	663.59	47
AL1-AL2	anc_mig	-585.76	1185.52	198.10005316101604	1014.0	624.49	48
AL1-AL2	anc_mig	-566.03	1146.06	195.56030888972094	1001.0	587.4	49
AL1-AL2	anc_mig	-633.6	1281.2	199.0768778807449	1019.0	836.61	50
AL1-AL2	anc_mig	-596.1	1206.2	199.46760776863644	1021.0	704.46	51
AL1-AL2	anc_mig	-591.94	1197.88	192.8251996744801	987.0	729.66	52
AL1-AL2	anc_mig	-618.2	1250.4	190.87155023502234	977.0	824.99	53
AL1-AL2	anc_mig	-563.68	1141.36	195.1695790018294	999.0	549.04	54
AL1-AL2	anc_mig	-584.95	1183.9	196.7324985533956	1007.0	674.27	55
AL1-AL2	anc_mig	-597.84	1209.68	201.4212572080942	1031.0	699.41	56
AL1-AL2	anc_mig	-589.91	1193.82	201.4212572080942	1031.0	635.87	57
AL1-AL2	anc_mig	-612.86	1239.72	198.68614799285336	1017.0	736.08	58
AL1-AL2	anc_mig	-599.72	1213.44	193.80202439420898	992.0	741.82	59
AL1-AL2	anc_mig	-584.27	1182.54	197.5139583291787	1011.0	647.42	60
AL1-AL2	anc_mig	-597.67	1209.34	203.96100147938927	1044.0	752.76	61
AL1-AL2	anc_mig	-608.2	1230.4	198.4907830489076	1016.0	747.79	62
AL1-AL2	anc_mig	-579.8	1173.6	199.27224282469066	1020.0	607.25	63
AL1-AL2	anc_mig	-567.22	1148.44	198.2954181049618	1015.0	569.23	64
AL1-AL2	anc_mig	-607.03	1228.06	198.4907830489076	1016.0	743.01	65
AL1-AL2	anc_mig	-581.55	1177.1	199.46760776863644	1021.0	638.01	66
AL1-AL2	anc_mig	-586.85	1187.7	196.92786349734138	1008.0	664.67	67
AL1-AL2	anc_mig	-623.94	1261.88	196.7324985533956	1007.0	779.8	68
AL1-AL2	anc_mig	-615.49	1244.98	199.46760776863644	1021.0	730.5	69
AL1-AL2	anc_mig	-576.27	1166.54	196.53713360944982	1006.0	650.84	70
AL1-AL2	anc_mig	-626.01	1266.02	197.12322844128715	1009.0	796.79	71
AL1-AL2	anc_mig	-566.26	1146.52	199.858337656528	1023.0	551.87	72
AL1-AL2	anc_mig	-587.43	1188.86	197.12322844128715	1009.0	659.99	73
AL1-AL2	anc_mig	-571.84	1157.68	193.6066594502632	991.0	618.9	74
AL1-AL2	anc_mig	-610.77	1235.54	197.31859338523293	1010.0	771.25	75
AL1-AL2	anc_mig	-594.72	1203.44	196.14640372155827	1004.0	735.49	76
AL1-AL2	anc_mig	-594.13	1202.26	199.858337656528	1023.0	730.33	77
AL1-AL2	anc_mig	-599.26	1212.52	201.61662215203998	1032.0	681.66	78
AL1-AL2	anc_mig	-572.41	1158.82	203.37490664755197	1041.0	601.21	79
AL1-AL2	anc_mig	-602.7	1219.4	196.7324985533956	1007.0	731.82	80
AL1-AL2	anc_mig	-592.39	1198.78	197.90468821707026	1013.0	703.0	81
AL1-AL2	anc_mig	-595.42	1204.84	195.1695790018294	999.0	696.11	82
AL1-AL2	anc_mig	-602.93	1219.86	196.92786349734138	1008.0	669.07	83
AL1-AL2	anc_mig	-602.77	1219.54	198.2954181049618	1015.0	737.73	84
AL1-AL2	anc_mig	-595.16	1204.32	201.22589226414843	1030.0	665.45	85
AL1-AL2	anc_mig	-598.62	1211.24	199.858337656528	1023.0	685.06	86
AL1-AL2	anc_mig	-619.6	1253.2	201.22589226414843	1030.0	772.34	87
AL1-AL2	anc_mig	-610.03	1234.06	194.77884911393784	997.0	790.24	88
AL1-AL2	anc_mig	-626.74	1267.48	201.03052732020265	1029.0	768.26	89
AL1-AL2	anc_mig	-628.05	1270.1	198.8815129367991	1018.0	755.34	90
AL1-AL2	anc_mig	-569.03	1152.06	194.58348416999206	996.0	657.83	91
AL1-AL2	anc_mig	-592.46	1198.92	202.00735203993153	1034.0	716.48	92
AL1-AL2	anc_mig	-606.08	1226.16	201.81198709598576	1033.0	714.89	93
AL1-AL2	anc_mig	-600.6	1215.2	194.1927542821005	994.0	715.0	94
AL1-AL2	anc_mig	-607.67	1229.34	202.2027169838773	1035.0	740.46	95
AL1-AL2	anc_mig	-611.94	1237.88	196.53713360944982	1006.0	773.48	96
AL1-AL2	anc_mig	-616.02	1246.04	198.10005316101604	1014.0	800.95	97
AL1-AL2	anc_mig	-580.22	1174.44	200.05370260047377	1024.0	641.76	98
AL1-AL2	anc_mig	-561.01	1136.02	196.7324985533956	1007.0	572.48	99
