Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AL1-AL2	iso_inbred	-661.44	1332.88	258.2697748105036	1001.0	911.88	0
AL1-AL2	iso_inbred	-666.75	1343.5	254.14158660174425	985.0	914.88	1
AL1-AL2	iso_inbred	-598.86	1207.72	255.94766894307645	992.0	627.42	2
AL1-AL2	iso_inbred	-675.72	1361.44	265.4941041758323	1029.0	917.68	3
AL1-AL2	iso_inbred	-632.5	1275.0	261.365915967073	1013.0	789.16	4
AL1-AL2	iso_inbred	-633.69	1277.38	260.8498924409781	1011.0	756.07	5
AL1-AL2	iso_inbred	-651.99	1313.98	265.7521159388798	1030.0	988.5	6
AL1-AL2	iso_inbred	-645.37	1300.74	260.59188067793065	1010.0	887.3	7
AL1-AL2	iso_inbred	-694.96	1399.92	265.4941041758323	1029.0	1008.92	8
AL1-AL2	iso_inbred	-677.43	1364.86	259.55983362574085	1006.0	1182.77	9
AL1-AL2	iso_inbred	-615.58	1241.16	257.2377277583137	997.0	705.45	10
AL1-AL2	iso_inbred	-660.8	1331.6	264.4620571236425	1025.0	926.67	11
AL1-AL2	iso_inbred	-631.19	1272.38	254.91562189088663	988.0	832.34	12
AL1-AL2	iso_inbred	-640.71	1291.42	261.10790420402554	1012.0	827.39	13
AL1-AL2	iso_inbred	-620.99	1251.98	255.689657180029	991.0	734.03	14
AL1-AL2	iso_inbred	-640.98	1291.96	259.3018218626934	1005.0	864.31	15
AL1-AL2	iso_inbred	-614.38	1238.76	263.43001007145267	1021.0	658.98	16
AL1-AL2	iso_inbred	-632.96	1275.92	266.0101277019272	1031.0	749.29	17
AL1-AL2	iso_inbred	-634.66	1279.32	263.68802183450015	1022.0	767.2	18
AL1-AL2	iso_inbred	-627.86	1265.72	266.2681394649747	1032.0	706.16	19
AL1-AL2	iso_inbred	-653.64	1317.28	263.43001007145267	1021.0	868.57	20
AL1-AL2	iso_inbred	-642.87	1295.74	260.3338689148832	1009.0	852.59	21
AL1-AL2	iso_inbred	-622.84	1255.68	264.9780806497374	1027.0	740.35	22
AL1-AL2	iso_inbred	-632.85	1275.7	258.527786573551	1002.0	824.09	23
AL1-AL2	iso_inbred	-670.98	1351.96	257.7537512844086	999.0	985.17	24
AL1-AL2	iso_inbred	-671.42	1352.84	262.3979630192629	1017.0	1009.73	25
AL1-AL2	iso_inbred	-613.34	1236.68	259.55983362574085	1006.0	735.73	26
AL1-AL2	iso_inbred	-628.73	1267.46	250.78743368212733	972.0	779.11	27
AL1-AL2	iso_inbred	-656.62	1323.24	263.68802183450015	1022.0	847.27	28
AL1-AL2	iso_inbred	-639.11	1288.22	260.59188067793065	1010.0	789.74	29
AL1-AL2	iso_inbred	-620.67	1251.34	256.7217042322188	995.0	681.34	30
AL1-AL2	iso_inbred	-616.59	1243.18	263.94603359754757	1023.0	680.85	31
AL1-AL2	iso_inbred	-607.4	1224.8	261.8819394931679	1015.0	655.42	32
AL1-AL2	iso_inbred	-656.8	1323.6	257.4957395213612	998.0	934.44	33
AL1-AL2	iso_inbred	-651.85	1313.7	264.9780806497374	1027.0	760.05	34
AL1-AL2	iso_inbred	-682.47	1374.94	267.81621004325945	1038.0	901.71	35
AL1-AL2	iso_inbred	-639.36	1288.72	266.2681394649747	1032.0	804.41	36
AL1-AL2	iso_inbred	-619.06	1248.12	264.72006888668994	1026.0	720.23	37
AL1-AL2	iso_inbred	-650.0	1310.0	264.72006888668994	1026.0	845.51	38
AL1-AL2	iso_inbred	-623.14	1256.28	264.9780806497374	1027.0	763.87	39
AL1-AL2	iso_inbred	-616.38	1242.76	252.59351602345953	979.0	805.85	40
AL1-AL2	iso_inbred	-615.41	1240.82	259.55983362574085	1006.0	693.65	41
AL1-AL2	iso_inbred	-647.68	1305.36	262.1399512562154	1016.0	838.13	42
AL1-AL2	iso_inbred	-642.08	1294.16	262.6559747823103	1018.0	812.69	43
