Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AL1-AL2	mig_inbred	-600.14	1212.28	198.21583356125242	1011.0	684.05	0
AL1-AL2	mig_inbred	-642.63	1297.26	198.4118927438056	1012.0	911.3	1
AL1-AL2	mig_inbred	-580.51	1173.02	200.1764253867841	1021.0	655.02	2
AL1-AL2	mig_inbred	-548.07	1108.14	193.11829481487007	985.0	523.53	3
AL1-AL2	mig_inbred	-581.24	1174.48	196.25524173572074	1001.0	657.64	4
AL1-AL2	mig_inbred	-572.87	1157.74	196.05918255316757	1000.0	600.2	5
AL1-AL2	mig_inbred	-583.32	1178.64	193.31435399742324	986.0	648.33	6
AL1-AL2	mig_inbred	-578.27	1168.54	199.39218865657142	1017.0	592.37	7
AL1-AL2	mig_inbred	-566.02	1144.04	195.66706418806123	998.0	596.08	8
AL1-AL2	mig_inbred	-619.36	1250.72	199.00007029146508	1015.0	805.4	9
AL1-AL2	mig_inbred	-617.24	1246.48	201.9409580297626	1030.0	689.01	10
AL1-AL2	mig_inbred	-638.26	1288.52	199.19612947401825	1016.0	891.47	11
AL1-AL2	mig_inbred	-652.98	1317.96	200.96066211699676	1025.0	896.98	12
AL1-AL2	mig_inbred	-569.62	1151.24	200.37248456933727	1022.0	603.86	13
AL1-AL2	mig_inbred	-634.14	1280.28	206.0582008633791	1051.0	819.15	14
AL1-AL2	mig_inbred	-629.47	1270.94	195.27494582295492	996.0	821.94	15
AL1-AL2	mig_inbred	-564.9	1141.8	194.49070909274224	992.0	636.48	16
AL1-AL2	mig_inbred	-558.11	1128.22	201.3527804821031	1027.0	561.42	17
AL1-AL2	mig_inbred	-619.51	1251.02	198.21583356125242	1011.0	840.69	18
AL1-AL2	mig_inbred	-603.66	1219.32	200.1764253867841	1021.0	715.02	19
AL1-AL2	mig_inbred	-594.44	1200.88	196.84341928338026	1004.0	708.44	20
AL1-AL2	mig_inbred	-621.51	1255.02	199.98036620423093	1020.0	763.21	21
AL1-AL2	mig_inbred	-608.7	1229.4	197.82371519614608	1009.0	762.65	22
AL1-AL2	mig_inbred	-608.19	1228.38	203.1173131250816	1036.0	719.37	23
AL1-AL2	mig_inbred	-603.78	1219.56	205.0779049506133	1046.0	677.21	24
AL1-AL2	mig_inbred	-629.12	1270.24	199.98036620423093	1020.0	830.13	25
AL1-AL2	mig_inbred	-590.12	1192.24	199.00007029146508	1015.0	678.63	26
AL1-AL2	mig_inbred	-590.87	1193.74	199.00007029146508	1015.0	642.1	27
AL1-AL2	mig_inbred	-569.08	1150.16	194.88282745784858	994.0	643.12	28
AL1-AL2	mig_inbred	-615.75	1243.5	203.50943149018795	1038.0	679.04	29
AL1-AL2	mig_inbred	-627.91	1267.82	200.1764253867841	1021.0	791.26	30
AL1-AL2	mig_inbred	-567.6	1147.2	197.2355376484866	1006.0	568.68	31
AL1-AL2	mig_inbred	-608.88	1229.76	201.9409580297626	1030.0	726.39	32
AL1-AL2	mig_inbred	-593.68	1199.36	196.45130091827392	1002.0	770.78	33
AL1-AL2	mig_inbred	-598.4	1208.8	201.3527804821031	1027.0	682.63	34
AL1-AL2	mig_inbred	-618.44	1248.88	197.82371519614608	1009.0	774.32	35
AL1-AL2	mig_inbred	-608.94	1229.88	197.6276560135929	1008.0	733.83	36
AL1-AL2	mig_inbred	-565.53	1143.06	193.31435399742324	986.0	589.2	37
AL1-AL2	mig_inbred	-587.35	1186.7	192.13799890210421	980.0	689.95	38
AL1-AL2	mig_inbred	-585.99	1183.98	198.01977437869925	1010.0	686.51	39
AL1-AL2	mig_inbred	-572.89	1157.78	196.05918255316757	1000.0	606.72	40
AL1-AL2	mig_inbred	-622.1	1256.2	205.0779049506133	1046.0	746.79	41
AL1-AL2	mig_inbred	-600.54	1213.08	199.19612947401825	1016.0	664.29	42
AL1-AL2	mig_inbred	-626.8	1265.6	199.39218865657142	1017.0	796.56	43
AL1-AL2	mig_inbred	-630.0	1272.0	196.6473601008271	1003.0	763.74	44
AL1-AL2	mig_inbred	-620.0	1252.0	196.25524173572074	1001.0	769.77	45
AL1-AL2	mig_inbred	-642.35	1296.7	200.37248456933727	1022.0	891.81	46
AL1-AL2	mig_inbred	-638.51	1289.02	200.96066211699676	1025.0	938.43	47
AL1-AL2	mig_inbred	-624.74	1261.48	198.80401110891194	1014.0	840.97	48
AL1-AL2	mig_inbred	-594.29	1200.58	206.45031922848545	1053.0	638.68	49
AL1-AL2	mig_inbred	-595.3	1202.6	201.74489884720944	1029.0	646.13	50
AL1-AL2	mig_inbred	-605.99	1223.98	191.35376217189156	976.0	762.51	51
AL1-AL2	mig_inbred	-611.69	1235.38	196.45130091827392	1002.0	737.91	52
AL1-AL2	mig_inbred	-575.98	1163.96	196.84341928338026	1004.0	586.8	53
AL1-AL2	mig_inbred	-609.16	1230.32	200.96066211699676	1025.0	786.52	54
AL1-AL2	mig_inbred	-589.27	1190.54	200.7646029344436	1024.0	673.68	55
AL1-AL2	mig_inbred	-614.11	1240.22	198.80401110891194	1014.0	737.35	56
AL1-AL2	mig_inbred	-609.82	1231.64	199.00007029146508	1015.0	765.43	57
AL1-AL2	mig_inbred	-570.1	1152.2	197.2355376484866	1006.0	592.7	58
AL1-AL2	mig_inbred	-602.49	1216.98	200.96066211699676	1025.0	784.63	59
AL1-AL2	mig_inbred	-589.16	1190.32	198.4118927438056	1012.0	684.2	60
AL1-AL2	mig_inbred	-576.67	1165.34	197.82371519614608	1009.0	579.15	61
AL1-AL2	mig_inbred	-590.68	1193.36	199.78430702167776	1019.0	672.13	62
AL1-AL2	mig_inbred	-618.95	1249.9	193.90253154508272	989.0	753.91	63
AL1-AL2	mig_inbred	-596.05	1204.1	202.13701721231578	1031.0	652.28	64
AL1-AL2	mig_inbred	-619.72	1251.44	200.7646029344436	1024.0	766.83	65
AL1-AL2	mig_inbred	-587.81	1187.62	197.43159683103974	1007.0	668.58	66
AL1-AL2	mig_inbred	-625.86	1263.72	197.03947846593343	1005.0	784.29	67
AL1-AL2	mig_inbred	-615.99	1243.98	197.6276560135929	1008.0	785.59	68
AL1-AL2	mig_inbred	-564.85	1141.7	196.05918255316757	1000.0	600.82	69
AL1-AL2	mig_inbred	-590.66	1193.32	196.84341928338026	1004.0	666.48	70
AL1-AL2	mig_inbred	-612.19	1236.38	200.7646029344436	1024.0	738.59	71
AL1-AL2	mig_inbred	-634.93	1281.86	200.37248456933727	1022.0	739.16	72
AL1-AL2	mig_inbred	-624.73	1261.46	194.0985907276359	990.0	770.22	73
AL1-AL2	mig_inbred	-582.14	1176.28	195.07888664040175	995.0	652.38	74
AL1-AL2	mig_inbred	-634.26	1280.52	205.6660824982728	1049.0	802.39	75
AL1-AL2	mig_inbred	-649.64	1311.28	196.45130091827392	1002.0	885.56	76
AL1-AL2	mig_inbred	-620.8	1253.6	200.1764253867841	1021.0	716.14	77
AL1-AL2	mig_inbred	-613.64	1239.28	199.39218865657142	1017.0	732.57	78
AL1-AL2	mig_inbred	-629.32	1270.64	199.39218865657142	1017.0	831.24	79
AL1-AL2	mig_inbred	-595.55	1203.1	195.07888664040175	995.0	684.63	80
AL1-AL2	mig_inbred	-586.65	1185.3	199.5882478391246	1018.0	590.99	81
AL1-AL2	mig_inbred	-604.33	1220.66	194.6867682752954	993.0	746.99	82
AL1-AL2	mig_inbred	-633.53	1279.06	205.6660824982728	1049.0	794.63	83
AL1-AL2	mig_inbred	-617.11	1246.22	202.92125394252844	1035.0	713.5	84
