Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AL1-AL2	sec_cont	-623.75	1261.5	204.81209055153772	1011.0	794.55	0
AL1-AL2	sec_cont	-613.35	1240.7	208.45859661476985	1029.0	695.63	1
AL1-AL2	sec_cont	-590.92	1195.84	205.4198415620764	1014.0	651.36	2
AL1-AL2	sec_cont	-554.37	1122.74	204.00175587081947	1007.0	578.03	3
AL1-AL2	sec_cont	-571.33	1156.66	205.01467422171729	1012.0	571.82	4
AL1-AL2	sec_cont	-646.15	1306.3	207.44567826387203	1024.0	773.19	5
AL1-AL2	sec_cont	-572.17	1158.34	206.23017624279467	1018.0	603.82	6
AL1-AL2	sec_cont	-616.54	1247.08	205.21725789189685	1013.0	688.66	7
AL1-AL2	sec_cont	-595.32	1204.64	205.01467422171729	1012.0	672.12	8
AL1-AL2	sec_cont	-585.44	1184.88	205.21725789189685	1013.0	633.41	9
AL1-AL2	sec_cont	-603.74	1221.48	201.57075182866473	995.0	752.46	10
AL1-AL2	sec_cont	-618.99	1251.98	201.1655844883056	993.0	795.39	11
AL1-AL2	sec_cont	-613.74	1241.48	210.4844333165655	1039.0	767.47	12
AL1-AL2	sec_cont	-599.77	1213.54	203.19142119010124	1003.0	699.77	13
AL1-AL2	sec_cont	-593.22	1200.44	200.5578334777669	990.0	659.73	14
AL1-AL2	sec_cont	-597.77	1209.54	209.47151496566767	1034.0	663.12	15
AL1-AL2	sec_cont	-580.98	1175.96	202.98883751992167	1002.0	698.89	16
AL1-AL2	sec_cont	-610.86	1235.72	205.21725789189685	1013.0	723.32	17
AL1-AL2	sec_cont	-590.66	1195.32	198.5319967759713	980.0	683.18	18
AL1-AL2	sec_cont	-596.49	1206.98	206.83792725333336	1021.0	648.85	19
AL1-AL2	sec_cont	-603.78	1221.56	199.9500824672282	987.0	752.44	20
AL1-AL2	sec_cont	-614.31	1242.62	205.82500890243554	1016.0	717.01	21
AL1-AL2	sec_cont	-562.35	1138.7	205.62242523225598	1015.0	614.39	22
AL1-AL2	sec_cont	-617.59	1249.18	209.47151496566767	1034.0	707.33	23
AL1-AL2	sec_cont	-611.09	1236.18	209.67409863584723	1035.0	719.78	24
AL1-AL2	sec_cont	-582.97	1179.94	203.19142119010124	1003.0	644.84	25
AL1-AL2	sec_cont	-577.14	1168.28	203.7991722006399	1006.0	603.91	26
AL1-AL2	sec_cont	-610.01	1234.02	203.7991722006399	1006.0	755.08	27
AL1-AL2	sec_cont	-585.9	1185.8	208.25601294459028	1028.0	645.81	28
AL1-AL2	sec_cont	-600.98	1215.96	199.9500824672282	987.0	694.16	29
AL1-AL2	sec_cont	-579.51	1173.02	198.93716411633042	982.0	614.85	30
AL1-AL2	sec_cont	-549.3	1112.6	206.23017624279467	1018.0	512.86	31
AL1-AL2	sec_cont	-584.65	1183.3	205.01467422171729	1012.0	623.01	32
AL1-AL2	sec_cont	-627.52	1269.04	206.43275991297423	1019.0	766.43	33
AL1-AL2	sec_cont	-607.92	1229.84	205.82500890243554	1016.0	738.33	34
AL1-AL2	sec_cont	-613.59	1241.18	209.06634762530854	1032.0	765.53	35
AL1-AL2	sec_cont	-582.08	1178.16	204.00175587081947	1007.0	599.16	36
AL1-AL2	sec_cont	-586.31	1186.62	202.58367017956255	1000.0	639.06	37
AL1-AL2	sec_cont	-597.44	1208.88	210.68701698674505	1040.0	657.98	38
