Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AG2-AL1	anc_mig	49.3809	1.2162	0.6061	0.0	0.1731	0.0737	1.5408	0.0	0.1
AG2-AL1	anc_mig	98.9542	2.1562	5.1251	4.3682	0.8661	0.1367	4.2732	0.487	0.1
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AG2-AL1	anc_mig	6.5696	0.2363	1.722	0.0	0.1738	0.059	0.0	0.0	0.05
AG2-AL1	anc_mig	141.7655	3.1361	4.0092	4.1453	0.8654	0.1514	6.7232	0.3848	0.05
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AG2-AL1	anc_mig	0.0	0.0168	1.072	0.0	0.1719	0.0515	0.0	0.0	0.02
AG2-AL1	anc_mig	153.6447	3.3556	4.6592	4.1165	0.8673	0.1589	7.3257	0.3969	0.02
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AG2-AL1	anc_mig	0.0	0.0	0.0	0.0	0.0967	0.0068	0.0	0.0	0.01
AG2-AL1	anc_mig	205.9126	4.3954	9.4773	5.3063	0.9425	0.2036	9.8713	0.8686	0.01
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AG2-AL1	anc_mig	67.246	1.592	0.0202	0.0	0.1202	0.0596	2.7912	0.0	0.001
AG2-AL1	anc_mig	81.0891	1.7804	5.711	4.9753	0.919	0.1508	3.0228	0.6556	0.001
