Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AL1-AL2	anc_mig	55.0232	0.0	0.4525	0.0	0.0	0.0	0.0	0.0	0.1
AL1-AL2	anc_mig	345.5006	1164.5693	2.6617	3.2702	17.7699	2.9851	8.4084	0.6106	0.1
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AL1-AL2	anc_mig	65.9059	0.0	0.2745	0.0	0.0	0.0	0.0	0.0	0.05
AL1-AL2	anc_mig	334.6178	1186.9046	2.8397	3.2583	17.8937	2.9351	8.6749	0.6171	0.05
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AL1-AL2	anc_mig	67.1079	0.0	0.2062	0.0	0.0	0.0	0.0	0.0	0.02
AL1-AL2	anc_mig	333.4159	1192.4157	2.908	3.2562	17.9346	2.91	8.7259	0.6208	0.02
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AL1-AL2	anc_mig	65.6973	0.0	0.2006	0.0	0.0	0.0	0.0	0.0	0.01
AL1-AL2	anc_mig	334.8264	1192.3825	2.9136	3.2602	17.9405	2.9115	8.7104	0.621	0.01
Pops	Model	theta	nu1	nu2	F1	F2	m	T1	T2	eps
AL1-AL2	anc_mig	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
AL1-AL2	anc_mig	724.1986	1008.5076	5.7772	3.6558	18.7661	1.2091	3.582	0.9218	0.001
