Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	optimised_params(nu1, nu2, F1, F2, m, T1, T2)
AG1-AG2	sec_cont	1	-497.26	1008.52	536.81	148.19	2.9136,1.4319,0.0018,0.4585,1.2661,0.6497,0.3773
AG1-AG2	sec_cont	1	-510.14	1034.28	496.11	195.16	16.1378,0.6678,0.0265,0.5614,1.5263,0.001,0.8498
AG1-AG2	sec_cont	1	-497.3	1008.6	538.18	148.17	2.9111,1.4336,0.0475,0.4622,1.2796,0.6505,0.3759
AG1-AG2	anc_mig	1	-539.39	1092.78	857.23	134.68	5.5178,1.2003,0.7578,0.082,1.6274,1.2963,0.0576
AG1-AG2	anc_mig	1	-555.66	1125.32	580.38	201.2	99.9934,0.6488,0.4251,0.8039,1.9688,1.0382,0.001
AG1-AG2	anc_mig	1	-499.24	1012.48	598.08	137.68	2.9699,1.4498,0.0204,0.4056,1.044,1.2486,0.001
AG1-AG2	anc_mig	1	-509.23	1032.46	559.08	22.95	17.1753,6.1541,0.2628,0.6063,0.2493,14.9998,0.001
AG1-AG2	anc_mig	1	-500.41	1014.82	595.5	142.19	3.0485,1.3094,0.0004,0.1212,1.0284,1.1664,0.0076
AG1-AG2	anc_mig	1	-499.19	1012.38	593.05	142.23	2.9576,1.3805,0.0103,0.3916,1.0707,1.1706,0.001
AG1-AG2	anc_mig	1	-499.79	1013.58	588.75	162.35	2.8144,1.2724,0.0001,0.3937,1.1446,0.8628,0.001
AG1-AG2	anc_mig	1	-499.53	1013.06	593.5	119.41	3.3183,1.6326,0.0001,0.3729,0.9008,1.6257,0.001
AG1-AG2	anc_mig	1	-499.15	1012.3	593.28	140.8	2.9832,1.4016,0.0001,0.3945,1.0552,1.1918,0.001
AG1-AG2	anc_mig	1	-499.17	1012.34	593.1	141.8	2.9688,1.3917,0.0043,0.398,1.0647,1.1755,0.001
AL1-AL2	mig_inbred	1	-516.33	1044.66	385.34	200.97	26.8934,1.574,0.4586,0.2996,0.4863,1.0097
AL1-AL2	mig_inbred	1	-519.83	1051.66	400.46	211.23	9.2478,1.7982,0.066,0.3422,0.3557,0.7843
AL1-AL2	mig_inbred	1	-516.33	1044.66	385.33	200.98	26.9023,1.574,0.4588,0.2988,0.4863,1.0096
AL1-AL2	mig_inbred	1	-516.33	1044.66	385.34	200.98	26.8909,1.5739,0.4588,0.2989,0.4863,1.0096
AL1-AL2	mig_inbred	1	-516.33	1044.66	385.31	201.06	26.9298,1.5747,0.4586,0.2988,0.4857,1.0088
AL1-AL2	mig_inbred	1	-516.33	1044.66	385.34	201.04	26.8741,1.5747,0.4585,0.2986,0.4858,1.0087
AL1-AL2	anc_mig	1	-516.27	1046.54	385.56	200.26	26.9442,1.5571,0.4574,0.2396,0.51,1.0117,0.0101
AL1-AL2	anc_mig	1	-522.78	1059.56	359.31	213.4	44.962,1.0033,0.4932,0.1244,0.8542,1.0957,0.021
AL1-AL2	anc_mig	1	-516.31	1046.62	385.52	199.92	27.6628,1.5501,0.4562,0.1444,0.5179,1.0157,0.0167
AL1-AL2	anc_mig	1	-516.27	1046.54	385.82	200.18	26.8006,1.5608,0.4554,0.2399,0.5083,1.0112,0.0101
AL1-AL2	anc_mig	1	-516.27	1046.54	385.64	200.68	26.6969,1.5607,0.456,0.2393,0.5073,1.0053,0.0098
AL1-AL2	anc_mig	1	-516.29	1046.58	385.72	198.69	27.6393,1.5423,0.4628,0.2209,0.526,1.033,0.0134
AL1-AL2	anc_mig	1	-516.36	1046.72	385.58	200.14	27.8823,1.5473,0.4558,0.0014,0.5196,1.0123,0.0229
AL1-AL2	anc_mig	1	-516.27	1046.54	385.57	200.32	26.8972,1.5587,0.457,0.2438,0.5084,1.011,0.0095
AL1-AL2	sec_cont	1	-515.94	1045.88	380.58	207.65	24.9994,1.67,0.4631,0.3866,0.6392,0.6004,0.291
AL1-AL2	sec_cont	1	-515.94	1045.88	380.58	207.65	24.9915,1.6702,0.4631,0.3866,0.6391,0.6004,0.291
AL1-AL2	sec_cont	1	-516.33	1046.66	385.35	201.0	26.8885,1.5743,0.4587,0.2988,0.4861,0.0136,0.9957
AL1-AL2	sec_cont	1	-520.58	1055.16	401.28	182.3	43.1141,1.7944,0.5192,0.4707,0.8894,0.9992,0.2305
AL1-AL2	sec_cont	1	-515.94	1045.88	380.6	207.64	24.9921,1.6702,0.4631,0.3866,0.6391,0.6004,0.291
AL1-AL2	sec_cont	1	-515.94	1045.88	380.7	207.64	24.9301,1.6695,0.4625,0.3843,0.6341,0.5965,0.2949
AL1-AL2	sec_cont	1	-515.94	1045.88	380.76	207.65	24.9724,1.6682,0.4619,0.3727,0.6253,0.5913,0.3006
AL1-AL2	sec_cont	1	-515.94	1045.88	380.58	207.65	24.9943,1.6701,0.4631,0.3866,0.6391,0.6004,0.291
AL1-AL2	sec_cont	1	-515.94	1045.88	380.6	207.64	24.9877,1.6702,0.4631,0.3866,0.6391,0.6004,0.291
AL1-AL2	sec_cont	1	-515.94	1045.88	380.58	207.65	24.9931,1.6702,0.4632,0.3867,0.6391,0.6004,0.291
AL1-AL2	sec_cont	1	-515.94	1045.88	380.6	207.64	24.9937,1.6701,0.4631,0.3866,0.6391,0.6004,0.291
AG1-AL1	mig_inbred	1	-432.32	876.64	330.27	94.41	2.0914,2.8754,0.0001,0.0236,0.0961,3.2074
AG1-AL1	mig_inbred	1	-432.32	876.64	330.24	94.92	2.0811,2.8599,0.0027,0.0224,0.0965,3.1836
AG1-AL1	mig_inbred	1	-432.32	876.64	330.25	93.83	2.104,2.8922,0.0045,0.0243,0.0956,3.2348
AG1-AL1	mig_inbred	1	-432.33	876.66	330.31	95.53	2.0694,2.842,0.0057,0.0001,0.0967,3.1564
AG1-AL1	mig_inbred	1	-432.32	876.64	330.26	94.37	2.0925,2.8759,0.0036,0.0233,0.0961,3.209
AG1-AL1	anc_mig	1	-432.36	878.72	329.5	83.8	2.3527,3.2103,0.0321,0.0474,0.0888,3.759,0.0072
