Pop	Mask	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
group1-group2_projected0.8	low	no_mig	3	-21994.8712	43995.7424	138392.3362	13832.2783	1.0,1.0,1.0	28.5406,7.3829,0.7985	nu1, nu2, T
group1-group2_projected0.8	low	sym_mig	3	-6463.0103	12934.0206	104191.4388	5180.3221	1.0,1.0,1.0,1.0	27.5015,9.5553,0.1784,2.7589	nu1, nu2, m, T
group1-group2_projected0.8	low	split_sizechange	3	-22270.5064	44553.0128	103335.4724	15058.2808	1.0,1.0,1.0,1.0,1.0,1.0	14.4354,191.6271,102.5951,1.2717,0.3515,0.1452	nu1T1, nu2T2, nu1T1, nu2T2, T1, T2
group1-group2_projected0.8	low	split_bottle	3	-86816.8601	173645.7202	1639606.7045	10692.9169	1.0,1.0,1.0,1.0,1.0,1.0	0.9384,190.4825,4.8652,0.2752,0.4695,0.5428	nu1, nu2, nu1F, nu2F, T1, T2
group1-group2_projected0.8	low	split_bottle_sec_asym_mig	3	-26563.4462	53142.8924	62175.28	11978.1871	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.2501,0.1479,0.8058,1.4509,0.8912,14.2069,3.2059,0.4769	nu1, nu2, nu1F, nu2F, T1, T2, m12, m21
group1-group2_projected0.8	low	het_asym_mig	3	-11853.263	23722.526	20442.0894	12894.4066	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.5469,6.9265,6.7222,1.1237,0.0978,0.7021,0.7243,0.7021	nu1, nu2, m12, m21, me12, me21, T, P
group1-group2_projected0.8	low	no_mig	3	-32197.9074	64401.8148	102038.3338	16997.7493	1.0,1.0,1.0	1.9537,149.9987,0.4485	nu1, nu2, T
group1-group2_projected0.8	low	no_mig	3	-21992.1628	43990.3256	126364.9231	13864.7708	28.5406,7.3829,0.7985	29.0621,7.0632,0.7911	nu1, nu2, T
group1-group2_projected0.8	low	no_mig	3	-21992.2676	43990.5352	126488.9625	13878.0902	28.5406,7.3829,0.7985	29.0363,7.0489,0.7892	nu1, nu2, T
group1-group2_projected0.8	low	no_mig	2	-21992.1625	43990.325	126366.1558	13865.1326	28.5406,7.3829,0.7985	29.0618,7.0628,0.791	nu1, nu2, T
group1-group2_projected0.8	low	no_mig	2	-21992.1624	43990.3248	126353.1595	13865.2958	1.0,1.0,1.0	29.0555,7.0622,0.791	nu1, nu2, T
group1-group2_projected0.8	low	no_mig	2	-28782.5039	57571.0078	79502.7139	18829.2334	1.3569,3.073,1.4001	1.001,3.2762,0.1602	nu1, nu2, T
group1-group2_projected0.8	low	no_mig	2	-21992.1634	43990.3268	126375.4611	13866.7756	1.001,3.2762,0.1602	29.0622,7.0609,0.7908	nu1, nu2, T
group1-group2_projected0.8	low	sym_mig	2	-6442.8301	12893.6602	96088.4535	4425.2249	1.0,1.0,1.0,1.0	19.6605,10.3895,0.187,3.117	nu1, nu2, m, T
group1-group2_projected0.8	low	sym_mig	2	-21364.4046	42736.8092	137457.8529	13840.2423	10.0,20.0,5.0,1.0	136.4432,0.9628,1.6878,0.9285	nu1, nu2, m, T
group1-group2_projected0.8	low	sym_mig	3	-11791.0098	23590.0196	31076.2099	10573.5535	10.0,20.0,5.0,1.0	1.857,5.1059,0.8097,0.9475	nu1, nu2, m, T
group1-group2_projected0.8	low	sym_mig	3	-6395.1355	12798.271	91665.5036	4625.698	1.857,5.1059,0.8097,0.9475	24.9076,9.9062,0.1782,3.0662	nu1, nu2, m, T
group1-group2_projected0.8	low	sym_mig	2	-6398.1848	12804.3696	100938.7669	4679.3771	24.9076,9.9062,0.1782,3.0662	25.6382,9.9797,0.1781,3.041	nu1, nu2, m, T
group1-group2_projected0.8	low	sym_mig	2	-6397.922	12803.844	90466.8361	4603.2813	24.9076,9.9062,0.1782,3.0662	23.7778,10.0057,0.1784,3.0606	nu1, nu2, m, T
group1-group2_projected0.8	no	sym_mig	2	-6395.165	12798.33	92239.6988	4634.7433	24.9076,9.9062,0.1782,3.0662	25.1422,9.8996,0.178,3.0641	nu1, nu2, m, T
group1-group2_projected0.8	no	sym_mig	2	-13977.0605	27962.121	48579.7178	10778.802	1.0,1.0,1.0,1.0	19.3468,1.6301,0.8734,1.1695	nu1, nu2, m, T
group1-group2_projected0.8	no	no_mig	3	-22235.5265	44477.053	125777.174	12889.4487	1.0,1.0,1.0	27.0733,8.3484,0.9125	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1629	43990.3258	126306.5051	13866.4071	22.6926,8.2288,0.7269	29.032,7.0597,0.7907	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.3683	43990.7366	126722.442	13885.1609	22.6926,8.2288,0.7269	29.1104,7.0454,0.7888	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1623	43990.3246	126342.3282	13865.1416	5.0,5.0,5.0	29.051,7.0622,0.791	nu1, nu2, T
group1-group2_projected0.8	no	sym_mig	3	-6407.3106	12822.6212	92783.2828	4895.9712	1.0,1.0,1.0,1.0	25.7771,9.6041,0.1798,2.9003	nu1, nu2, m, T
group1-group2_projected0.8	no	sym_mig	3	-6657.3011	13322.6022	47988.2884	4278.9268	24.9076,9.9062,0.1782,3.0662	15.4101,9.5594,0.1948,3.181	nu1, nu2, m, T
group1-group2_projected0.8	no	no_mig	3	-21992.1641	43990.3282	126310.1107	13865.4901	1.0	29.0345,7.0609,0.7908	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.2112	43990.4224	126040.3781	13859.9702	1.0	28.9192,7.0614,0.7908	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1624	43990.3248	126319.9417	13865.139	1.0	29.0409,7.0616,0.7909	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.3949	43990.7898	126930.9332	13850.2415	1.0	29.2139,7.0949,0.794	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-22029.0694	44064.1388	148638.904	13740.1307	1.0	34.0404,7.7007,0.8407	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.6953	43991.3906	125739.7722	13861.5118	10.0	28.9073,7.0513,0.7904	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-22010.0541	44026.1082	118763.3423	13964.8911	1.0	30.8201,6.7463,0.782	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1655	43990.331	126256.8895	13866.1969	10.0	29.0104,7.0587,0.7906	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-26370.9038	52747.8076	77797.7427	17166.0847	1.0	2.9866,2.3842,0.2523	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1867	43990.3734	126581.6027	13864.1173	1.0	29.1628,7.0693,0.7918	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.306	43990.612	127011.2056	13865.1585	10.0	29.3375,7.0782,0.7927	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.355	43990.71	125613.2775	13865.5361	10.0	28.732,7.0439,0.789	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21998.4953	44002.9906	124698.9812	13955.5113	10.0	29.3836,6.9012,0.7797	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1675	43990.335	126299.6846	13862.0195	1.0	29.0371,7.0651,0.7913	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1788	43990.3576	126226.0998	13859.1895	1.0	29.0098,7.067,0.7915	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.2205	43990.441	126218.9818	13850.9023	10.0	29.0239,7.0774,0.7927	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1851	43990.3702	126412.7541	13866.1951	1.0	29.0854,7.0625,0.791	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1623	43990.3246	126341.3026	13865.0711	10.0	29.0507,7.0622,0.791	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1637	43990.3274	126383.8253	13864.6695	10.0	29.0701,7.0638,0.7911	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1681	43990.3362	126300.0583	13866.3094	10.0	29.0306,7.0596,0.7907	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1888	43990.3776	126154.2265	13874.9937	1.0	28.9442,7.045,0.789	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.2031	43990.4062	126118.142	13876.3964	10.0	28.9214,7.0423,0.7887	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21992.1704	43990.3408	126444.8709	13860.7391	10.0	29.1058,7.0703,0.7919	nu1, nu2, T
group1-group2_projected0.8	no	no_mig	3	-21997.3466	44000.6932	130670.2004	13733.9912	10.0	30.136,7.3316,0.8159	nu1, nu2, T
group1-group2_projected0.8	no	asym_mig	3	-17249.3179	34508.6358	56125.3302	8348.0841	1.0	10.3289,9.8293,0.1664,0.001,1.3914	nu1, nu2, m12, m21, T
group1-group2_projected0.8	no	asym_mig	3	-22440.2036	44890.4072	149583.3799	13498.4774	1.0	13.2409,9.2253,0.0144,0.0017,0.7422	nu1, nu2, m12, m21, T
group1-group2_projected0.8	no	asym_mig	3	-13431.5909	26873.1818	32580.4076	11164.2408	1.0	6.1921,2.4902,0.0771,0.6784,0.7913	nu1, nu2, m12, m21, T
group1-group2_projected0.8	no	anc_asym_mig	3	-19673.6792	39359.3584	56944.3855	12845.5705	1.0	2.4923,12.5438,0.0274,0.44,0.7504,0.001	nu1, nu2, m12, m21, T1, T2
group1-group2_projected0.8	no	asym_mig	3	-30345.6866	60701.3732	92281.9054	89074.6694	1.0,1.0,1.0,1.0,1.0	14.1393,0.18,9.9604,0.2222,2.0768	nu1, nu2, m12, m21, T
group1-group2_projected0.8	no	asym_mig	3	-11561.1727	23132.3454	25750.1188	8310.2533	1.0,1.0,1.0,1.0,10.0	1.0406,12.8704,1.7381,0.4102,1.5174	nu1, nu2, m12, m21, T
group1-group2_projected0.8	no	sym_mig	3	-6395.0429	12798.0858	92052.3915	4634.7233	25.1422,9.8996,0.178,3.0641	24.9671,9.8631,0.179,3.0611	nu1, nu2, m, T
