"Group","nref","T1gen","N1.0","N2.0","N1.T1","N2.T1","Me12.T1","Me21.T1","T2gen","N1.T2","N2.T2","Me12.T2","Me21.T2","P1","P2"
"group1-group2",18.9,70.4,26.6,271.6,512.3,348.3,0.6,0.7,0.9,225.4,109.6,5.9,25.3,0.1,0.4
"group1-group2",27.5,81.2,41.9,5504.2,833.8,740.5,93.9,112,11.7,375.1,636.5,36.3,83.4,0.7,0.5
"group1-group3",90.7,301.3,136.4,1461.5,2140.4,2011.6,0.8,0.9,3.9,709.7,402.4,23.1,20.7,0.2,0.4
"group1-group3",97.1,342.9,196.7,2191.9,2478.7,3231,91.9,110.1,16.7,1776.5,3151.5,40.7,173.8,0.7,0.5
"group1-group4",114.6,374,97.1,8495.6,1846.3,2466.3,0.1,8.5,6.5,1442,3489.8,43.3,50.3,0.3,0.4
"group1-group4",166.4,375.9,114.6,33272.5,2037.1,2642.9,0.1,9.1,9,3180.5,6710.7,124.6,59.4,0.3,0.4
"group2-group3",74.9,285.6,633.7,844.1,2319.9,2219.3,83.7,81.3,2.4,280.2,494.4,18.5,33,0.6,0.3
"group2-group3",85.8,292.3,727.3,891.2,2708.3,2416.8,110.1,110.2,3.3,627.4,834.5,36.5,48.9,0.6,0.3
"group2-group4",72.9,313.9,497.9,812.6,1807.6,2942.2,87.6,88.4,2.6,385.1,172.5,22.7,9.7,0.6,0.4
"group2-group4",84.9,325.3,581.9,1321.8,2513.3,5122,124,126.2,3.1,470.4,1358.9,28.8,60.5,0.7,0.4
"group3-group4",97.3,276.7,414.3,2285.4,1762.7,1898.3,61.6,48.8,5.2,371.1,2281.8,16.4,41.4,0.5,0.2
"group3-group4",98.8,279.5,503,10912.6,2245,2488.5,89.8,80.4,5.8,520.5,19764.1,26.5,291.7,0.6,0.2
"group1-Amil",246.2,363.6,74.4,49233.9,1449.4,1033.8,0.1,0.2,46,2645.7,1000,4,14.7,0.1,0.6
"group1-Amil",260.3,369.4,79.7,52050.3,1498.4,1069.2,0.1,0.3,65,3013.6,1039.6,6.8,21.1,0.2,0.6
"group2-Amil",142.3,424.3,111.8,28458.3,1923.7,789.6,0.1,0.1,45.1,2136.5,1188.1,4,16.2,0,0.5
"group2-Amil",164.1,427,119.4,32825.7,2005.5,800.5,0.1,0.1,70,2421.4,1400.9,7.7,30,0.2,0.6
"group3-Amil",125,421.8,112.2,24983.6,1904.9,785.3,0.1,0.1,24.8,2155.3,1107.9,4.5,15.2,0,0.5
"group3-Amil",152.6,434.6,132.2,30512.6,1959.3,791.5,0.2,0.2,67.6,2310.4,1630.6,13.9,61.7,0.2,0.6
"group4-Amil",136.6,443.2,118.1,27317.4,2155.7,715,0.2,0.2,26.7,2242.9,989.1,5.4,18.1,0.1,0.5
"group4-Amil",152.5,446.7,122.2,30494,2361.4,744,0.2,0.3,52.6,2985.7,1228.8,12.7,38.8,0.3,0.6
