"Group","nref","T1gen","N1.0","N2.0","N1.T1","N2.T1","Me12.T1","Me21.T1","P1"
"group1-group2",20.9,83.3,24.1,316.3,546.7,521.6,1.8,6.7,0.2
"group1-group2",21,83.4,24.2,319.6,547.2,522.2,1.8,6.7,0.2
"group1-group4",112,363.7,97.9,2797.5,2122.2,2618.4,1.9,7.6,0.1
"group1-group4",112.4,364.7,98.5,2832.6,2125.4,2623.3,2,7.7,0.1
"group2-group3",83.2,284.9,781.5,985.3,2138.3,2166.4,6.7,6.8,0.2
"group2-group3",83.9,285.4,798.5,993.6,2139.4,2173.7,6.8,6.9,0.2
"group2-group4",85,307.6,327.6,2151.1,2023.7,2940.9,6.8,3.4,0.3
"group2-group4",85.6,308.1,329.4,2191.1,2028.2,2948.1,6.8,3.4,0.3
"group3-group4",98.6,271,535.4,3396.7,1415.6,2452.5,11,6.2,0.2
"group3-group4",98.7,271.2,537.3,3449.7,1419,2458.5,11,6.3,0.2
"group1-Amil",295.8,339.2,76,88684.6,1883.7,1028.9,0.6,3.2,0.3
"group1-Amil",298.7,339.6,76.2,89581.8,1886.6,1031.5,0.6,3.2,0.3
