Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	1.57385	0.0	6.9707	0.01
nu_2	14.38612	13.0927	15.6795	0.01
t1	2.0523	0.0	6.9961	0.01
nu11	32.82016	29.049	36.5913	0.01
nu12	31.42617	25.5473	37.305	0.01
me1_12	0.03789	0.0	2.227	0.01
me1_21	0.08346	0.0	5.2895	0.01
t2	0.09877	0.0	4.726	0.01
nu21	17.62229	16.3541	18.8905	0.01
nu22	16.6836	13.9803	19.3869	0.01
me2_12	2.19519	0.0	7.921	0.01
me2_21	9.99955	5.2537	14.7454	0.01
P1	0.17433	0.0	0.5832	0.01
P2	0.47632	0.0	1.1204	0.01
theta	4662.346270010007	4658.2237	4666.4689	0.01
nu_1	1.57385	0.0	7.5166	0.001
nu_2	14.38612	13.1393	15.6329	0.001
t1	2.0523	0.0	6.0757	0.001
nu11	32.82016	28.8723	36.768	0.001
nu12	31.42617	26.6466	36.2057	0.001
me1_12	0.03789	0.0	0.2529	0.001
me1_21	0.08346	0.0	3.619	0.001
t2	0.09877	0.0	19.2658	0.001
nu21	17.62229	8.3496	26.895	0.001
nu22	16.6836	7.5204	25.8468	0.001
me2_12	2.19519	0.0	23.2624	0.001
me2_21	9.99955	0.0	29.2178	0.001
P1	0.17433	0.0	3.1274	0.001
P2	0.47632	0.0	1.8836	0.001
theta	4662.346270010007	4659.2221	4665.4704	0.001
nu_1	1.57385	0.0	3.1676	0.0001
nu_2	14.38612	8.4076	20.3647	0.0001
t1	2.0523	1.5825	2.5221	0.0001
nu11	32.82016	32.4646	33.1757	0.0001
nu12	31.42617	26.2559	36.5964	0.0001
me1_12	0.03789	0.0	20.1058	0.0001
me1_21	0.08346	0.0	17.4648	0.0001
t2	0.09877	0.0	80.6177	0.0001
nu21	17.62229	0.0	60.4496	0.0001
nu22	16.6836	0.0	40.317	0.0001
me2_12	2.19519	0.0	85.4934	0.0001
me2_21	9.99955	0.0	92.4878	0.0001
P1	0.17433	0.0	35.496	0.0001
P2	0.47632	0.0	6.8284	0.0001
theta	4662.346270010007	4660.2332	4664.4594	0.0001
nu_1	1.57385	1.5263	1.6214	1e-05
nu_2	14.38612	13.6272	15.1451	1e-05
t1	2.0523	2.042	2.0626	1e-05
nu11	32.82016	32.6009	33.0395	1e-05
nu12	31.42617	30.997	31.8553	1e-05
me1_12	0.03789	0.0	0.1757	1e-05
me1_21	0.08346	0.0	0.3199	1e-05
t2	0.09877	0.0	0.5975	1e-05
nu21	17.62229	16.6474	18.5972	1e-05
nu22	16.6836	14.7025	18.6647	1e-05
me2_12	2.19519	2.0226	2.3677	1e-05
me2_21	9.99955	9.5026	10.4965	1e-05
P1	0.17433	0.0	0.4228	1e-05
P2	0.47632	0.2221	0.7305	1e-05
theta	4662.346270010007	4662.2127	4662.4799	1e-05
nu_1	1.57385	1.4296	1.7181	1e-06
nu_2	14.38612	13.0008	15.7715	1e-06
t1	2.0523	1.9187	2.1859	1e-06
nu11	32.82016	32.1101	33.5303	1e-06
nu12	31.42617	30.1443	32.7081	1e-06
me1_12	0.03789	0.0	0.7999	1e-06
me1_21	0.08346	0.0	0.4298	1e-06
t2	0.09877	0.0	0.4055	1e-06
nu21	17.62229	16.0829	19.1617	1e-06
nu22	16.6836	15.6371	17.7301	1e-06
me2_12	2.19519	0.2874	4.103	1e-06
me2_21	9.99955	9.7784	10.2207	1e-06
P1	0.17433	0.0663	0.2823	1e-06
P2	0.47632	0.2832	0.6694	1e-06
theta	4662.346270010007	4662.2796	4662.413	1e-06
nu_1	1.57385	1.5734	1.5743	1e-07
nu_2	14.38612	14.3847	14.3876	1e-07
t1	2.0523	2.0507	2.0539	1e-07
nu11	32.82016	32.8192	32.8211	1e-07
nu12	31.42617	31.4241	31.4283	1e-07
me1_12	0.03789	0.0339	0.0419	1e-07
me1_21	0.08346	0.0826	0.0843	1e-07
t2	0.09877	0.0966	0.1009	1e-07
nu21	17.62229	17.621	17.6236	1e-07
nu22	16.6836	16.683	16.6842	1e-07
me2_12	2.19519	2.1925	2.1979	1e-07
me2_21	9.99955	9.9935	10.0056	1e-07
P1	0.17433	0.1739	0.1748	1e-07
P2	0.47632	0.4759	0.4767	1e-07
theta	4662.346270010007	4662.2391	4662.4534	1e-07
